{'短评内容': '实在又乱又脏', '短评打分': 1}
{'短评内容': '环境比较一般，空间很小很紧凑，毕竟广州的价格相对跟其他地区还是略高的，总体还算满意，其他没什么可说的了。', '短评打分': 4}
{'短评内容': '酒店很一般', '短评打分': 3}
{'短评内容': '房间太&hellip;&hellip;，，，住了慢慢体会吧！', '短评打分': 5}
{'短评内容': '还行吧 毕竟市里边便宜不会好', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '心里不舒服，212元住六七平方米的房间，床又小，我躺下脚就踢到电视柜了，我上当受骗了，和网站上所说的不一样，又没停车位的，就停在马路边、此店没停车场的。分分钟给警察抄牌的。我很后悔来到这个宾馆！', '短评打分': 2}
{'短评内容': '七天比较好吧', '短评打分': 4}
{'短评内容': '这个位置对的起这个价钱', '短评打分': 4}
{'短评内容': '房间的空气不太好，不过比较位置比较靠近天河体育中心，出行都比较方便', '短评打分': 5}
{'短评内容': '不错的，隔壁就是天河城，离体育中心近，看球赛不错啊。', '短评打分': 5}
{'短评内容': '房间小，有些房间无电脑，不过在体育中心附近对得住这个价格', '短评打分': 1}
{'短评内容': '有电脑，这点不错。其他的一般般吧，价格决定质量。', '短评打分': 5}
