{'短评内容': '地处便利，环境简洁，客房舒适', '短评打分': 4}
{'短评内容': '酒店很干净，地理位置很方便，房间一个人住挺大，服务还不错', '短评打分': 4}
{'短评内容': '酒店环境不错，就是网速相对来说有些慢，还有就是没有早餐', '短评打分': 5}
{'短评内容': '酒店环境不错，我住的是套房，很大很宽敞，床也很大很舒服，以后去柳州还会去住！', '短评打分': 5}
{'短评内容': '比想象中好，对着公园，舒服，值得。', '短评打分': 3}
{'短评内容': '地理位置优，在市中心，马路对面是柳侯公园，交通便利，房间干净，设施服一般，房间不是很大，服务员态度好。价格有点高。', '短评打分': 5}
{'短评内容': '地理位置很好，位于市中心广场旁，对面就是公园。装修略显陈旧。', '短评打分': 5}
{'短评内容': '这家酒店很不错，在市中心，环境不错，价格也还可以。', '短评打分': 5}
{'短评内容': '相对于商务酒店，价格偏高，床铺很差，里面条件很一般。', '短评打分': 1}
{'短评内容': '房间设施陈旧，服务员及主管服务态度很差，属于顾客爱住不住的态度，房间不及时清理', '短评打分': 1}
{'短评内容': '环境优雅，预定价廉，安心舒适!', '短评打分': 3}
{'短评内容': '设施有点旧，房间很大，网速也挺快\n为什么要20个字。。。', '短评打分': 5}
{'短评内容': '本来还想多住一个星期的，结果因为酒店接待了会议，把我们赶出来了。郁闷……', '短评打分': 5}
{'短评内容': '服务非常的差. 之前的房间厕所冲不了水.电视机又看不了.又没有电招的士,服务员什么信息都不能提供.\n真的很差', '短评打分': 1}
{'短评内容': '就价格而言，在市中心有那么优惠的价格已经算不错了！但是就酒店环境卫生来说，就真的是太差了！跟我们这最廉价的宾馆是一样的装修和环境，根本算不上标准，只能凑合着住吧。', '短评打分': 5}
{'短评内容': '一般，搞不明白为什么电卡插了之后要用手拍一下才有电。', '短评打分': 5}
{'短评内容': '环境还好，挺干净整洁的，设施基本齐全，位置挺好的。', '短评打分': 5}
{'短评内容': '里面的设施都很陈旧了，被子也很薄，建议要住的朋友要问服务员拿条毯子.', '短评打分': 5}
{'短评内容': '酒店位置挺好，位于市中心，交通还是蛮方便的。', '短评打分': 3}
{'短评内容': '位置挺找，在柳侯公园旁，内部环境挺干净的，服务还好，价格比较合理。', '短评打分': 5}
{'短评内容': '卫生条件挺好，设施挺齐全，价格挺适中的。', '短评打分': 5}
{'短评内容': '位置有点偏，服务设施落后，有点陈旧，其他还好', '短评打分': 1}
{'短评内容': '酒店的位置还可以，房间的设施也就比较简单不过还算比较齐全。价格的话还不错。', '短评打分': 3}
{'短评内容': '环境可以，交通便利。', '短评打分': 3}
{'短评内容': '环境卫生还可以  但是 中央空调系统太不给力  柳州那几天刚好降温 但室内温度还是不行  后来两个人挤了一张床才好些', '短评打分': 1}
{'短评内容': '感觉环境很一般，家具有点旧，总体感觉一般', '短评打分': 1}
{'短评内容': '价格适中，房间硬件设施齐全，卫生条件很好，酒店地处繁华地段，出行还是很方便的，住宿环境不错', '短评打分': 5}
