{'短评内容': '吃饭方便！', '短评打分': 4}
{'短评内容': '总体来说还是不错的', '短评打分': 5}
{'短评内容': '安静，周围吃饭的地方也多，也有特色', '短评打分': 5}
{'短评内容': '还好吧，条件还可以', '短评打分': 5}
{'短评内容': '酒店这个月12月20号就停止营业了，由于业主以后不续签合同了，装修以后就不再是宾馆了，还有两个星期的时间。', '短评打分': 5}
{'短评内容': '不错  好评', '短评打分': 5}
{'短评内容': '非常好的洲际，游泳池也不错，除了前台效率需要加快', '短评打分': 5}
{'短评内容': '虽然没有入住，但京东的服务非常好，赞一个', '短评打分': 5}
{'短评内容': '不怎么样，屋里好暗好潮，又有一股装修材料的味，一晚上没怎么睡好，这里也就是位置好一些，离地铁近', '短评打分': 4}
{'短评内容': '挺好的，京东和酒店的服务都是一流。', '短评打分': 5}
{'短评内容': '在京东订宾馆，房间位置好价格也挺合适。', '短评打分': 5}
{'短评内容': '电梯内和走廊有明显异味，房价地板有明显的缝隙，房间的门隔音很差，幸好卫生间是一体化的，否则真不能住了。这间店的总评级决定明显低于平均水平。不建议入住。', '短评打分': 3}
{'短评内容': '价格实惠服务好', '短评打分': 5}
{'短评内容': 'OK的', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的，还有暖气，很暖和', '短评打分': 5}
{'短评内容': '提早订性价比还可以。', '短评打分': 3}
{'短评内容': '提早订性价比还可以。', '短评打分': 3}
{'短评内容': '还行。都有换然一新的感觉。值得来尝试一下。周围吃饭的小摊子很多，卖早点、水果、小吃的很多。很干净，房间也很宽敞。就是距离地铁站有一点距离，需要走一段小路。', '短评打分': 5}
{'短评内容': '还行。都有换然一新的感觉。值得来尝试一下。周围吃饭的小摊子很多，卖早点、水果、小吃的很多。很干净，房间也很宽敞。就是距离地铁站有一点距离，需要走一段小路。', '短评打分': 5}
{'短评内容': '真的很失望。跟东方锦江的一贯风格不符。房间很小也很简陋。完全对不起309这个价位。不过服务态度不错。', '短评打分': 1}
{'短评内容': '＋干净整洁，房间蛮大的！就是稍微有点偏，外面街道晚上各种小吃烧烤，开车进出不是很方便～', '短评打分': 3}
{'短评内容': '环境卫生 都还不错~   就是地方稍微有点偏~ ', '短评打分': 5}
{'短评内容': '外面好热闹  地摊练成排，晚上休闲烧烤的好地方，就是外面太吵闹了 要到晚上11点后 才好些，房间干净整洁，睡眠舒适，还有WLAN，上网真方便', '短评打分': 5}
{'短评内容': '房间很大，比七天，如家，汉庭都要大。比较舒服，也很安静，因为远离大马路。\n推荐入驻。\n但是车不太好走，所以要开车出门办事的不太方便，要走5分钟左右。', '短评打分': 5}
{'短评内容': '环境还不错，比较干净，服务员也很有礼貌，离办事的地方很近，交通也还好', '短评打分': 5}
{'短评内容': ' 环境还不错 服务也ok  有机会还会考虑', '短评打分': 3}
{'短评内容': '离要去办事的地方近，条件还可以。', '短评打分': 3}
{'短评内容': '感觉还是挺干净的，服务员也比较有礼貌，不过交通很一般，', '短评打分': 5}
{'短评内容': '位置比较偏，店内设施很一般，总感觉还是南方的锦江之星比较好，而且早餐的种类很少，并且未考虑外地住客的口味，总之很一般，门口那路上的卫生就更别提了。', '短评打分': 1}
{'短评内容': '设施齐全，环境卫生干净，早餐还好。地理位置位于小胡同内，开车比较困难，但是有车位。', '短评打分': 5}
{'短评内容': '酒店周围环境非常的差，再也不去住了，非常的失望，很不好找！！！', '短评打分': 1}
{'短评内容': '酒店的位置特别的好，在新街口，出行比较傍边，但是酒店的菜价太贵了，吃不起。', '短评打分': 5}
{'短评内容': '位置不错，也挺干净，就是设施真的该提高了', '短评打分': 5}
{'短评内容': '十好评', '短评打分': 3}
{'短评内容': '比较偏僻，不太好找。但是离地铁站不远，不行10几分钟。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '整体还可以，不过卫生间马桶感觉比较旧，屋里没有备电吹风', '短评打分': 3}
{'短评内容': '酒店还不错，就是没有电脑。上网有WIFI,但不是很方便。酒店空调不怎么样，其他的都还可以吧，位置也可以，离地铁口很近，很方便，出门就是市场，饮食很方便。', '短评打分': 5}
{'短评内容': '地理位置有点偏，比较难找。环境还可以，房间够干净，够舒服就是空调效果有点不太好', '短评打分': 5}
{'短评内容': '酒店老舊, 在社區裡面, 不過, 酒店還算乾淨, 吃飯方便', '短评打分': 5}
{'短评内容': '这家店很不好找，在巷子深处，周边环境较差。\n室内装修很旧了，应该开店很多年了。\n电梯很慢，总之，这家店各方面表现较差', '短评打分': 1}
{'短评内容': '锦江之星太平庄店，比较安静，价格适中。但空调不好，好象该加氟了。', '短评打分': 3}
{'短评内容': '很一般的酒店。锦江之星的酒店一般都在小巷口里，进出都不方便。另外，老房子改造的，隔音效果不好。早上想多睡一会是不可能的。', '短评打分': 1}
{'短评内容': '酒店位置简直无话可说，汽车司机需要很大勇气才能开进去。', '短评打分': 3}
{'短评内容': '房间太小了，周边环境太差，感觉不够干净，不像宾馆像旅店。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务很好，房间也不错，但房间隔音一般，隔壁的人又不自觉。总的来看是不错的，价格应放在220比较合适。', '短评打分': 5}
{'短评内容': '位置不错\n三环边\n其他一般\n毕竟在北京，这个价格不错啦', '短评打分': 5}
{'短评内容': '门前马路窄了点，车有点挤，酒店挺干净，服务态度不错，暖气温度再高点儿就更好了', '短评打分': 5}
{'短评内容': '服务挺好', '短评打分': 3}
{'短评内容': '在网上反复看了网友的位置介绍，过来没费力就找到了。条件和其它锦江之星比差不多，房间有点老旧，还能接受。', '短评打分': 3}
{'短评内容': '环境很好，房间宽敞！交通也很方便！下次还来！', '短评打分': 5}
{'短评内容': '就在北三环边上，交通很不错，门口出租车也方便；离牡丹园海底捞也很近。房间很干净，服务不错！', '短评打分': 5}
{'短评内容': '房间还可以，就是难找点。', '短评打分': 3}
{'短评内容': '早餐很丰富，房间设施都很不错，特别是床上用品，被子枕头都很舒服', '短评打分': 5}
{'短评内容': '地方太难找,卫生还不错，清洁的阿姨很好~', '短评打分': 5}
{'短评内容': '其它都可以，就是位置有点偏，在居民区中。进入酒店的道路很窄。', '短评打分': 1}
{'短评内容': '酒店干净整洁，价格要再底点，性价比就更高了', '短评打分': 5}
