{'短评内容': '卫生差', '短评打分': 2}
{'短评内容': '非常不错，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，服务也很好', '短评打分': 5}
{'短评内容': '物有所值 非常不错', '短评打分': 4}
{'短评内容': '酒店服务态度极差，奉劝朋友们千万不要上当', '短评打分': 1}
{'短评内容': '不错的，经常使用', '短评打分': 5}
{'短评内容': '还可以，价有所值', '短评打分': 4}
{'短评内容': '还可以，性价比不错.', '短评打分': 4}
{'短评内容': '价格很实惠', '短评打分': 5}
{'短评内容': '非常不错啊，而且房间很大！  当我第一次去看见前台妹子让我有种初恋般的感觉！！哈哈哈哈哈哈~    真的很逗', '短评打分': 5}
{'短评内容': '相对价格还是非常不错的，只是服务员态度较为冷淡.看门的师傅不错啊！可惜没有专用停车场', '短评打分': 5}
{'短评内容': '自己出游，节俭还不错的原则', '短评打分': 5}
{'短评内容': '服务很好，部分设备有点老，干净卫生，推荐入住。', '短评打分': 5}
{'短评内容': '最舒服的一次酒店住宿。 虽然去的较晚。。。但是从装修。热水。。。宽带。。。电视各方面都比较好。。。', '短评打分': 5}
{'短评内容': '房间不错，前台的服务也很好！', '短评打分': 3}
{'短评内容': '多次来入住了，一如既往的好！', '短评打分': 3}
{'短评内容': '已经是多次来入住了，很好！', '短评打分': 3}
