{'短评内容': '酒店不卫生，当时是因为觉得便宜才入住，进去就后悔啦，屋子没有窗户，一股味道让人受不了，但是网定的不能退钱，所以没有脱衣服在被子上勉强睡了一宿。', '短评打分': 2}
{'短评内容': '不错，老板夫妻二人很好。服务周到，推荐很多省钱又方便的出行。', '短评打分': 5}
{'短评内容': '干净卫生，老板热情。', '短评打分': 5}
{'短评内容': '电视太老了 其他还好，但是我真不知道老板的那个网上图书怎么拍出来的  视觉差 贼6贼6的,厉害啊值得学哈', '短评打分': 4}
{'短评内容': '不错，老板娘是老乡！干净，价格实惠，安静。', '短评打分': 5}
{'短评内容': '帮朋友订的，因为在市区附近，地方比较好找，要求不要太高的旅客其实也是不错的选择', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '较旧的宾馆，凑合睡睡，最大优点是热水足', '短评打分': 3}
{'短评内容': '实在没地方才住的酒店，不推荐。', '短评打分': 3}
{'短评内容': '卫生还可以，但隔音较差，影响睡觉。', '短评打分': 4}
