{'descr': '酒店位于岛中心 出差必选 请前台帮忙寄存行李 态度特别好 隔壁吃饭也能送外卖 很方便 就是早餐不太好吃 种类较少 可能跟每个地方有关 总体挺好的', 'star': 5}
{'descr': '舒服干净利落', 'star': 5}
{'descr': '干净利落，舒服', 'star': 5}
{'descr': '长兴岛的酒店价格也是有淡旺季的，高的时候经济型酒店三百块都拿不下来，也根本没有房间。当然，选择住一住还是没有问题的.可以的酒店，生意也不错。下面有个神炭烧烤，可以直接在房间内订餐，再把东西叫到房间里，倒是很方便的选择', 'star': 5}
{'descr': '很标准的经济型酒店，该有的都有，也不会差到哪里去。只是有的房间可以很清晰听见外挂空调主机彻夜不息的轰鸣声', 'star': 4}
{'descr': '不错不错，一直在京东购物很满意！质量有保障而且服务好！', 'star': 5}
{'descr': '窗户太小太小了。', 'star': 4}
{'descr': '枕头味太大', 'star': 4}
{'descr': '枕头味太大', 'star': 4}
{'descr': '还可以', 'star': 4}
{'descr': '方便', 'star': 5}
{'descr': '周边方便，岛上的首选', 'star': 4}
{'descr': '周边方便，岛上的首选', 'star': 4}
{'descr': '周边方便，岛上的首选', 'star': 4}
{'descr': '淡季价格优惠，周围吃饭也算方便。', 'star': 5}
{'descr': '酒店还不错，就是大厅电脑办公不行', 'star': 3}
{'descr': '酒店很干净，地理位置不错，周围吃饭很方便。', 'star': 5}
{'descr': '房间总体感觉还行，但是不习惯如家的守旧，不会变通。网速较慢。', 'star': 5}
{'descr': '  房间干净整洁  很满意', 'star': 3}
{'descr': '环境一般 可能是新建的问题吧  服务员的的工作态度不是很好   叫一下服务员需要很长时间', 'star': 5}
{'descr': '酒店是新的，环境很好，在长兴岛区域内有很大的价格优势，值得推荐', 'star': 5}
{'descr': '酒店环境不错，就是盖得被有点太沉了...........................................', 'star': 5}
{'descr': '挺干净，挺不错，就是房间有点小，如果能提供大的停车场就更好了，谢谢！', 'star': 5}
{'descr': '被子挺厚的 房间也很暖和 价钱便宜 就只早餐太难吃了', 'star': 5}
{'descr': '还行 就是早餐太难吃了 建议多收点钱 改良下都行', 'star': 5}
{'descr': '干净、整洁，处于较为繁华的地段，交通便利，周围有很多吃的地方', 'star': 5}
