{'descr': '没有空调，太冷', 'star': 2}
{'descr': '环境还可以', 'star': 5}
{'descr': '位置好', 'star': 4}
{'descr': '可以加被子 送暖宝宝 帮别人充电', 'star': 3}
{'descr': '很好 前台服务员特别耐心 周到', 'star': 4}
{'descr': '很好！！！', 'star': 5}
{'descr': '酒店不错，，然而会员不能积分很是遗憾', 'star': 3}
{'descr': '如家，如家一般！房间宽敞，室内明亮，楼层可以，住起来感觉很好。', 'star': 5}
{'descr': '还不错，房间很大，性价比高', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '很好，很好很好，挺不错的', 'star': 5}
{'descr': '还不错，就是这个大楼有点杂', 'star': 5}
{'descr': '交通，去景点，选此酒店还可以。服务一般，门前存车车位有点紧张。', 'star': 3}
{'descr': '临时出差还是可以的，卫生都还不错洗漱用品也齐全', 'star': 5}
{'descr': '房屋敞亮，空间不小，卫生间的配置稍微旧一点，还有就是隔音效果差一点。地理位置极佳，周边什么都方便。整体感觉良好。', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '交通便捷挺好的', 'star': 5}
{'descr': '经常住这家酒店，真心不错，交通便利，服务周到', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '回到上大学的城市，一起找回关于这座城市的记忆。酒店前台态度很好，设施齐全，卫生也很好，主要是在保定，床单上没有毛发也算难了。记得格林豪泰服务人员说的最多的就是，洗衣房残留之类的，所以这里还是很令人满意，或许运气好？不知道。酒店位置也是忘不了的裕华路，方便逛街。总体这次回保定住这里非常满意。', 'star': 5}
{'descr': '还行吧，挺干净的', 'star': 5}
{'descr': '建议如果开车去的朋友一旦找到了停车位（无论是广场上的停车位还是酒店楼下的停车位）就千万不要再挪动了，真是太难停车了。当时和爸妈准备吃去开车找地方吃饭，开车出去了，回来刚20点就已经没有车位了，着急等了30分钟，终于找到一个车位，晕死。停好车千万不要再动了！！！！酒店设施还行，住的是家庭房，两个卧室的那种。当时住在把角，没觉得有什么杂音，这点很好。只是整栋楼各种酒店，什么速八，什么7天，还有什么什么', 'star': 5}
{'descr': '朋友住的，反馈信息如下：\r\n1、服务态度较好，位置交通方便！\r\n2、房间是218RMB的套间，室内简洁！\r\n3、室内电视还行，隔音也不错！\r\n4、室内无衣柜、无鞋架、显得有点简陋！\r\n5、这栋大楼，有三个酒店，公用一个大厅，分别是如家、速8，还有个叫诚什么的，速8价格最低！\r\n6、3楼有个餐厅，提供午餐晚餐，价格实惠，味道不错，比外面马路边的小饭店便宜、干净！', 'star': 4}
{'descr': '如家的环境全国都一样，但是价格却是根据各个城市的标准来收的，很合理，京东的定酒店服务也不错。', 'star': 5}
{'descr': '住过的如家里，这是感觉最好的了。远处看高高的楼像是一个五星级酒店，离火车站走路五分钟，而且我住的是顶层，二十几层忘了呵呵，就一个字，好！', 'star': 5}
{'descr': '感觉还不错，如家，速8等几家酒店都在成明大厦里面，如家的价格是最合适的', 'star': 5}
{'descr': '环境很不错也很干净，就是房间的隔音效果稍微差点，', 'star': 5}
{'descr': '房间内手机基本没有信号，望解决！房间内有潮气！', 'star': 1}
{'descr': '还可以，比较安静，但床上有头发，停车比较难……。', 'star': 5}
{'descr': '房间还行,就是有点儿小!', 'star': 3}
{'descr': '价格略高，不过环境真好，干净整洁，吃东西很方便，洗澡水流在大一点就好了', 'star': 5}
{'descr': '对周五周六房费加价未进行提示和说明', 'star': 3}
{'descr': '交通还挺方便，有一定的停车位，室内卫生条件一般吧。', 'star': 5}
{'descr': '酒店还不错，房间稍微有点小，服务态度比较好，附近快餐小吃比较多。总体比较不错。', 'star': 3}
{'descr': '房间很小，而且周围环境较差~最让我失望的是，入住时居然给我安排了一间有人住的房间，差点闹误会', 'star': 1}
{'descr': '朋友住了，说还不错', 'star': 3}
{'descr': '房间颜色亮丽，一改单调的白色，隔音效果不好!', 'star': 3}
{'descr': '后悔死了，这个如家酒店太乱了！和四、五个酒店在同一个大厦里，大厦里还有夜总会等！共用电梯，很不安全！！', 'star': 3}
{'descr': '不错的地方，交通挺方便，而且环境不错，周围吃的也挺多，', 'star': 5}
{'descr': '房间面积小了一些，其他整体上还行。。呵呵、', 'star': 1}
{'descr': ' 离火车站很近，一幢大楼里有4个酒店，房间相比较算是相当大的，其他都是如家标准配置，就是电视很破，热水等的时间较长，早上6点没热水', 'star': 3}
{'descr': '第二次入住了 简单快捷 电视还能收到好多平时看不到的平道', 'star': 5}
{'descr': '服务和环境都不错\n惟一的缺点就是隔音不太让人满意', 'star': 5}
{'descr': '酒店地理位置很好 房间内设施很简单 很干净 很值得一注哦', 'star': 5}
{'descr': ' 房间暖气太大，很闷。', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '服务态度好，就是卫生间小点，不过可以理解，北京嘛，寸土寸金，这家店的地理位置不错，去哪都不远。', 'star': 5}
{'descr': '干净舒适，打扫也及时。不过洗澡水有点凉，希望能改进。', 'star': 5}
{'descr': '房间很大，视野很好！下次还会选择入住，服务很好很热情！', 'star': 5}
{'descr': '第二次入住了，环境还可以，干净整洁。早餐也不错。', 'star': 5}
{'descr': '很好，地方很大，也很干净，位置离着火车站挺近，就是电梯不太好，有点吓人。', 'star': 5}
