{'短评内容': '服务有待提升', '短评打分': 4}
{'短评内容': '服务可以的', '短评打分': 4}
{'短评内容': '设备很陈旧。', '短评打分': 4}
{'短评内容': '早餐还可以，服务也还行，设备老旧，地理位置还行，距离岳麓山和橘子洲头近', '短评打分': 4}
{'短评内容': '卫生不错，地段很好在地铁2号线出口边，服务总体上还不错，但卫生间的淋浴喷头水不是很大，早餐品种较少。', '短评打分': 4}
{'短评内容': '装修有点老 洗手间太小 床单什么还算干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '灰常喜欢灰常喜欢灰常喜欢灰常喜欢灰常喜欢灰常喜欢', '短评打分': 5}
{'短评内容': '环境很好，尤其是泡澡的浴缸很舒服，不过前台的服务给人的感觉不大好', '短评打分': 5}
{'短评内容': '临近景区，有地铁，交通便利，还可以。不足是设施老化。', '短评打分': 4}
{'短评内容': '不错，价格也不高。', '短评打分': 5}
{'短评内容': '不错不错。个人觉得很好。', '短评打分': 5}
{'短评内容': '不错哦，本来定了两天的，有一天满房了，物美价廉。', '短评打分': 5}
{'短评内容': '服务态度不好！', '短评打分': 3}
{'短评内容': '酒店位置出行方便，门口的超市购物、用餐都较便利，且临近地铁口，店内设施虽年代较久，但是很整洁。服务较周到，还算满意！', '短评打分': 5}
{'短评内容': '酒店位于岳麓山下,环境优美,价格合理,因酒店开业时间,设备需更新！', '短评打分': 4}
{'短评内容': '酒店不错，就是老旧了点。', '短评打分': 5}
{'短评内容': '环境不错 价格合理                                          好', '短评打分': 5}
{'短评内容': '服务极差！预订房间因有客人酒醉呕吐气味难闻，要求换房反复推诿敷衍，后在大堂等了一个多小时才换成。', '短评打分': 3}
{'短评内容': '大体不错啦', '短评打分': 5}
{'短评内容': '设备设施需太旧，特别是马桶黑黑的，看着不舒服。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '有热水，来得慢，被子白，干燥。厕所似从未抹过，洗脸渍多，中间滩似干了好久的呕渍。四面来风，服务员也无法关严窗户，穿上所有衣裤，在盖上两床被子睡觉仍感冒了。无空调，服务员说正在维修，大厅却暖和。厕所纸牙刷全都没有。其实周边比较便宜的酒店很多。只能说那天的前台不错。一星级。', '短评打分': 3}
{'短评内容': '住过多次了，酒店环境还可以。', '短评打分': 4}
{'短评内容': '干净，不错二十个字的评语真难写，哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店的外观还行，可里面的设施实在不敢恭维，不说酒店和写字楼是共用的，服务态度一点不好。', '短评打分': 5}
{'短评内容': '住宿环境和价格反差大，条件一般、、、、、、、、、、、、、、、、、、', '短评打分': 1}
{'短评内容': '通程麓山大酒店房间宽敞，但卫生间较简陋，不含早餐', '短评打分': 3}
{'短评内容': '空间太小，服务不好。太出我意料之外了。', '短评打分': 3}
{'短评内容': '离岳麓山大门走路5分钟,方便,无线热水什么的还不错,对的起这个价格!', '短评打分': 5}
{'短评内容': '环境不错，服务也还好', '短评打分': 3}
