{'descr': '还不错，经济实惠', 'star': 5}
{'descr': '没有窗户，不过环境还可以，住的也算舒服', 'star': 4}
{'descr': '好好好好好好', 'star': 5}
{'descr': '一般，性价比高', 'star': 5}
{'descr': '楼道有点黑其他还行，', 'star': 4}
{'descr': '房间特别小，没有窗户!没有热水，根本对不起这个价格!', 'star': 1}
{'descr': '位置就在哈尔滨工程大学门口，去学校很方便，但是整体入住环境更差很差，在很多城市都住过布丁酒店，但是这家是体验最差的。因为飞机晚点提前几个小时就告诉了但是到酒店吃了闭门羹，叫了半天门才有人开门。第二天晚上不到十点回酒店酒店又关门了不知道为什么？酒店服务人员态度都很差，第一天的酒店人员还不停的抱怨。总之体验感觉差极了', 'star': 3}
{'descr': '傻逼酒店，超级无敌差。他ma的第一次听说什么床单污染扣押金，变相收费呗。电视三个台玩你ma？', 'star': 1}
{'descr': '没窗子的小屋很闷，晚上干的不行', 'star': 4}
{'descr': '干净舒适   适合旅游居住', 'star': 5}
{'descr': '特垃圾', 'star': 1}
{'descr': '卫生不错，但卫生间居然没门。。。', 'star': 4}
{'descr': '还不错 价格便宜 但是隔音不太好 很干净', 'star': 5}
{'descr': '发票邮递 居然到付', 'star': 3}
{'descr': '布丁的格局还是不错的，周边有动物园和文化公园，还有工程大学和百盛，晚上可以随便走走，行程安排很方便。六楼的大房间有个大阳台，但是我更喜欢五楼。', 'star': 5}
{'descr': '总共住了21天，离开时想多休息半小时再走，说要收10块，结账时因为开票问题，说少开两块钱，本来无所谓，但觉得该店很没有人情味，坚决拒绝。感觉此店只认钱。', 'star': 1}
{'descr': '房间真的很小，隔音效果不好，一早上就被吵醒了，服务挺好的，游乐园很近！总体来说还是不错滴', 'star': 5}
{'descr': '房间小，但整体性价比高。在附近酒店中算是有性价比的', 'star': 5}
{'descr': '该酒店能用信用卡，但不肯预授权。房间极小，卫生间没有门，透明的。', 'star': 1}
{'descr': '服务态度很好，很舒适', 'star': 3}
{'descr': '服务态度很好，很舒适', 'star': 3}
{'descr': '挺好找的,房间很干净.', 'star': 3}
{'descr': '挺好找的,房间很干净.', 'star': 3}
{'descr': '原本订的是大床房B，但由于这两天房间爆满，工作人员忘了把我的订单落实，但还是想办法给我安排了一个房间。房间不大，但还比较清爽。', 'star': 3}
{'descr': '原本订的是大床房B，但由于这两天房间爆满，工作人员忘了把我的订单落实，但还是想办法给我安排了一个房间。房间不大，但还比较清爽。', 'star': 3}
{'descr': '我是元旦去哈尔滨玩入住的，因为离朋友的学校很近，就选择了这家。酒店新开不久，房间满大的，没什么异味，热水也很充足。就是暖气不太好，空调据说是新安装的，第一天晚上没找到遥控器，就要求加了两床被子，很快就给送来了。第二天晚上暖气居然是半温的，打电话问服务台说是供暖公司给停的，要早上才来，不知道为什么，哈尔滨冬天那么冷，停掉暖气可受不了，又给前台打电话，这次把空调遥控器送了过来。其余的都还好，服务态度不', 'star': 5}
{'descr': '我是元旦去哈尔滨玩入住的，因为离朋友的学校很近，就选择了这家。酒店新开不久，房间满大的，没什么异味，热水也很充足。就是暖气不太好，空调据说是新安装的，第一天晚上没找到遥控器，就要求加了两床被子，很快就给送来了。第二天晚上暖气居然是半温的，打电话问服务台说是供暖公司给停的，要早上才来，不知道为什么，哈尔滨冬天那么冷，停掉暖气可受不了，又给前台打电话，这次把空调遥控器送了过来。其余的都还好，服务态度不', 'star': 5}
{'descr': '挺好的，很舒适，很干净，就是离中心远点，下次还会选择布丁。', 'star': 5}
{'descr': '挺好的，很舒适，很干净，就是离中心远点，下次还会选择布丁。', 'star': 5}
