{'短评内容': '房间的空调制冷有点慢，其他都还凑活', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '早餐比较差，介绍里说的游泳池和健身房根本不存在。', '短评打分': 1}
{'短评内容': '房价不错早餐太差', '短评打分': 3}
{'短评内容': '打破了几毛钱的杯子一个，要我赔了10元。', '短评打分': 5}
{'短评内容': '位置和服务都好', '短评打分': 3}
{'短评内容': '宾馆房间很大，卫生间布局很有特点。下次去武汉还会选择这家。', '短评打分': 3}
{'短评内容': '酒店卫生比较好，环境比较安静。退房是手机充电器忘房间了，前台让服务生送回。比较满意', '短评打分': 5}
{'短评内容': '应该是环境不错的酒店，但是正在施工的影响眺望的景色不太雅观。期待今后施工完毕的好景色，其他还不错。', '短评打分': 5}
{'短评内容': '其实就是好一点的三星级。一分钱一分货。', '短评打分': 3}
{'短评内容': '离东湖很近,这个大概是唯一优点了，基本是3星水平了，实际是湖北军分区的招待中心', '短评打分': 1}
{'短评内容': '环境很好前面是东湖,后面是骆枷山,酒店硬件条件不错,很安静,只是价格有点高.可以和北京上海酒店价格媲美.', '短评打分': 5}
{'短评内容': '价格虽然有点贵 不过挺值！推荐 自助餐比较丰富 室内装修风格特别喜欢', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': 'good hotel, but  not good service', '短评打分': 1}
{'短评内容': '酒店还蛮安静的！！！就是没开空调晚上闷热的很啊！！早餐丰富点更好了！！\n', '短评打分': 5}
{'短评内容': '帮朋友定的，反应还不错，下次自己去也住住看', '短评打分': 5}
{'短评内容': '早饭没有几个花样，而且卫生不是很好。桌布不知道多少天没洗，哎', '短评打分': 1}
{'短评内容': '硬件的装饰不错，湖景应该不错，但高级商务房竟然不给配湖景。大门没有服务员，前台不能换美金，不够国际化，那天二楼尽然让洗脚城的人培训，使得一楼大厅很吵', '短评打分': 5}
{'短评内容': '还好吧.', '短评打分': 3}
{'短评内容': '这是e-long推荐的5星酒店，我可以说这就是个骗局，易斯特酒店连快捷酒店都不如。', '短评打分': 3}
{'短评内容': '酒店达不到五星标准。设施还行。\n虽然酒店免费给我升了房，但是因为没有我需要的湖景景观房，而且房间隔音一般，隔壁看电视能听到，因此住了两晚就退房了', '短评打分': 5}
{'短评内容': '收费品标注不明显.感觉有些促使客人再次消费的义图，客房内的配置设施倒还算可以，整体来讲还好.', '短评打分': 5}
{'短评内容': '交通不方便，房间布置不舒适。空调不好，住了一天感觉不好。', '短评打分': 1}
{'短评内容': '很安静，离武大和东湖风景点较近，周边加油、吃饭都比较方便。', '短评打分': 5}
{'短评内容': '不错 继续会住不错 继续会住不错 继续会住不错 继续会住不错 继续会住', '短评打分': 5}
{'短评内容': '不错 继续会住不错 继续会住不错 继续会住不错 继续会住', '短评打分': 5}
{'短评内容': '很幽静和舒适的一家酒店，周边环境也不错，离风景点和武大较近，下次去还入住。', '短评打分': 5}
{'短评内容': '地点偏僻，房间老旧，也没送早餐，下次不会再选。', '短评打分': 1}
{'短评内容': '不错的酒店，很安静，房间也挺大，挺干净的，不过地毯是浅色的，所以有点脏，早餐种类有点少。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '靠近武大和东湖，离风景点比较近，早餐好，推荐住', '短评打分': 5}
{'短评内容': '湖景房的湖景有点远，而且起雾看不大到；服务员很热情，多亏他帮忙留出租车我才赶上火车。', '短评打分': 5}
{'短评内容': '还不错，就是价格高了点。要是再优惠点就好.', '短评打分': 5}
{'短评内容': '很差,无论服务,硬件,不推荐\r!!!', '短评打分': 3}
{'短评内容': '湖景不错，位置一半，早餐卷两个人只有一张，不知道为什么会有这个讲究~', '短评打分': 5}
{'短评内容': '酒店的大门难找了一点儿，不过里面的设施还不错，这个价格，有机会了下次会再来~', '短评打分': 5}
{'短评内容': '上海的老酒店，住习惯了，感觉比较舒服', '短评打分': 3}
{'短评内容': '房间不错，就是院子里搞拆迁，显得凌乱。再就是房间洗手间设计得太太神奇了。透过纱，可以看到里面的人洗澡，以及听到便便时的任何声响。', '短评打分': 5}
{'短评内容': '还不错,离东湖很近,就是空调不太好....', '短评打分': 5}
{'短评内容': '服务很好就是打车太难', '短评打分': 5}
{'短评内容': '邻近东湖,周围环境优美,尤其是15层以上湖景房可以尽赏东湖的美景,另人赞叹。卫生间全景玻璃设计颇有新意。\r\n美中不足在于进入酒店的道路需要修缮，早餐牛奶为奶粉调剂，花色品种与准五略有不符。\r\n下次到武汉还会入住该酒店，入住不要在意普通房与湖景房100元左右的差价，湖景房实在是物超所值的。', '短评打分': 5}
{'短评内容': 'soso,little old,good enviroment', '短评打分': 5}
{'短评内容': '位置很不方便很难打车而且去的时候门外面并不是挂的是酒店的名字招牌而是另外一家酒店如果不是司机认识的话我自己开车过去肯定找不到，酒店的硬件是属于五星级的标准但是软件服务连三星都不到，价格我感觉都不值，早上的水都是凉的很不方便只有晚上的时候才有热水，其他的就是很一般。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '说是五星的酒店，还不如如家，软件太差。酒店用的是太阳能，这断时间武汉暴雨，早上洗澡都没热水的。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '武汉之行主要的目的地是游览武汉大学和东湖，对此而言，该酒店的位置非常不错，在房间内可以欣赏到东湖景色。但相对其他地点而言，可以显得偏了些；房间较大，设施一般，床具用品质量较差，卫生间还算宽敞；服务水平一般，早餐质量一般。\r\n', '短评打分': 5}
{'短评内容': '设施完善，位置有些偏，但环境很好很安静，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '1、床具一般，枕头不舒服。电梯三部居然不是连动的，要等。\n2、游泳池是不开的，没有健身\n3、早餐极差，还比不了锦江之星，疑用前日剩料，吃完肚子不舒服。水果极少，橙汁是冲泡，还极淡。今天早上居然还看到西瓜堆上趴了一只体型硕大、炯炯有神的苍蝇。不敢尝试其午餐，宁可门口小街上吃碗沙县小吃。\n4、楼下超市很便宜。楼下的园林本来条件非常好，但疏于打理，水不清，树杂乱\n5、虽然在东湖边上，但是属于东湖最脏的一', '短评打分': 1}
{'短评内容': '是珞珈山花园酒店改的，挨着武大学生宿舍，不过是最东边的，也挨着东湖，算是个微型园林酒店吧，大堂不错，有些气派。\r\n房间也很大，但是硬件配置有些不足，尤其是窗帘，纱质，但是品质不高。', '短评打分': 5}
{'短评内容': '冬天去住，暖气不足，还经常停电。太差。', '短评打分': 1}
{'短评内容': '不錯的酒店,價格也不算貴.位置也很好.以後還會選擇.', '短评打分': 5}
{'短评内容': '该酒店位置好，在东湖边，在房间即可欣赏风景，且周围有很多特色美食。但附近在修路，交通状况不佳。', '短评打分': 5}
