{'短评内容': '这家宾馆离火车站很近的！挺不错的！向大家推荐啊！', '短评打分': 5}
{'短评内容': '房间有味道，手巾真的不敢用啊，别的还可以啊', '短评打分': 1}
{'短评内容': '还好，每天都有人打扫，就是218一晚太贵，这个价位可以住更好的。', '短评打分': 3}
{'短评内容': '还不错，标间没有电脑房了，给免费升级到套房了', '短评打分': 5}
{'短评内容': '只能说还行吧 里面不是很干净 硬件设施不是很完善！', '短评打分': 5}
{'短评内容': '物美价廉，很满意！', '短评打分': 3}
{'短评内容': '设施与价格不成比例， 在旅游城市应该把宾馆也能搞成城市名片！', '短评打分': 5}
{'短评内容': '服务还行！交通比较便利，去各旅游点也便捷！', '短评打分': 5}
{'短评内容': '房间真是很旧啊，一切都像八十年代，不过位置还不错，往北是火车站，往南是很繁华的商业街道，门口就有公交', '短评打分': 3}
{'短评内容': '还行 待定', '短评打分': 3}
{'短评内容': '服务一般， 设施成就， 环境一般， 但价格不是太贵！早点８：３０\u3000结束。\n\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000希望改善。\n\n\n\n\n', '短评打分': 1}
{'短评内容': '还可以吧，就是早上吃饭的人太多了，离哪都不算远', '短评打分': 5}
{'短评内容': '洛阳八一宾馆不错', '短评打分': 3}
{'短评内容': '还算比较满意吧没有地方停车', '短评打分': 3}
{'短评内容': '酒店还好', '短评打分': 3}
{'短评内容': '洛阳八一宾馆挺好的', '短评打分': 3}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '隔音不好，走廊里人的说话听得清清楚楚，房间门都有问题，关门声音特别响。正好是旅游高峰季节，每天清晨关门声音就此起彼伏，休息不好。', '短评打分': 1}
{'短评内容': '很不满意的一家宾馆，比招待所的水平还不如。设施很差，比较破旧，房间里一件像样的家具也没有。洗澡就是一条水柱，没有玻璃门隔离一下，整个宾馆也没有一个电吹风，长头发的要小心了。早餐非常非常不好，东西少而凉，住的两天都没吃。幸亏附近的新都会购物广场有个永和豆浆，否则不知道怎么办了。可取的是地理位置还不错，前台态度也算勉强可以，但我们住的期间不给打扫卫生，垃圾没人倒，脏毛巾要说过才给换，不知道河南的酒店是', '短评打分': 1}
{'短评内容': '不是很好，不值那么多房钱', '短评打分': 3}
{'短评内容': '   酒店位置不错，早餐也可以，总体很满意，下次还会考虑入住！', '短评打分': 5}
{'短评内容': '设施方面有些陈旧，位置和价格挺好的。', '短评打分': 3}
{'短评内容': '位置还好，周边交通还算方便，房间挺宽敞的，设施一般，隔音效果挺好，晚上休息的还好。', '短评打分': 3}
{'短评内容': '卫生方面还好，房间每天及时打扫，床单被罩都及时更换，这点挺满意的。', '短评打分': 3}
{'短评内容': '价格挺便宜的，停车场挺大，停车挺方便的。', '短评打分': 3}
{'短评内容': '还可以，里面设施很一般，不过还算干净！', '短评打分': 3}
{'短评内容': '酒店周边住宿环境还可以，有家乐福超市，买东西方便，房间硬件设施比较陈旧，但是蛮齐全的，卫生条件一般，其他都还好', '短评打分': 3}
{'短评内容': '感觉蛮不错的酒店，房间卫生条件很好，每天都会有人按时打扫，也很安静，住宿环境很好，其他都一般', '短评打分': 3}
{'短评内容': '酒店地理位置还可以，出行方便，停车也没问题，房间蛮宽敞的。隔音效果不错，住宿环境还可以', '短评打分': 5}
