{'短评内容': '位置很好靠苏大', '短评打分': 5}
{'短评内容': '舒适方便，吃饭方便', '短评打分': 5}
{'短评内容': '舒适，干净，吃饭方便', '短评打分': 5}
{'短评内容': '就在相门地铁站边上，酒店环境不错，里面书桌台灯等设施一应俱全。还有就是北疆饭店的堂食很不错，下次来苏州还会选这家。 ', '短评打分': 5}
{'短评内容': '贝壳房房间真的挺小，有点闷，但设施齐备，热水量大。卫生相当好，服务人员态度热情。以后还会入住，但会考虑其他房型。', '短评打分': 5}
{'短评内容': '酒店房间有点小，评价好评，可以免费送早餐券一张。早餐是15一位，东西还算丰富，楼下就是北疆饭店，吃饭很方便，而且价格也不贵，总体来说，还是不错的。', '短评打分': 5}
{'短评内容': '还可以吧酒店', '短评打分': 5}
{'短评内容': '住的确实可以', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '方便价格低', '短评打分': 1}
{'短评内容': '房间老旧', '短评打分': 3}
{'短评内容': '第二次入住北疆饭店，由于到店晚了，被分到最后两间靠角落打弯的非标房，房间很小，书桌放不了凳子，无法办公，算了凑合一下吧！', '短评打分': 3}
{'短评内容': '还挺好的，吃的也好，也方便。但是太吵了楼上.. 神经崩溃', '短评打分': 5}
{'短评内容': '评价迟了，旁边就是地铁口，对面就是苏州大学本部，出门走5分钟就到平江路、观前街，位置真的是非常好，北疆饭店味道也不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '地理位置非常方便，交通方便，对面就是地铁站，公交也很方便，离苏州大学很近，楼下就是饭店，饮食也挺对胃口的。', '短评打分': 4}
{'短评内容': '地理位置比较好，离平江路，观前街比较近。', '短评打分': 4}
{'短评内容': '就在苏州大学对面，很方便', '短评打分': 5}
{'短评内容': '来考toefl，位置很好，非常方便', '短评打分': 5}
