{'短评内容': '还可以性价比好', '短评打分': 3}
{'短评内容': '服务很好，就是设施有点久。然后Wi-Fi也不是很好用。', '短评打分': 4}
{'短评内容': '还可以性价比好11111111', '短评打分': 4}
{'短评内容': '很好，舒适，有办公感觉', '短评打分': 5}
{'短评内容': '很好，舒适，有办公感觉', '短评打分': 5}
{'短评内容': '很好，舒适，有办公感觉', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '还可以吧性价比高设备老旧', '短评打分': 4}
{'短评内容': '4名4名明明破4名明4名明明默认', '短评打分': 3}
{'短评内容': '整体还可以，比较便宜。', '短评打分': 3}
{'短评内容': '总体可以，设施有点旧。', '短评打分': 3}
{'短评内容': '第二次入住 很不错 下次还会要的', '短评打分': 3}
{'短评内容': '名副其实，房间还不错，但早餐就餐地不干净！', '短评打分': 3}
{'短评内容': '房间挺大，周围饭店很多，服务好，性价比高。', '短评打分': 3}
{'短评内容': '离办事的地方很近，火车站过来如不愿打车，坐2路汽车即可。来了赶上包头大雨，据说也是多年不遇的，后来看到这几天北京的雨，原来这还是小意思。', '短评打分': 5}
{'短评内容': '很好，干净宽敞，住得很舒服。早餐还不错，稍微单调了点。', '短评打分': 5}
{'短评内容': '我住的四人间，采光不是很好，有点暗。后来住的豪华标准间，很不错', '短评打分': 5}
{'短评内容': '就是价钱有点点贵，环境还是不错的 床比较大', '短评打分': 5}
{'短评内容': '不如附近别的酒店，比如兰亭。下会不会再住了，不推荐。', '短评打分': 1}
{'短评内容': '房间设施破旧，热水器年久失修，竟然是坏的，服务员对顾客的要求，反应迟缓', '短评打分': 1}
{'短评内容': '位置不错，大环境还可以，早餐也还行，房间大', '短评打分': 5}
{'短评内容': '房间挺大，挺干净，下次来还住这边。不错，值得推荐', '短评打分': 5}
{'短评内容': '住了几次还可以，就是房间装修已经开始变形了，需要改进了。', '短评打分': 5}
{'短评内容': '还可以，房间的部分设施应该更换了，个别房间比较冷【靠边的】，早餐吃了一次，非常不好，以后就不去吃了。 \n', '短评打分': 5}
{'短评内容': '还可以，房间的部分设施应该更换了，个别房间比较冷【靠边的】，早餐吃了一次，非常不好，以后就不去吃了。', '短评打分': 5}
{'短评内容': '还不错，性价比还可以，下次去还入住。呵呵呵', '短评打分': 5}
{'短评内容': '价格一般，位置还可以，本来当时房间里面是放了饮料的我本来就没有动但是当时我结账之后前台说少了一瓶偏要多收钱，本来就不是我动的就感觉挺郁闷的。房间还行吧。其他的都还可以。', '短评打分': 5}
{'短评内容': '价格一般，位置还可以，本来当时房间里面是放了饮料的我本来就没有动但是当时我结账之后前台说少了一瓶偏要多收钱，本来就不是我动的就感觉挺郁闷的。房间还行吧。其他的都还可以。', '短评打分': 5}
{'短评内容': '这家酒店的大堂看起来有些寒酸，感觉很老旧了，前台服务人员也不够专业，。房间卫生打扫的还可以，卫生间不是很，装潢都很陈旧了，还有异味，整体感觉很一般，这家酒店餐厅的菜做的还挺不错，建议可以尝试一下，酒店的位置还可以，周边交通比较便利，周边的餐厅很早就关门了，晚上吃饭不是很方便，价格方面感觉一般了。', '短评打分': 1}
{'短评内容': '那附近属于一个比较繁华的地区，娱乐餐饮选择很多，这家酒店环境配置硬件设施都还不错，价格合理适中，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店,房间的卫生和设施方面都很不错,住着很舒适,出行也很方便,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '订了一晚的经典套房，很超值，推荐四人左右结伴出游的人可以住这个。里面有个很大的厨房操作台，可以洗东西，烧开水。房间也很大，里外间，里间还带了一个小阳台，有一个麻将桌。窗外对着小区，也挺安静的。对面是包头的一号公馆。惟一不足的是热水器是电的，四个人轮流洗澡有点费时间。夏天可能还好吧。不过不要开房间的窗子，有蚊子。别的都还好，电梯里和过道上贴的一些文字颇有意思，也显示出了酒店轻松、大气的氛围。下次去我', '短评打分': 5}
