{'短评内容': '周边安静，可以找老板聊', '短评打分': 5}
{'短评内容': '收费合理，房子干净', '短评打分': 5}
{'短评内容': '周边环境很安静，适合带家人一起入住。离古城很近，步行3分钟就可到达。', '短评打分': 5}
{'短评内容': '老板人很好 很热情  点赞 床有点硬', '短评打分': 4}
{'短评内容': '老板很热情，人很好 各种问题都能帮忙解决 点赞 床有点硬 ', '短评打分': 4}
{'短评内容': '还不错整体性价比蛮高的价格也合适就是节假日的幅度好大价格', '短评打分': 5}
{'短评内容': '因为推迟了很久，才想起来评论。前台的姐姐服务很热情，因为自游，走了很多冤路，后来老板来接的。带我们到住的地方。环境还是可以。', '短评打分': 5}
{'短评内容': '房子有点小了10平米而且挺贵的,因为第一次去凤凰什么地也找不着，就一直一直问着路好久找到的，给店员打电话虽然路程只有几分钟也没有过来接，但是老板给我们提供了蚊香，空调要多收费20元，一般般吧。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '我定了3个太空舱，老板说这是2016.10.1前才弄好的太空舱，所以很干净，而且老板人很好，帮我们解决了好多的小问题，会像朋友推荐的，本来想传照片，但是，我手欠把照片都删了，就剩下这俩了。', '短评打分': 5}
{'短评内容': '一般一般', '短评打分': 4}
{'短评内容': '老板很热心，总之很不错啦。就是国庆节房价普遍都涨了。谢谢老板热心', '短评打分': 5}
{'短评内容': '还不错啦，位置也可以，只是十一去的，房价都涨了，要是平时去真的很划算。客栈老板很热心，帮忙说下凤凰古城地图，以及怎么走。。谢谢热心老板。还给找停车位子。凤凰停车很贵50元哦。', '短评打分': 5}
{'短评内容': '位置不错 人很热心', '短评打分': 5}
{'短评内容': '老板人很热情，就是房间小了点，灰常简单客栈', '短评打分': 3}
