{'短评内容': '交通便利，出行方便', '短评打分': 5}
{'短评内容': '很不错很时候了', '短评打分': 5}
{'短评内容': '没有免费停车场，市中心有点吵', '短评打分': 4}
{'短评内容': '酒店条件实在太差，卫生差，配套老套。服务人员就是自己家里的几个人，酒店用品都好像不干净，脏脏的，住着不舒服。', '短评打分': 1}
{'短评内容': '老店了 服务一如既往的好', '短评打分': 5}
{'短评内容': '酒店没网，客房房间冷，房间门关上打不开，服务态度不好！差评', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '放在酒店门口的电瓶车的电瓶被偷了！！！', '短评打分': 1}
{'短评内容': '条件太差', '短评打分': 1}
{'短评内容': '总体来说还是很不错的，门口就是金鹰，交通方便，吃饭那更是不错', '短评打分': 4}
{'短评内容': '位置好，去景点方便', '短评打分': 4}
{'短评内容': '酒店旁边很热闹，出行方便，这个价位还行～', '短评打分': 5}
