{'短评内容': '还不错，大叔人很热情', '短评打分': 4}
{'短评内容': '民宿环境很好，老板服务很热情，介绍的旅游线路不错，店内的鱼头汤超好吃，房间里超干净，床铺很舒服，下次还会选择山湾湾民宿，强烈推荐', '短评打分': 5}
{'短评内容': '洗手间里能发现蟑螂！午饭时候后面的二层房间能闻到厨房散发出来的味道！评价我不是很高！作为农家乐也就这样了！', '短评打分': 3}
{'短评内容': '必须好，比较向往山里面的生活，可能是平原生活惯了见到山感觉稀奇！', '短评打分': 5}
{'短评内容': '家人出游，是从南京到苏州一路上比较好的酒店。位置出游方便，卫生较好，房间比较大，性价比高，值得入住。', '短评打分': 4}
{'短评内容': '老板很热情，因为是乡村所以周边环境空气没话说，是远离城市养身的好地方，不过房间的设施要有待改善很很一般。', '短评打分': 4}
{'短评内容': '老板为人热情，房间干净卫生。鱼头汤和红烧鱼好吃。还有红烧鸡。这些都是现场制作，新鲜。很满意此次住宿。值得推荐一下！希望老板生意越来越好！', '短评打分': 5}
{'短评内容': '老板娘做的鱼头汤就一个字:鲜！', '短评打分': 5}
{'短评内容': '自驾游的好去处。老板很热情。服务意识也和不错 ', '短评打分': 5}
{'短评内容': '环境不错，设施一般，老板很热情，不过老板的每一句话都有点隐含着要赚你的钱（比如：我们提前订好了各个景点门票和漂流票等，让老板很遗憾没有机会帮我们订；老板走之前还说以后来了直接和他联系好了，不过这样你就没有网上订房的返现了）。另外，用餐偏贵，因为周边也没有其他吃的地方，所以要有心理准备。', '短评打分': 1}
{'短评内容': '环境很好，开窗就可以看到千岛湖美丽的景色。老板人很好，很热情，我们因为不熟悉路况到的很晚，老板开车到车站来接我们，很感动。晚上在酒店吃了老板娘亲自下厨的千岛湖有机鱼，味道赞一个，推荐大家吃一个。总子，下次有机会还会住这里。', '短评打分': 5}
{'短评内容': '农庄性价比不错，有机鱼也蛮好吃的，老板很热情，会一直和我们“嘎散户”。就是没有Wifi ，网络连不上。本来要去龙潭漂流的，后来老板说金峰比较近，所以还是去了金峰（农庄老板可能对哪里漂流不太熟悉，这个和老板没有太大的关系），大家以后金峰漂流千万不要去，什么烂漂流丫，水质很脏，完全就是人造的，前面一段在山洞里面的，在里面堵死，一动不动，后面几个坡，都是人造的，很不自然。我们漂流后我爸的手臂擦破了皮，我', '短评打分': 5}
{'短评内容': '老板人很好，和年轻人很能聊，很适合年轻人入住，还能为住客考虑，吃吃农家菜很实惠，镇上吃鱼估计上百呢，老板看我们是学生就给我们烧一半的鱼，吃不完还可以晚饭再热一下吃，味道还是很好！另外吃的蔬菜什么都是老板家里自己种的，没有食品安全的顾虑。作为千岛湖人，老板热情好客，我们想去石林，因为其他车综合费用太贵，老板还亲自送我们去75KM以外的石林玩一圈，只收成本费，满足了我们的愿望。对于初级自助游背包客来说', '短评打分': 5}
{'短评内容': '环境不错哦，青山绿水，空气清新，房间很干净，住的不错。老板很热情，准备的饭菜好吃又便宜，还告诉我们去景点的路，真的不错，下次还会住那里的。', '短评打分': 5}
