{'短评内容': '还不错不错', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '很好的中式酒店，再接再厉，有时间可以翻修一下，东西有点旧，白瞎那地方了，加油，希望下次去看到你们的进步', '短评打分': 5}
{'短评内容': '电视信号不好', '短评打分': 5}
{'短评内容': '电视信号不好', '短评打分': 5}
{'短评内容': '客房干净，地点离公共资源交易中心很近，周边生活方便。服务态度很好，房间晚上安静，有电脑桌，办公很方便', '短评打分': 5}
{'短评内容': '价格不高，还可以', '短评打分': 4}
{'短评内容': '几好啦又卫生干净', '短评打分': 5}
{'短评内容': '电视机太小了，其他都还不错，值得入驻。', '短评打分': 5}
{'短评内容': '周边环境比较安静。虽然开很久了，但是服务还是不错的。', '短评打分': 5}
{'短评内容': '酒店早餐太差', '短评打分': 4}
{'短评内容': '茶具那些该换啦，茶具还是漏的。其他的都还行，铁观音还是自带好，拿了一泡居然结账时18元一泡…而且那铁观音叶子都是黄的，不是好茶还收18元一泡…', '短评打分': 4}
{'短评内容': '茶具很旧了，那功夫茶冲壶还是漏的，茶杯也很多裂痕。其他都还OK。还有就是提供的功夫茶那些独立包装茶叶是要钱的，我以为是免费的，毕竟只有一泡功夫茶，结果结账时收了我18元一小包…', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 5}
{'短评内容': '适合没有太多要求的住店，适合结群聚会', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店环境不错，还有早餐，就是餐厅服务人员态度不是很好。总体感觉不错，已经是第3次入住了', '短评打分': 5}
{'短评内容': '第二次入住，酒店设施什么的还不错，就是感觉交通不是很方便，打的士有些困难，其它都还好', '短评打分': 5}
{'短评内容': '酒店真的很不错，空间也很大，服务很周到，环境不错，下次还会入住的', '短评打分': 5}
{'短评内容': '酒店环境还可以，房间挺大的，有整扇的落地窗。也不显得旧，整体来说，算是愉悦的入住经验。', '短评打分': 3}
{'短评内容': '不错的酒店价格也合适', '短评打分': 3}
