{'短评内容': '挺好的，谢谢', '短评打分': 5}
{'短评内容': '总体不错的', '短评打分': 5}
{'短评内容': '订的晚了还是不错', '短评打分': 5}
{'短评内容': '房间连个电话都没有，比较小，卫生间毛巾浴巾什么的，都破洞了，洗发水和沐浴露直接用两个矿泉水瓶子装了点，而且也不说明哪一瓶是什么，不会去第二次，当然更不会推荐朋友去', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '什么破酒店，，从来没见过哪个酒店只能用现金的，还不能用微信和支付宝滴，，，前台服务态度也超差，表示以后不会住这儿了', '短评打分': 3}
{'短评内容': '帮朋友订的，反应还不错，', '短评打分': 4}
{'短评内容': '房间里面空间很大，地理位置还不错，只是房间里地板太旧了，好多缝隙，其它还行！', '短评打分': 5}
{'短评内容': '比较烂，房间水单不给我，后来报销要用，打电话过去，打了两天十几个电话，都居然没人接！！算了，一百多不报了', '短评打分': 1}
{'短评内容': '被子很潮，好像没有换过床单被罩', '短评打分': 2}
{'短评内容': '被子很潮，好像没有换过床单被罩', '短评打分': 2}
{'短评内容': '被子很潮，好像没有换过床单被罩', '短评打分': 4}
{'短评内容': '酒店设施不行，卫生打扫的也不行。拖鞋居然不是一次性的。有点失望?。', '短评打分': 4}
{'短评内容': '感觉酒店不是很正规，位置也很偏，毛巾不是很干净', '短评打分': 3}
