{'短评内容': '一直住，挺好…', '短评打分': 5}
{'短评内容': '还行，房间不错，就是价格稍高，性价比一般。', '短评打分': 4}
{'短评内容': '很好准时，环境好，干净，设施齐全', '短评打分': 5}
{'短评内容': '酒店位置很好，房间干净，很安静，交通便利，吃饭地方多。', '短评打分': 4}
{'短评内容': '酒店位置很好，房间干净，很安静，交通便利，吃饭地方多。', '短评打分': 4}
{'短评内容': '不错的连锁酒店', '短评打分': 4}
{'短评内容': '还不错，各方面还是老样子，门口帮忙看车师傅很好，认真复杂，谢谢哈！', '短评打分': 4}
{'短评内容': '交通方便，整体感觉不错。', '短评打分': 5}
{'短评内容': '各方面都很满意', '短评打分': 5}
{'短评内容': '酒店很好找，服务态度更是棒棒哒，到了之后前台的经理特别给力给我们换了商务大床房，真的是太感动了，环境卫生真的是没得挑。退房后东西落下了，六七百的耳钉，回头又去找，客房部替我们都笑收好，真的是很细致很感谢！绝对的高素质满分！', '短评打分': 5}
{'短评内容': '周边交通便利，服务也好，房间隔音效果不太理想。', '短评打分': 5}
{'短评内容': '不错的环境', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '破旧，有味道。', '短评打分': 3}
{'短评内容': '酒店不错，干净卫生，交通便利，虽然设备设施房间有点旧，但服务不错。', '短评打分': 5}
{'短评内容': '不错的，屋内设施很好，电视大屏幕纯平，就是周围交通不是很便利，大概走700米有个大超市易初莲花', '短评打分': 5}
{'短评内容': '方便干净条件也不错，好，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '交通方便，卫生干净，早餐味道也不错,值得推荐 \n', '短评打分': 5}
{'短评内容': '房间挺大。总体还行，就是细节不够好。房子有起皮现象。', '短评打分': 5}
{'短评内容': '卫生还不错，主要办事比较近，服务一般，房间有点小', '短评打分': 5}
{'短评内容': ' 虽然楼层不多，但风格典雅精致，房间硬件可比三星。不错。', '短评打分': 3}
{'短评内容': '性价比高，房间干净，但酒店外面吃饭的地方较少。早餐做的蛮好。', '短评打分': 5}
{'短评内容': '酒店还行，感觉不错。', '短评打分': 3}
{'短评内容': '在酒店门口打车一般要等20分钟以上。酒店上去几条街有一些郑州当地特色(面食等)的餐厅。酒店内部环境还好吧。', '短评打分': 5}
