{'短评内容': '早餐怎么样？', '短评打分': 5}
{'短评内容': '酒店整体好棒', '短评打分': 4}
{'短评内容': '为方便参加一日游集合而订的这家酒店，的确方便，离小吃街也很近。', '短评打分': 5}
{'短评内容': '早餐下来的时候说没有了，环境倒还可以，服务不是很行。', '短评打分': 4}
{'短评内容': '因为打算报一日游参加黄果树瀑布和千户苗寨，看了一下一日游的出发地点就在大昌隆，然后离大昌隆性价比最高的就是银隆文华酒店了。而且酒店离花果园 打滴预计12元内，然后离鸿通城 二七路小吃街 火车站走路就可以了 预计10分钟，然后打滴去贵阳北站也不贵 大概30块钱。酒店房间内的配置挺好的，因为我透过携程订了168/晚的豪华标间，可能是酒店方超额预定吧，没有房间了，就免费帮我升级豪华套间了。然后还包含早餐', '短评打分': 5}
{'短评内容': '酒店挺好的，虽然外观一般般，而且在建材市场里面，但是房间设施还好。最差的一点就是花洒太烂水太小！而且水温温的不够热，根本洗不了澡', '短评打分': 3}
{'短评内容': '离火车站近', '短评打分': 5}
{'短评内容': '房间比以前更小了', '短评打分': 3}
{'短评内容': '被临时调换的酒店，虽没预定的好，但携程服务还是不错。', '短评打分': 4}
{'短评内容': '第一次入住环境还可以，就是地点不是十分好找。', '短评打分': 3}
{'短评内容': '酒店整体装修上很不错，堪称豪华。老板是开建材城的，酒店的洗手池等都是用的名牌，可见一斑。但是酒店管理很有问题，洗漱间特别脏，明显很久未打扫。另外连挂毛巾的地方都没有。。。毛巾都是放在小柜子里的，这可真是头一次见，可见老板没有酒店管理经验', '短评打分': 3}
{'短评内容': '早餐一般般，其他都满意', '短评打分': 5}
{'短评内容': '总体不错，房间还好，早餐有待提高。', '短评打分': 3}
{'短评内容': '物美价廉，下次再来，值得称道！', '短评打分': 3}
{'短评内容': '房间比较旧，花洒漏水，服务不专业', '短评打分': 4}
{'短评内容': '有欺诈性派名片到房间的人,请不要中招!...........周边环境较差,房间设施一般.', '短评打分': 1}
{'短评内容': '周围环境差。', '短评打分': 3}
{'短评内容': '房间里面还不错，挺舒服的。得了，不要求别的了。', '短评打分': 5}
{'短评内容': '酒店卫生还行，早餐太差', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店服务，卫生各个方面都还过得去，就是外部环境嘈杂了一点', '短评打分': 5}
{'短评内容': '性价比非常不错的酒店，房间的设施基本按照四星级标准，楼下还有中式餐饮，周边是建材市场，总的来说，房间的设施优于周边环境，推荐。', '短评打分': 5}
