{'descr': '位置很好找，房间也很大，就是挨着有KTV有点吵', 'star': 5}
{'descr': '位置不错，停车附近收费停车场', 'star': 5}
{'descr': '干净漂亮舒服', 'star': 5}
{'descr': '环境一般，但是价格还是很不错', 'star': 5}
{'descr': '有异味', 'star': 5}
{'descr': '不错的酒店经济', 'star': 5}
{'descr': '太旧了，而且门店价相对较高不划算。', 'star': 5}
{'descr': '床头没有电源插头，手机充电很不方便', 'star': 3}
{'descr': '都很潮湿，一分价钱一分货，第一天在京东上订成功，打算续一天，晚上在京东上下单，被酒店拒绝了，然后在美团上续的，唉', 'star': 4}
{'descr': '很不错，住的很温馨，很幸福，快乐！', 'star': 5}
{'descr': '不行，酒店有点陈旧了。', 'star': 5}
{'descr': '很好，环境服务都相当的不错哦！', 'star': 5}
{'descr': '各方面还不错', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '环境安静，交通方便。', 'star': 4}
{'descr': '出游玩还是不错的价廉物美', 'star': 5}
{'descr': '服务很好，周围也很方便，环境也可以', 'star': 5}
{'descr': '位置较好，服务不错', 'star': 5}
{'descr': '房间可以，热水挺好的，但是房间有轻微的嗡嗡声，所以有些不太满意，其他都还行。但是在携程上订房间真没有便宜多少！', 'star': 4}
{'descr': '还可以，挺干净的，也比较安静', 'star': 3}
{'descr': '性价比不错，感觉还可以吧', 'star': 3}
{'descr': '安静，位置也不错', 'star': 5}
{'descr': '酒店环境不错，就是酒店位置有点偏僻！', 'star': 4}
{'descr': '定的特价房，很干净，也很安静', 'star': 5}
{'descr': '住的商务大床房，感觉还比较好，有窗，只是比较小。房间有中央空调，冬暖夏凉。临近商业圈，交通便利。晚上比较安静，可以好好休息。前台服务态度好。', 'star': 5}
{'descr': '非常棒的快捷酒店，吃东西很方便，停车也很方便，附近巧哥小酒馆味道不是一般话的好，强烈推荐！', 'star': 5}
{'descr': '整体还不错，离南坪很近，在重庆已经是性价比很高的酒店了', 'star': 5}
{'descr': '价格还不错，就是大清早的楼上在装修！！！\n还有就是手机信号不怎么滴～～', 'star': 5}
{'descr': '房间宽敞，中央空调不错，窗户通风不太好，第一次来位置不太好找，服务态度不错，总体挺好的。', 'star': 5}
{'descr': '卫生条件不错，干干净净的，但酒店设施有些简单', 'star': 1}
{'descr': '不错的地方，交通很方便，前台的服务也很不错，值得推荐', 'star': 5}
{'descr': '还不错，干净温馨，房间、厕所也宽敞，性价比高。就是第一次去不太好找，打车过去的。', 'star': 5}
{'descr': '房间挺大，厕所太小，中央空调的冷气有时不够冷。', 'star': 3}
{'descr': '如家的整体感觉不错，很舒服，给个好评', 'star': 3}
{'descr': '地方很好找，也很安静，住的很舒服。里南坪商业圈也很近。去解放碑也很方便，。', 'star': 5}
