{'短评内容': '还行，周边吃的也还好', '短评打分': 5}
{'短评内容': '浴缸没有淋浴方便', '短评打分': 5}
{'短评内容': '酒店蛮不错 布局也很大方 唯一美中不足的就是热水不是很烫', '短评打分': 5}
{'短评内容': '环境尚可，服务较好。但交通不便，设施略旧。早餐一般水平与酒店级别相比有些距离。酒店工作人员热情服务水平高，问询后积极回答并帮助。帮肋提行李送到房间。', '短评打分': 4}
{'短评内容': '酒店不错，性价比蛮高！', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '还是可以的', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错，不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '总体入住感觉很好', '短评打分': 5}
{'短评内容': '环境不错，是周边最好的一家酒店，下次还会住。', '短评打分': 5}
{'短评内容': '初次入住，整体给人的感觉非常好，毗邻景区，交通便捷，从到店到入住的办理整个过程服务人员都面带微笑', '短评打分': 5}
{'短评内容': '出張でよく使いますが、そこそこ綺麗で、特に気になるところはありません。 道を挟んだ目の前に１軒だけ日本料理屋があります。', '短评打分': 3}
{'短评内容': '赞赞赞', '短评打分': 5}
{'短评内容': '很一般，按照这个价格来讲，没有达到预期的配套设施，床很硬！酒店二楼娱乐场所竟然和房间整一起！喧闹！', '短评打分': 3}
{'短评内容': '不错的，很好', '短评打分': 5}
{'短评内容': '还行，在东南开发区内，但距国际酒店还有一点距离，附近打车不方便。', '短评打分': 5}
{'短评内容': '不错，房间挺大的，也挺干净，晚上睡得很安静！', '短评打分': 5}
{'短评内容': '价格公道,房间不错,就是有点小偏.不过离高速不是很远,但离市区就有点小远了,而且不太容易打到车\n重点是早餐比较一般,不过服务还不错.', '短评打分': 5}
{'短评内容': '常熟沙家浜附近出差，价廉物美。酒店较新，设施满意。', '短评打分': 5}
{'短评内容': '十可以', '短评打分': 3}
{'短评内容': '交通还是很方便的，服务也不错，出去前给前台打个电话，就会在出去的时候直接坐上出租车，服务还是很周到的 店的餐厅很棒，有正宗的日本料理\n', '短评打分': 5}
{'短评内容': ' ok', '短评打分': 3}
{'短评内容': '一个比较新的酒店，如果与商务前往地一致，是一个比较理想的选择。', '短评打分': 5}
{'短评内容': '很不错的酒店。就是有些偏的。', '短评打分': 5}
{'短评内容': '入住率还是蛮高的办入住还排了队等着，整体不错,下回还住着', '短评打分': 5}
{'短评内容': '交通还是很方便的，服务也不错，出去前给前台打个电话，就会在出去的时候直接坐上出租车，服务还是很周到的', '短评打分': 5}
{'短评内容': '档次在，不错！餐饮特别的好，有地方特色，阳澄湖大闸蟹么，呵呵！房间也是很舒适的，硬件设施也非常好！', '短评打分': 5}
{'短评内容': '酒店的餐厅很棒，有正宗的日本料理，愤青们可别喷我，我们要认识到事实总而发奋，跑题了言归正传，酒店不光餐饮服务好其他的也是很棒的', '短评打分': 5}
{'短评内容': '环境不错，就是离市区远了点', '短评打分': 5}
{'短评内容': '性价比较高的酒店，不错。', '短评打分': 5}
