{'短评内容': '对南广场上下火车的人还是比较方便。', '短评打分': 4}
{'短评内容': '除了前台远点外其他都挺好', '短评打分': 5}
{'短评内容': '可以，酒店不错！', '短评打分': 5}
{'短评内容': '非常棒，风景不错，服务态度也好', '短评打分': 5}
{'短评内容': '环境不错，通风好，非常帮', '短评打分': 5}
{'短评内容': '服务特别好 工作人员态度特别好 房间很干净 两个前台姐姐超可爱的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还是过得去，隔音效果还是可以的，跟大多数酒店隔音效果差不多。五一涨价涨的不要不要的', '短评打分': 4}
{'短评内容': '交通方便，价格尚可', '短评打分': 4}
{'短评内容': '挺划算的，环境还不错', '短评打分': 5}
{'短评内容': '环境优服务好价格也公道', '短评打分': 1}
{'短评内容': '还不错，价格合适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '干净卫生，交通便利。', '短评打分': 5}
