{'短评内容': '前台很好，很有礼貌', '短评打分': 5}
{'短评内容': '推荐在市区。', '短评打分': 5}
{'短评内容': '在市区。 很好', '短评打分': 5}
{'短评内容': '位置很好，离民航大厦近，条件不错！', '短评打分': 5}
{'短评内容': '没有麻将房 早餐吃的落泪心寒 极差', '短评打分': 3}
{'短评内容': '出行还是一如既往的选择维也纳酒店。交通便利，离象鼻山景区很近，出门共享单车即可。前台和房扫服务态度特别好。', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '很不错。去机场方便！', '短评打分': 5}
{'短评内容': '确实晚上噪音太大，窗子隔音太差', '短评打分': 3}
{'短评内容': '环境很不错，床很舒服', '短评打分': 5}
{'短评内容': '很不错，干净卫生，设施也很新，就是和后面的住宅楼离得太近了，开窗直接握手交流的节奏，这样的距离窗户就鸡肋了啊。', '短评打分': 5}
{'短评内容': '房间太小，其他可以', '短评打分': 5}
{'短评内容': '还可以，完全对得起这价格，就是靠马路这边有点吵', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错，交通方便', '短评打分': 5}
{'短评内容': '床很小，而且很吵很吵！晚上几乎无法入睡！', '短评打分': 3}
{'短评内容': '酒店整体还不错，位置比较方便！', '短评打分': 5}
{'短评内容': '房间设施老久了，价格倒是很便宜！', '短评打分': 3}
{'短评内容': '电视总是出现条纹，打前台说是线路问题。对于看电视来说很不好，很不方便。除此之外其他都还不错，感觉卫生，床很柔软。', '短评打分': 5}
{'短评内容': '我们从网上订的房间，标间干净、舒适、洗澡水很大，还配有吹风机，挺贴心的。除了房间小了些，临着马路，不够安静，其它都不错。酒店门口的便利店24小时营业，相邻的还有一家连锁快餐店，味道不错还便宜，其次是快餐店旁边的那家桂林特产商店，老板是东北人，都是给的批发价，同样价格的东东比市场上优惠一半，我们买了一箱，很满意。其次，再往前100米是航空售票大厦，可以到那里买飞机票并换登机牌，机场大巴准时发车，每人', '短评打分': 5}
{'短评内容': '房间很好，床有点硬', '短评打分': 3}
{'短评内容': '挺便宜的，返现还不少。嘿嘿。交通的话往北走比较方便。不过我住的房间的其中一张床上的床单竟然有个脚印，让我有点郁闷。其他都OK！', '短评打分': 5}
{'短评内容': '这个维也纳斯性价比好，卫生及设施都可以，旁边就是居民区，餐饮很实惠。但临街，怕炒的不要来。', '短评打分': 3}
{'短评内容': '酒店位置很好，离机场大巴走路3分钟，到火车站5分钟车程，房间也很好，干净舒适。', '短评打分': 3}
{'短评内容': '服务不错，地理位置还可以，离火车站两个站，很方便。唯一就是标准房空间小，大概也就十二平米左右。', '短评打分': 3}
{'短评内容': '房间很好，就是隔音效果差了点！最主要是价格非常划算~~赞~', '短评打分': 3}
{'短评内容': '总体还不错，装修适合商务人士，价格适中。年轻人还是选别的酒店吧。', '短评打分': 3}
{'短评内容': '  房间还不错，地理位置也很方便。就是靠马路这边太闹了。', '短评打分': 3}
{'短评内容': '房间面积较小，设施比较新，靠近路边，可能有些吵。总体评价OK。', '短评打分': 5}
{'短评内容': '酒店所在位置比较好，机场大巴下来就是，离漓江也很近，适合个人经济游', '短评打分': 5}
{'短评内容': '临街道，比较吵。没有停车位，早餐也很差。床很硬', '短评打分': 1}
{'短评内容': ' 房间很干净，只是小了点', '短评打分': 3}
{'短评内容': '内部环境不错，服务态度好，交通便捷，周围饮食也方便。', '短评打分': 5}
{'短评内容': '定了豪华房，但酒店安排的房间却是靠近路边的，很吵，另外看了网上店址地图，还以为在桃花江边的，结果弄错了，幸好有熟人带路，转了一大圈才从桃花江边找到酒店', '短评打分': 1}
{'短评内容': '酒店还可以，不过没浴缸，其它，字数补丁……………………', '短评打分': 5}
{'短评内容': '非常舒适的酒店，又方便，环境也好。周边食物也有特色，就是入住时很气人，服务员弄丢我的预约，登了3小时，', '短评打分': 5}
{'短评内容': '酒店不错，干净，交通也方便。', '短评打分': 3}
{'短评内容': '＋干净，设施新，免费停车，地理位置好；床小，房间小，隔音不好，电视节目少。', '短评打分': 3}
{'短评内容': '房间小，环境一般，我住的是二楼，窗户是封死的感觉不好，位置地段也比较偏，不方便，感觉不值', '短评打分': 1}
