{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帮别人订的。送的可乐几乎不会主动给，有时去要了还会推脱。', '短评打分': 4}
{'短评内容': '总体不错～停车是硬伤！价格合理就不计较太多了！', '短评打分': 3}
{'短评内容': '挺好，客服态度挺好的', '短评打分': 5}
{'短评内容': '从没想到一个连锁酒店能垃圾到这个程度', '短评打分': 3}
{'短评内容': '帮别人预订的,离办事儿的地方比较近.还算方便 .送的可乐从来不主动给客人,都得去要.', '短评打分': 3}
{'短评内容': '还可以吧，这个价位住着还算可以了', '短评打分': 3}
{'短评内容': '还可以，环境一般吧，要求不高的可以', '短评打分': 3}
{'短评内容': '价格实惠，就是房间实在是很小，马桶就在房间的床的边上', '短评打分': 5}
{'短评内容': '房间很舒服，也很实惠，赞一个', '短评打分': 3}
{'短评内容': '还不错。。。比较经济，性价比高', '短评打分': 3}
