{'descr': '不怎么样，房间有味道，还没有梳子和塑料拖鞋。', 'star': 3}
{'descr': ' hao  hao  hao hao hao hao', 'star': 5}
{'descr': '随便住住，不过周边交通很方便,隔壁就是长途汽车站', 'star': 5}
{'descr': '房间小，但是很温馨，很适合两个人住，总的来说还不错。', 'star': 3}
{'descr': '这个价位能找到连锁酒店已经非常不错了，里面的环境一定要比旅馆之类的好多了', 'star': 5}
{'descr': '小是小了点，环境一般。但提供电脑，对于一个需要上网的游客来说很是方便。', 'star': 5}
{'descr': '非常好的旅店 住了很多次了  交通方便 饮食方便 还便宜', 'star': 5}
{'descr': '很实惠', 'star': 3}
{'descr': '这里交通很方便，旁边就是沪太路汽车站，价位相当便宜。只是房间的隔音效果不太好，还有如果房间再稍微更宽点会更好，总体还是好的', 'star': 3}
{'descr': '很好的酒店，出差旅游的极佳选择，离上海火车站汽车总站都只有一站路的距离，公交直达。', 'star': 5}
{'descr': '已经住了三天了，打算常住了。很便宜，交通很方便，附近吃饭的地方也很多', 'star': 5}
{'descr': '非常不错 价格便宜 交通方便 适合学生等要求不高的人群', 'star': 5}
{'descr': '地理位置好靠近上海火车站，交通方便，旁边小吃店也挺多', 'star': 5}
{'descr': '一般般，下次自己不会住这里了。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '实惠,适合学生等对品质要求不高得人入住,基本能满足个人需求。', 'star': 3}
{'descr': '在选酒店的时候我是非常的犹豫不决，但是等我来了，住了，才发现还真的很不错。比我以前住过的还好~且价格便宜~淡然啦，每个人的评价标准都不一样~对我来说，卫生，服务好，房间也不错就好了~我不会特别在意房间一定很大，很安静~不过，这个酒店你可以自己要求带不带窗，安静否等问题，所以来说，很满意的~望对大家有帮助~', 'star': 5}
{'descr': '走廊另一侧的房间都是黑房间，默认情况店主会先给你开黑房间的，所以要跟店主说要有窗户的房间，这样她才会给开给你，但即便的是有窗户的房间，因为沿街，晚上也挺吵的，而且窗户的可开启扇很小，以致通风情况不大好，房间有味道。', 'star': 1}
{'descr': '住进来感觉不太好，房间好小，地板很脏，', 'star': 3}
{'descr': '便宜，就是地板，床单总是有点脏脏的感觉，其他都还好啦~', 'star': 5}
{'descr': '有点小', 'star': 3}
{'descr': '玻璃窗很大 但是能打开的只有一个小暗窗 开了空调透气还好 感觉房间有点潮 虽然是在车站边  晚上还是蛮安静的', 'star': 5}
{'descr': '环境还不错，就是房间小了点', 'star': 3}
{'descr': '上次住的都快一个月了现金券还没反给我，这次还要去那出差，但考虑那单人间太小了，还是算了', 'star': 1}
{'descr': '设施挺好的，而且价格真的是很实惠了，在上海找个日租的单间都很贵的，而且这里的前台和员工服务态度都超好，我不知道怎么走，他们都很热心的告诉我，而且也很干净，真的挺实惠的', 'star': 5}
{'descr': '已入住99连锁酒店', 'star': 3}
{'descr': '价格低，房间小，网上地图错误，废了半天劲才找到，这个价格也就这样了', 'star': 5}
{'descr': '小是确实小了点,不过住得还算温馨.下次还会选择住它.', 'star': 5}
{'descr': '房间格局全国统一，设施应该也统一，不知为何在这家店却找不到把木梳？ \n', 'star': 5}
{'descr': '还不错，在上海这个价位的宾馆很实惠了！就是离地铁有点远，走路要15分钟！', 'star': 5}
{'descr': '位置还行，房间也算干净，长途汽车站边上多少有点鱼龙混杂的感觉，出门总有电瓶车载客', 'star': 5}
{'descr': '离长途汽车站近！！房间数量较多！！空间比较小！', 'star': 5}
{'descr': '能不能把我掉店里的白色T恤留着  我会来拿的    宾馆很干净  虽然小   但是温馨  两个人住正好哦   ', 'star': 5}
{'descr': '性价比还行！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '还不错，价格便宜！已经是第四次入住该酒店了！就是离地铁站有点远!', 'star': 5}
{'descr': '床太硬，被子太薄，热水壶坏了，只有价格便宜，没别的优点', 'star': 1}
{'descr': '入住之后理解了连锁旅店的含义，房间很小，有的房间没有窗，因为这个价位，所以还是比较划算的，网络很快，走廊有饮水机，电视，独立卫浴等都有，适合学生一族，相对于出差办公还是觉得小了些，稍有压抑，价位便宜', 'star': 5}
{'descr': '靠马路的房间有点吵，还好后来前台帮我们换了一间比较安静的，这下可以安枕无忧了。周边交通便捷，酒店还算干净的。', 'star': 5}
{'descr': '房间非常小！', 'star': 3}
{'descr': '房间很小，地上脏脏的，感觉不是很干净，只能说交通还算方便，那么低的价格，只能说凑合', 'star': 3}
{'descr': '实惠且交通便利，不止一次入住了，赞赞，下次去上海还会住的', 'star': 5}
{'descr': '房间很小，总体卫生感觉还可以，但是被子上有血迹，还有就是不下水的下水道，需要你来忍受，前台服务员的工作能力较差，唯一值得一赞的是总经理，态度好，很好说话', 'star': 5}
{'descr': '實在太迷你了，，，擠都擠不進去。。。真的是小了，其他的還好吧', 'star': 5}
{'descr': '总体上感觉很好.卫生做的很干净.', 'star': 3}
{'descr': '房间较小，但还算整洁，99元算很便宜了~交通比较方便，周边吃饭娱乐等都很方便~', 'star': 5}
{'descr': '卫生条件还好,但房间也够小了。服务还好,隔音不是太好,有点吵。', 'star': 3}
{'descr': '房子有点太小了', 'star': 3}
{'descr': '条件还不错,服务态度很好,周边吃饭地方较多,距离火车站很近,住有窗户房子还是好!', 'star': 3}
{'descr': '性价比高', 'star': 3}
{'descr': '99元在上海算便宜了，步行15分钟可达地铁站，稍微有点远，附近小吃店挺多，值得推荐！', 'star': 5}
{'descr': '房间是统一标准的99风格，就是旁边邻近长途汽车站，早上6点就有汽车的喇叭声，比较吵，服务态度不错。', 'star': 5}
{'descr': '这次没有前几次住的舒服，安排的房间既是暗窗又是走廊转弯的地方，吵，不过真的很实惠', 'star': 5}
{'descr': '实惠，真心很实惠，吃饭也挺方便的，交通也挺便利的', 'star': 5}
{'descr': '感觉不甚理想，卫生有点糟糕', 'star': 3}
{'descr': '简便快捷，即到即住，就是该店地面有点太滑了，没有单独的饮水设备，其他的都还可以。', 'star': 5}
{'descr': '酒店很干净，只是有点小，位置还可以，交通便利 走路可以走到火车站北广场。挺好的', 'star': 5}
{'descr': '很便宜的，离火车站2公里，可以走过去，就是房间有点小，其他还好', 'star': 5}
{'descr': '感觉挺好的，房间很适合一个人住，而且在这个地段，很值', 'star': 3}
{'descr': '酒店安全，也蛮安静的，最主要是附近吃饭、交通还是比较方便的，攒个', 'star': 5}
{'descr': '酒店位置有点偏，要转车才行，当然我是从虹桥火车站过去的，上海火车站还是很方便的，酒店环境很好，就是有点吵，不太习惯，其他一切度不错  值了', 'star': 5}
{'descr': '环境不错,价位合适,物有所值.', 'star': 3}
{'descr': '价格实惠，房间有点小，靠近马路，比较吵。', 'star': 1}
{'descr': '挺好的，蛮干净的，电脑房还可以上网，不错～', 'star': 5}
{'descr': '环境良好，就是不能刷卡', 'star': 3}
{'descr': '还行，房间有点小', 'star': 3}
{'descr': '很干净，性价比很高，推荐入住', 'star': 3}
{'descr': '房间有点小，网速蛮快，就是不太好找哦，从火车站可以坐741到沪太路华阴路下的', 'star': 5}
{'descr': '可以上网，网速不错！就是有点小，东西多的话没地方放。', 'star': 5}
{'descr': '性价比很高，各方面的服务都很满意，下次来上海还会来住的。', 'star': 5}
{'descr': '还行，就是有点小，屋子里面没有饮水机，在外面。', 'star': 5}
{'descr': '开始不知道具体位子 打电话询问 他们很是热情 挺温馨的 环境干净 交通也蛮方便', 'star': 5}
{'descr': '卫生状况还是不错，但是枕套好像没有换或者洗得不够干净。\n放东西的桌子比较小，摆上笔记本后就没地方放其他东西了，都得放在地上。\n热水不错。\n附近虽然有更便宜的，不过还是愿意住这种连锁品牌的。比较适合不太挑剔的单人住，经济实惠，不过离公交和地铁都有点远。', 'star': 5}
{'descr': '很迷你，还不错，感觉很温馨 就是一大早服务员在外面太吵了。', 'star': 5}
{'descr': '总体来说还可以。。。。。。。。。。。。。', 'star': 5}
{'descr': '除了小点，其他都挺好的', 'star': 3}
{'descr': '房价还行，但房间的霉味很浓，房间卫生有待提高。 ', 'star': 1}
{'descr': '很小但是很舒适的一家酒店。交通也很方便，下次还会来这家', 'star': 5}
{'descr': '环境太差了，隔音不好，而且周围比较脏，不好', 'star': 1}
{'descr': ' 服务态度一般 不是很热情 房间刚好在靠路上的位置 很吵 房间也太小太小了  \n 不过一分钱一分货 这个价位也没法要求太高', 'star': 5}
{'descr': '旅馆看着蛮大的 保安很好 可是。。。我订的房间靠街道 很吵 其它的就没啥的了 这个价很值', 'star': 5}
{'descr': '我没有按照原来计划入住，但我的朋友去了，四位朋友都说很迷你，但很干净，设施齐备很满意。', 'star': 5}
{'descr': '一般般，随便住住可以的，没窗的房子有味道的，但是这个价格差不多了', 'star': 5}
{'descr': '不错，物有所值', 'star': 3}
{'descr': '服务很好，也很卫生。设备很齐全，总体感觉都挺好', 'star': 3}
{'descr': '条件太差房间无饮用水房间太小但总台服务态度可好', 'star': 3}
{'descr': ' 99块钱是挺实惠的，不过被单和被套看起来貌似有点脏了，总的来说，是对得起这价格了', 'star': 3}
{'descr': '服务一般，欠周全！', 'star': 3}
{'descr': '酒店不错，性价比高，在上海能有这个价格与环境是这样拉，如果下次过来，还会继续考虑住 这一个，赞一个，好好', 'star': 5}
{'descr': '房间有点小！', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '价钱是迷人的，房间什么都小，就是那个马桶大，电视经常看到激情的时候就没有信号了，打电话给前台，还不负责任。。不高兴。房间真的很小，但是凑合得可以过过，毕竟是99元钱', 'star': 5}
{'descr': '不错！就是有点小。挺干净卫生的，下次还来，经济实惠。地点好，早点吃饭很方便。会跟朋友好好推荐的。好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！', 'star': 5}
{'descr': '很小，但是位置上来说对得起这个地儿，很方便，服务员对我们很负责，我们在那儿的几天玩儿的很开心，不足的就是网络很卡，隔音稍微差点儿，有几个屋子没有窗户，让我们有些小郁闷', 'star': 5}
{'descr': '在上海这也是性价比很高的酒店了，虽然房间比较小，但是很干净，价格便宜，值得入住', 'star': 5}
{'descr': '感觉服务都挺好的,旅馆地点也挺好,很实在', 'star': 5}
{'descr': '干净，交通便利，价格实惠。只是房间略小，但是很难在上海找到这么优惠的旅馆，总之下次还会入住的。', 'star': 5}
{'descr': '这家店总体还说还不错 虽然比不上168，如家等酒店，但是这个价格实在是很给力啊\n满干净的 服务也很好 每个走廊都有饮水机和一次性杯子 很方便\n坐电梯要刷房卡的 这点不错 增加了旅店的安全性\n虽然之前看了一些点评 已经做好了心里准备 但实际要比想象的好很多\n不过隔音效果的确不是很好 早上附近喇叭声音还是挺吵的 走廊上的声音也听得见 但是晚上休息的时候还可以\n以后随便住住还是会去的拉~因为性价比高拉~', 'star': 5}
{'descr': '是适合单人住宿的，服务周到，硬件设施还不错，房间很干净，就是网速有时有点慢。\n再者没有餐厅有点不那么方便', 'star': 5}
{'descr': '特别满意。价钱上。但是靠街道的比较吵。交通还可以吧。', 'star': 5}
{'descr': '是适合单人住宿的，服务周到，硬件设施还不错，房间很干净，就是网速有时有点慢。', 'star': 5}
{'descr': '........................不错       ', 'star': 5}
{'descr': '酒店不错  经济实惠 和女友过的很开心 \n特别喜欢这家酒店的淋浴  水量很足 很过瘾', 'star': 5}
{'descr': '一进门发现房间真心小啊，一张床，边上最多空一个人能站的位置，而且被子貌似也黄黄的，还有头发残留，就是小啊太小了。', 'star': 3}
{'descr': '酒店还是比较干净，一个人刚刚好，人多就有点拥挤，网络出了点问题，希望不是经常的。', 'star': 5}
{'descr': '＋旅馆还不错，比较满意，性价比不错！下次有机会还会来！', 'star': 3}
{'descr': '酒店干净,服务态度好..晚上还算安静..', 'star': 3}
{'descr': '服务热情，交通方便，空间有点小！', 'star': 3}
{'descr': '房间还算干净，网线不太灵，离火车站还要一会儿路走，服务蛮好，热水壶看着有点不太干净，要洗洗。', 'star': 3}
{'descr': '房间干净就是有点小了，总的说还可以', 'star': 3}
{'descr': '还可以，就是空间小了点', 'star': 3}
{'descr': '信价比还可以。细节不到位。按照它的价格来说可以凑合住。 \n', 'star': 5}
{'descr': '-很好', 'star': 3}
{'descr': '挺不错的，干净卫生，服务也很好，安全性也高，需要房卡才能开电梯。', 'star': 5}
{'descr': '交通比较方便，价格也比较合适。以后有机会还会入住的', 'star': 5}
{'descr': '价格实惠，地段位置也比较好，出行方便，服务热情，干净卫生。', 'star': 5}
