{'descr': '早餐自理，停车免费，经济实惠', 'star': 5}
{'descr': '在当地算不错地了', 'star': 5}
{'descr': '酒店很安静，适合出差时住宿。热水随时都有，早餐种类一般，但也能接受。交通很方便，唐海本地很少见到出租车，此地都是滴滴顺风车。楼下就有去唐山的私车。', 'star': 5}
{'descr': '服务好', 'star': 4}
{'descr': '房间设施极差', 'star': 2}
{'descr': '一般', 'star': 3}
{'descr': '一搬', 'star': 3}
{'descr': '离市区较近', 'star': 5}
{'descr': '出差到这个县城，价格合适，房间卫生也不错，房间也挺大', 'star': 5}
{'descr': '经济实惠', 'star': 4}
{'descr': '房间的水不是送的啊！我住的那屋暖气不热，服务员说帮我调换一下，我嫌麻烦没换，开了一夜空调。挺好的。', 'star': 4}
{'descr': '房间卫生有点差，无线网络不能上，服务不到位。需要整改。', 'star': 3}
{'descr': '很好！！！', 'star': 5}
{'descr': '挺不错的酒店 ， 性价比高。', 'star': 5}
{'descr': '价格优惠，环境卫生，位置很好', 'star': 3}
{'descr': '酒店周边环境清静。交通方便。服务热情，周到。房间卫生，清洁。', 'star': 5}
{'descr': '酒店周边环境清静。交通方便。服务热情，周到。房间卫生，清洁。', 'star': 5}
{'descr': '酒店周边环境清静。交通方便。服务热情，周到。房间卫生，清洁。', 'star': 5}
{'descr': '酒店周边环境清静。交通方便。服务热情，周到。房间卫生，清洁。', 'star': 5}
{'descr': '该酒店地理位置还可以，房间也干净整洁，服务也算不错。但早餐单一，很多房间不是电视线路不好就是空调遥控不好，换了好几间房才满意；房间的淋浴水温太低，开了半天温度也不高，洗了很容易生病。', 'star': 1}
{'descr': '强烈不推荐！理由如下：酒店卫生太差。晚上回到房间，发现地板没有清扫，马桶没有冲刷，水杯没有清洗，烟灰缸没有清理。去问服务员为什么，服务员说，怕客人丢了东西，因为如果客人没有特别要求，就不给打扫房间。第一次入住是就发现这个问题，第二次入住还是这样，问了服务员，才知道客人入住后根本就不清扫房间。要了一个套房，客厅竟然是没有窗户的，也好意思叫套房！！', 'star': 1}
{'descr': '：酒店房间清洁，卫生。周边环境闲静。服务态度好。很喜欢。', 'star': 3}
{'descr': '本酒店在唐海算是比较不错的酒店了，内部环境还算可以，1楼的餐厅价格也比较实惠。', 'star': 5}
{'descr': '酒店交通便利，但整体环境一般，卫生状况太差，房间基本没有清扫工作。早餐品种单一。', 'star': 1}
{'descr': '酒店交通便利，但整体环境一般，卫生状况太差，房间基本没有清扫工作。早餐品种单一。', 'star': 1}
{'descr': '酒店环境比较好，房间整洁。早餐应品种更丰富一些，另，前台服务水平应提高，应做到以人为本。', 'star': 5}
{'descr': '酒店比较干净，网络也很快。早点不错。洗澡水差一些，不够热，空调制热差，四月入住较冷。总之感觉不错，在唐海来说。', 'star': 3}
{'descr': '酒店比较干净，网络也很快。早点不错。洗澡水差一些，不够热，空调制热差，四月入住较冷。总之感觉不错，在唐海来说。', 'star': 3}
{'descr': '环境还可以吧 在小县城也就算不错了 早餐太差', 'star': 5}
{'descr': '环境还可以吧 在小县城也就算不错了 早餐太差', 'star': 5}
{'descr': '洗澡水还不错 比较热 在唐海县算不错的了 但没有什么特别的 价格较贵 下次应该还会来 \n', 'star': 1}
{'descr': '洗澡水还不错 比较热 在唐海县算不错的了 但没有什么特别的 价格较贵 下次应该还会来 \n', 'star': 1}
