{'短评内容': '还行吧，就是东西挺简陋的，不过前台的服务挺好的~', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '给我们安排一个特别角落的房间，房间马桶也是坏的，很尴尬，厕所都不敢伤了，厕所就在床头，呵呵了', '短评打分': 3}
{'短评内容': '有免费停车位，电梯慢设施旧，价格不贵一晚上将就住住可以了。 地毯确实太脏了，应该换。前台动作很快，好评。', '短评打分': 3}
{'短评内容': '环境服务都很好', '短评打分': 5}
{'短评内容': '在东莞住如家酒店能有这个价格不错哦，环境还可以，能接受。', '短评打分': 5}
{'短评内容': '在东莞这个地方，这个价钱也算是这样了，环境还能接受。', '短评打分': 4}
{'短评内容': '房间里空气好差，简直要闷死了', '短评打分': 2}
{'短评内容': '酒店房间略显陈旧，有点异味。没有免费矿泉水，得自己买，周边吃饭不方便。前台服务很好，酒店价格算实惠，总体来说还可以吧！', '短评打分': 4}
{'短评内容': '呵呵，，，一般酒店，，，服务还可以。。。挺舒服的，，，，，不是很差。。。。', '短评打分': 4}
{'短评内容': '一般中的一般，，，价格很便宜，，习惯就好了，性价比很高，，周围没啥吃饭的地方。。。。。。。。。。。也', '短评打分': 4}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '总体来说不错的', '短评打分': 4}
{'短评内容': '还可以啦', '短评打分': 4}
{'短评内容': '一上天桥就看到了，就在大马路边，楼下就有个公交站，好找，交通也算便利。  酒店的WiFi不太稳定，有时候图片和视频刷不开  环境整洁，就是特价房没有窗，衣服都不会干', '短评打分': 5}
{'短评内容': '配置比之前增加了，价格实惠。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错\u3000对得起这个价', '短评打分': 3}
{'短评内容': '还不错\u3000服务态度很好\u3000吃饭不大方便', '短评打分': 3}
{'短评内容': '环境还可以，房间比较小，地方颜色是绿色的不是很喜欢，其他都还好', '短评打分': 5}
{'短评内容': '干净倒还干净，就是房间隔音很不好……隔壁普通说话都听到了，更不要说另外的声音！', '短评打分': 3}
{'短评内容': '店员服务态度很好   很满意', '短评打分': 3}
{'短评内容': '交通这些很方便。就是隔音差了一点。布局还是很温馨的。', '短评打分': 5}
{'短评内容': '总体感觉不错 第二次来 干净卫生   而且周边环境也可以', '短评打分': 5}
{'短评内容': '隔音太差！其它一切都非常好！服务挺好的！', '短评打分': 3}
{'短评内容': '我第二次住如家。这次入住的618号“大床房”也太小了，感觉贵了一点，性价比较低！！浴室的排水问题有待改善，洗完一次澡浴室就会成水塘，有时候热水不够热，洗起来不舒适。电梯的空气不流通，给人感觉不舒适，希望能改善。空调出问题，维修员能快速到来，这方面我好满意！', '短评打分': 1}
{'短评内容': '安静，可惜没有wifi，ipad未能上网，希望下次入住能完善一下。', '短评打分': 5}
{'短评内容': '环境不错！！网速一般，服务态度好！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净整洁，服务态度好，就是有点网速太慢，百折不挠后的网速还是慢', '短评打分': 5}
{'短评内容': '总体不错 但是服务员总是搞错房间服务 比较郁闷 其他都还可以的', '短评打分': 5}
{'短评内容': '不错，服务很好。但是浴室的排水问题有待改善。', '短评打分': 5}
{'短评内容': '价格优惠，房间不大，住在803，晚上总有一点机器响的声音，还好声音不大。电视刚去时有杂音，后来服务员换个电线，好用了！总体满意，离文化广场的商区不远，晚上可以过去逛逛街！！', '短评打分': 5}
{'短评内容': '价格优惠，房间不大，全天都可以吃饭，不过午餐和晚餐只能送餐，不怎么爽！！', '短评打分': 5}
{'短评内容': '很温馨，果然如家。只是稍稍小了点。电视机有改进的空间。', '短评打分': 5}
{'短评内容': '房间有点小。其它的还行吧。 贵了一点。。大家去看看吧。', '短评打分': 1}
{'短评内容': '干净\\卫生\\安静,不错的说,凑够20字,二十字', '短评打分': 5}
