{'短评内容': '房间比较卫生，安静，中央空调不大会用，一晚上都没热风似的，后半夜加了被子。酒店前有个很大停车场，周边没逛，看起来建平只有这附近比较城市一点。没吃早餐，不清楚早餐如何。洗澡热水上来比较慢，不过后来水很热，浪费了不少凉水。比较注意酒店的牙刷，这家不错，不是那种用一次就掉毛的垃圾产品。前台服务不错。', '短评打分': 5}
{'短评内容': '还算不错，就是冷点', '短评打分': 5}
{'短评内容': '早餐很好 能加床 位置好', '短评打分': 5}
{'短评内容': '当地很好的酒店了吧，房间蛮大，早餐量不多，口味不错。周边环境配套多，购物吃饭很方便，去了隔壁一家自助烧烤，性价比很高。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'j\u2006s\u2006j\u2006s\u2006k\u2006s\u2006m\u2006d\u2006n\u2006b\u2006di\u2006d\u2006k\u2006d\u2006n\u2006r\u2006beijdkxojdndndkso', '短评打分': 4}
{'短评内容': '建平最好的酒店吧。不过，真的很一般。很奇怪，一个县城，竟然这么少酒店，难道是因为外地人很少么？有比较有对比，就有选择。', '短评打分': 4}
{'短评内容': '说是当地最好的酒店，结果房间里面连抽纸都没有！而且电闸那边有很大的电流声，晚上睡觉比较吵！不过服务还是可以的！', '短评打分': 4}
{'短评内容': '也没得挑，旧了，老了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在当地算还可以', '短评打分': 4}
{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '没办法，这是县城最好的了。', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '只能说还可以，关键是建平县没有比它再好的酒店了。', '短评打分': 2}
