{'短评内容': '酒店不错，还会再住', '短评打分': 5}
{'短评内容': '早餐很好', '短评打分': 5}
{'短评内容': '房间宽敞，舒适，干净，早餐丰盛，味道不错，服务也很到位，闪住闪离更方便，感觉很好。下次来徐水还会住这儿的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好，下次还会入住…', '短评打分': 5}
{'短评内容': '总体来说还不错吧！下次还会再来！', '短评打分': 3}
{'短评内容': '房子不错，温泉适合孩子玩', '短评打分': 5}
{'短评内容': '房子不错，温泉适合孩子', '短评打分': 5}
{'短评内容': '环境不错，住了好多次了，还算是满意，多谢两句，主要卫生还可以，环境一般，位置还不错，挺好的，不过还算好了', '短评打分': 4}
{'短评内容': '好！album', '短评打分': 5}
{'短评内容': '温泉环境不错！', '短评打分': 5}
{'短评内容': '离客户近，其他服务一般化', '短评打分': 3}
{'短评内容': '酒店位置、服务、餐饮都很好，但房间内设施略差，有很重的异味，卫生也不行，性价比很差，但在徐水这是最好的酒店了，没得选择。', '短评打分': 5}
{'短评内容': '不错。值得再去。温泉很不错，早点也很不错。只是没有在那里吃午饭。晚上的演出也很棒，是我很愉快的一次入住。  ', '短评打分': 5}
{'短评内容': '徐水县本身比较偏，酒店在当地算是最好的了，设施一般，在装修，房间隔音不好，隔壁说话大声能听见，服务还行，房间清洁有待提高，大床角落处有异物，卫生间排水不好，淋浴后会积水。电视机太旧了，信号也不好。自助餐一般般，没什么特色，随便吃吃。', '短评打分': 3}
{'短评内容': '县城酒店 370元 够贵的 在徐水是最好的酒店了 装修很好 显着比较高档，就是年头有点久，早上自助餐很一般 整体还不错。', '短评打分': 4}
{'短评内容': '酒店很陈旧，设施比较老旧了，配不上四星级的标准，在徐水算是最好的了，酒店自己的优惠更实在，有200的特价房和300的特价房，300的特价房比好话双人间要大要好，还便宜···', '短评打分': 5}
{'短评内容': '算是徐水最好的宾馆了，建议住南楼，北楼条件差一些。', '短评打分': 5}
{'短评内容': '每次来徐水总入住此酒店，对徐水来说也是首屈一指的，房间宽敞、干净，但感觉有些异味，或许是空气清新剂的味道。明显不足的是：空调出风口处有大量的灰尘，感觉很不好。', '短评打分': 5}
{'短评内容': '徐水就这么一个酒店，是最好的了。说是4星的，但实际上看来只有3星的水准。', '短评打分': 5}
{'短评内容': '价格适中，而且环境很好，很安静，住着感觉挺舒适的，并且口碑在当地也不错.', '短评打分': 5}
{'短评内容': '酒店地段好，出行方便，而且还有自己的停车场，自驾也很方便，所以无论是旅游还是外出办事都不错.', '短评打分': 5}
{'短评内容': '价格略高，条件倒还算不错，服务人员很专业，对我们也挺照顾的，很亲切 .', '短评打分': 5}
{'短评内容': '酒店客房的隔音做得不错，晚上休息不被打扰，而且服务人员也很亲切，有需要帮助时办事效率很快.', '短评打分': 5}
{'短评内容': '客房隔音不错，闹中取静，有助于休息，而且房间装修风格也不错，印象还可以.', '短评打分': 5}
{'短评内容': '小地方的酒店，条件只能算是一般化，不过在当地来讲也还算可以，住着舒适就好没有太多的感觉.', '短评打分': 5}
{'短评内容': '客房宽敞明亮，而且房间向阳采光各方面都很好，通风好住着挺舒适的.', '短评打分': 5}
{'短评内容': '客房布置很温馨，而且整洁干净住着挺不错的，并且设施也不错，住着舒适惬意.', '短评打分': 5}
{'短评内容': '酒店在市中心，交通便利，打车公车都很方便，而且还提供早餐，自助形式，口味也不错.', '短评打分': 5}
{'短评内容': '小地方的酒店，感觉服务人员没有经过专业的陪训，没有太多的服务意识，不过好在位置好出行方便.', '短评打分': 3}
