{'短评内容': '酒店地理位置特别好 附近小吃多 前台小鲍 小薛 王成岩服务态度特别好哦', '短评打分': 5}
{'短评内容': '酒店地理位置好 附近小吃多 前台小鲍 小薛 王成岩 服务态度特别好', '短评打分': 5}
{'短评内容': '前台闫经理服务非常好，已经多次入住，性价比很高。很愉快的入住体验。推荐', '短评打分': 5}
{'短评内容': '前台闫经理服务非常好，丨很愉快的一次入住经历赞', '短评打分': 5}
{'短评内容': '酒店位置还不错 前台小吴服务非常周到 很满意这次 还要感谢客房王经理 房间打扫的很干净', '短评打分': 5}
{'短评内容': '东西不错，很好很强大', '短评打分': 5}
{'短评内容': '酒店和京东服务都很好，提出的问题京东还给予了回访', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '不错的一次出游 酒店选择', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间很不错！', '短评打分': 5}
{'短评内容': '房间不错！', '短评打分': 5}
{'短评内容': '经常住的酒店，周边方便，但就是只能住一天，没房了', '短评打分': 5}
{'短评内容': '最近在装修，位置有点偏，但整体装修也还好，价格也相对合理，所以住过几次，马马虎虎吧。 性价比还是可以。', '短评打分': 4}
{'短评内容': '马马虎虎吧', '短评打分': 3}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '整体不错，早餐不太喜欢。', '短评打分': 4}
{'短评内容': '注意预付后酒店不会再开具发票', '短评打分': 4}
{'短评内容': '这是一家日式酒店，公司出差基本都住在这里，交通比较便利，价格在上海这种地方还算是可以的，客房里面比较干净，给人一种非常温暖的感觉，值得推荐！', '短评打分': 5}
{'短评内容': '这是一家日式酒店，公司出差基本都住在这里，交通比较便利，价格在上海这种地方还算是可以的，客房里面比较干净，给人一种非常温暖的感觉，值得推荐！', '短评打分': 5}
{'短评内容': '环境很不错,硬件设施好,交通也很便利,值得推荐.', '短评打分': 5}
{'短评内容': ' 房间的大床简直是我见过最大的床！环境不错，值得推荐！', '短评打分': 3}
{'短评内容': '不错，房间够大，空调够凉，床又大又舒服。周边吃喝玩乐购物都有。很方便，下次还住这。', '短评打分': 5}
{'短评内容': '最近几次到上海都住在这里。很舒服。周围吃喝都方便。', '短评打分': 5}
{'短评内容': '太差了，大床竟然是2张小床拼起来的，大的离谱，中间还有小缝隙~', '短评打分': 1}
{'短评内容': '性价比挺高的,地段也不错,周边很热闹,值得推荐', '短评打分': 5}
{'短评内容': '位置不错，旁边吃的东西还挺多。房间卫生打扫时还是不够仔细，茶几下面还有玻璃，很容易伤到人。', '短评打分': 5}
{'短评内容': '酒店周边餐厅商店很多，很方便，房间环境也可以，客人很满意', '短评打分': 5}
{'短评内容': '酒店不错，到店晚了，给免费升级了。各方面都还不错', '短评打分': 5}
{'短评内容': '入住前一日致電酒店延後入住時間到20:00整, 酒店訂房中心有修改.  當日住入前因交通因素, 無法在20:00前到達, 在下午17:00多致電酒店可否延長時間到22:00, 我們會加快時間趕到, 酒店前枱接線員回覆確認我的身份無誤後回覆沒有問題, 請我們儘速趕來, 會幫我們留房, 當晚9:40多分抵達酒店, 前枱人員告知我留房到20:00整, 已沒有房, 請我住入其他級別房間.  我回答當下也致', '短评打分': 1}
{'短评内容': '很好 不多说了 每次都是定这个酒店的 也写不出什么评语了 各方面还是不错的', '短评打分': 5}
{'短评内容': '酒店很干净，停车也方便,价格也很合理，下次还是选择入住。', '短评打分': 5}
{'短评内容': '房间还算干净，房子看似装修不错，走廊的声音很清晰，不过这个价格也算性价比可以了', '短评打分': 5}
{'短评内容': '酒店性价比在上海来讲很高，离老外街很近。房间内部装修很好，服务也不错。', '短评打分': 5}
