{'短评内容': '还算不错，位置很好距离中央大街很近很近，房间也很大 。而且价格公道。就是酒店房间的信号不是特别的好', '短评打分': 5}
{'短评内容': '非常不好的入住，', '短评打分': 1}
{'短评内容': '地理位置很好 离中央大街 去极地馆的船都很近。房间设施都挺全的 但是床单被罩味道很大 看着就很脏 。在携程上交的钱是预定金 到店里还得交300 不合理 ', '短评打分': 5}
{'短评内容': '还可以，位置好！！！！！！！！！', '短评打分': 5}
{'短评内容': '一直住他们家的，很好', '短评打分': 5}
{'短评内容': '一直住他们家的', '短评打分': 5}
{'短评内容': '环境一般般，设施不是很满意', '短评打分': 3}
{'短评内容': '服务态度好，房间也不错，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，服务热情。', '短评打分': 5}
{'短评内容': '环境卫生太一般', '短评打分': 3}
{'短评内容': '环境好  屋子大', '短评打分': 5}
{'短评内容': '不错，就是办不了会员啊 郁闷 要不就会经常光顾的', '短评打分': 5}
{'短评内容': '整体感觉还行，就是淋浴头太让我崩溃了，往左挪一点点，烫得要命，往右挪一点点，水一会就凉了，调试了好久才洗上，而且水龙头出的水是一个水流，这道水流离墙只有10厘米，我洗澡都是贴墙洗的。', '短评打分': 5}
