{'descr': '帮人定的，还好吧，具体自己看', 'star': 4}
{'descr': '酒店位置很好找的，离公交车站点也不是很远，停车位不是很多！！！', 'star': 5}
{'descr': '朋友说很好呢。', 'star': 5}
{'descr': '酒店位置很好找的，带着孩子很方便附近还有大型超市沃尔玛，离公交车站点也不是很远，停车位不是很多！！！', 'star': 5}
{'descr': '房间很有点老，别的都可以。', 'star': 3}
{'descr': '满意很不错！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '大跌眼镜、破坏了我对汉庭一直来的那点好感', 'star': 1}
{'descr': '房间很干净整洁，配套设施很齐（如果能放二个茶包的话更赞），前台服务小哥态度很亲切，还特地把我们的房间保留到下午一点退房。作为连锁便捷酒店的通病小广告还是出现了，这点上应该要加强下管理。', 'star': 5}
{'descr': '走廊房间太破了', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '还可以，就是有点贵', 'star': 4}
{'descr': '性价比高，交通便捷，整体很好', 'star': 5}
{'descr': '交通方便，但设施比较陈旧，整体还可以', 'star': 5}
{'descr': '很不错', 'star': 4}
{'descr': '都还可以，就是这电视有点坏了', 'star': 4}
{'descr': '表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(', 'star': 5}
{'descr': '表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(表对<如家快捷酒店（北京木樨园店）>的评论(', 'star': 5}
{'descr': '订的是商务大床房，但就是普通大床房，设施陈旧，房间有异味。。。地理位置还不错', 'star': 1}
{'descr': '订的是商务大床房，但就是普通大床房，设施陈旧，房间有异味。。。地理位置还不错', 'star': 1}
{'descr': '服务好，干净。', 'star': 3}
{'descr': '服务好，干净。', 'star': 3}
{'descr': '还是蛮不错的，去了好多次了，交通也很方便，还会再去的！', 'star': 5}
{'descr': '还是蛮不错的，去了好多次了，交通也很方便，还会再去的！', 'star': 5}
{'descr': '但是是节日百元房 挺好 大  干净 并且交通方便', 'star': 5}
{'descr': '但是是节日百元房 挺好 大  干净 并且交通方便', 'star': 5}
{'descr': '总体还不错，服务态度也可以.满意  下次还会选汉庭的。', 'star': 5}
