{'短评内容': '呵呵，没有热水，灰尘多。不会再住！', '短评打分': 3}
{'短评内容': '房间的香味太浓，洗漱用品是要收费的！用电控制在十度！', '短评打分': 5}
{'短评内容': '后天去住的，一步小心卡机点错时间了，没来的及取消，打电话过去酒店前台推卸责任，我只想说服务态度不好', '短评打分': 1}
{'短评内容': '老房子，很一般', '短评打分': 3}
{'短评内容': '再也不会去第二次了，设施老旧，最重要的一点，我躺床上，然后一个蟑螂从被子里爬出来', '短评打分': 2}
{'短评内容': '从来没有住过这样子脏的酒店！枕头不洗臭死人了！卫生间没灯还马桶堵！恶心', '短评打分': 2}
{'短评内容': '环境超差，房间有异味，马桶还是坏的，设备老旧的很', '短评打分': 1}
{'短评内容': '房间很不错了空间够大，有阳台，前台很漂亮，态度非常好，就是电梯环境有点差，总体来说很不错，下次来还会定的。', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '房间大是挺大的，有沙发电视，不过房间太潮了，而且床单有点黄黄的，被套都是潮的。刚一进去厕所还有股臭味，不过周边环境还不错，出去三四百米就有一个广场，看电影买衣服，超市什么都有', '短评打分': 4}
{'短评内容': '携程到店优惠，酒店很干净，前台美女漂亮', '短评打分': 5}
{'短评内容': '酒店总体感觉还可以，就是好多酒店定了老没有房间', '短评打分': 5}
{'短评内容': '一般。zzzzzzzzzzzz', '短评打分': 3}
{'短评内容': '房间不错，每次都住，要是有凉衣服的地方就更好了！', '短评打分': 5}
{'短评内容': '酒店一般般还有就是电梯害死人老是坏希望改进', '短评打分': 3}
