{'短评内容': '性价比很高，很好很方便', '短评打分': 5}
{'短评内容': '酒店就在吉大的中心位置，很好。', '短评打分': 5}
{'短评内容': '卫生很好，附近交通也很方便，小吃也很多，楼下是新华书店，对面是中医院，免税商场离旅店300多米，去九州港在中医院上车23路，4站就到了，很方便', '短评打分': 5}
{'短评内容': '环境不错，服务态度好。', '短评打分': 5}
{'短评内容': '门面略小，在中医院对面，但是设施不错，服务好，干净卫生，声音不吵闹，有外窗！对面快餐店的香菇滑鸡饭很好吃。', '短评打分': 5}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '吵死了，装修吵你睡不着，白天休息久点都不行', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '车位只有4个，我们没地方停车，我们订了2间房，其中一间很臭的烟味，本来住3天，只能住1天离开了，另找地方住', '短评打分': 4}
{'短评内容': '方便快捷，周边设施都有', '短评打分': 5}
{'短评内容': '酒店前台服务员美女很热情，房间卫生很干净，加多15元还可以在酒店吃早餐，挺不错！周边有公交总站，有直达长隆的公交车，附近有免税商场，超市，药店，吃饭的地方也很多，楼下就是汉堡王还有便利店。', '短评打分': 5}
{'短评内容': '设施做到最低限度的齐全，布置比较温馨，但格局略小', '短评打分': 4}
{'短评内容': '延迟两点钟要半天房费，非常不合理差评', '短评打分': 4}
{'短评内容': '地點很好中医院斜对面巷子內，交通方便，㫓東西也很方便，房間內蠻干淨的，有直接飲用水，但我还是自己在外面小店买了瓶装水，沒信心啊！熱水不是很穩定会忽冷忽熱。', '短评打分': 4}
{'短评内容': '非常非常非常好啊啊啊啊啊啊啊呀', '短评打分': 5}
{'短评内容': '服务很好，值得信赖！！！！！', '短评打分': 5}
{'短评内容': '地理位置还可以；停车位太少，只有门口4个位置，刚到时还没位置停，到旁边的停车场停车也不报销。房间里的空调一开就一大股烟味，床垫也变形，凹下去的。', '短评打分': 3}
{'短评内容': '停了半天水，停车票也等了半天。服务不错，业务不精！', '短评打分': 1}
{'短评内容': '很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '房间很好，购物很方便，旁边就是新华书店，离九洲城、免税商场都很近，价格便宜。', '短评打分': 5}
{'短评内容': '酒店位置很好，很安静。但电梯不太好，是与别的楼层公用的，有些旧。', '短评打分': 5}
{'短评内容': '号称全国最小的如家店，大堂内没有电脑，卫生间相比其他的店小', '短评打分': 1}
{'短评内容': '家里的亲戚们住的很满意，位置好，方便，下次还会来', '短评打分': 5}
{'短评内容': '非常好，酒店的位置相当的方便，步行不用十分钟便可到达购物中心', '短评打分': 5}
{'短评内容': '经济实惠，地点好，去那都挺方便的，环境也不错，卫生也可以，值得推荐', '短评打分': 5}
{'短评内容': ' 感覺還好就是太小間了!', '短评打分': 3}
{'短评内容': '已入住,整体印象感觉比较好,舒服整洁,所有设施都比较好', '短评打分': 3}
{'短评内容': '不错，一家人去的，住的很满意，下次还会来！', '短评打分': 5}
{'短评内容': '房间比较小。', '短评打分': 3}
{'短评内容': '还不错，挺温馨的，就是空间小了点，呵呵', '短评打分': 3}
{'短评内容': '已入住,,整体感觉满意', '短评打分': 3}
{'短评内容': '.酒店的内部和服务都还不错，就是外部环境太差，也没有停车场', '短评打分': 3}
{'短评内容': '交通方便，打车、公交都很方便，逛街、公园都挺近。', '短评打分': 5}
{'短评内容': '只有固定网线。如果有无线wifi就好了。方便一些平板之类的能上方便网。', '短评打分': 5}
{'短评内容': '基本还行，就是隔音一般。隔壁房间或走廊音容易传入。', '短评打分': 5}
{'短评内容': '这酒店不错，服务态度很好，刚说空调坏，马上就给我换房间', '短评打分': 3}
{'短评内容': '酒店服务态度不错，环境还是挺干净的，就是觉得贵了点！', '短评打分': 5}
{'短评内容': '住6楼，没见过隔音这么差的酒店，洗手间那流水的声音吵得人恼火！', '短评打分': 1}
{'短评内容': '服务周到，干净整洁，地理位置好，交通方便', '短评打分': 5}
{'短评内容': '主要是位置还在市中心，但是实际的位置事先要问好，特别是晚上到的旅客。从机场到吉大九州站，其实就是问中医院比较好，对面就是', '短评打分': 5}
{'短评内容': '房间很小，服务态度一般。其他的如家分店就感觉还好，不知道为什么这家的房间如此之小，不满意。', '短评打分': 3}
{'短评内容': '酒店设施尚可,感觉一般,洗刷用品比较陈旧,看着不舒服', '短评打分': 3}
{'短评内容': '厕所很窄，浴室的下水道有问题，好半天水才冲下去。毛巾也很脏，破坏了我对如家的好印象', '短评打分': 3}
{'短评内容': '窗门关不紧，很大的风声，其他还好~\n楼下还挺方便的，便利店，小菜馆什么都有~\n坐车也很方便，背后就是客运站了', '短评打分': 5}
{'短评内容': '整洁', '短评打分': 3}
{'短评内容': '床很舒服', '短评打分': 3}
{'短评内容': '地段很好，不管是旅游还是购物都很方便，价廉物美', '短评打分': 5}
{'短评内容': '房间很宽敞，也很干净，交通、购物都方便，附近有家“磨磨香”土家菜味道不错，价格也不贵。', '短评打分': 3}
{'短评内容': '酒店还不错，挺干净的，出行方便，购物、逛街很好。', '短评打分': 5}
{'短评内容': '交通很方便，周围很安静，房价也很合理，比较舒适', '短评打分': 5}
{'短评内容': '今年住了两次如家，两次都很郁闷，房小还是边角房，以后也不订如家的了\n\n\n', '短评打分': 1}
{'短评内容': '酒店交通便捷程度一般,但服务做的很好,前台都是微笑服务\n比较整洁,安静\n吃东西,购物什么的都很方便', '短评打分': 5}
{'短评内容': '干净整洁 近市区  很好 上网免费 附近吃的购物的很齐全', '短评打分': 5}
{'短评内容': '环境还不错~关键就是经济实惠 如家信得过酒店\n\n', '短评打分': 5}
{'短评内容': '房间小楼很旧服务一般', '短评打分': 3}
{'短评内容': '地理位置还行，就是以前书城那家酒店改造的\n\n卫生情况还可以，就是空调的位置对着床上，让人很不舒服\n\n房卡一直有问题，，明明按指示方向插入，就偏偏要断电一会，搞不清楚，而且空调自动总是打开的。\n\n一般吧，这个酒店', '短评打分': 1}
{'短评内容': '不错。只要不住顶樓就是8樓的话,就不会有什么大问题的了。', '短评打分': 3}
{'短评内容': '位于市中心，购物非常方便。房间干净卫生。', '短评打分': 5}
{'短评内容': '还可以，地理位置还行，比较适合逛街，离几个大型商场很近。', '短评打分': 5}
{'短评内容': '经济实惠、下次还会选这家\n经济实惠、下次还会选这家\n经济实惠、下次还会选这家\n', '短评打分': 5}
{'短评内容': '经济实惠、下次还会选这家\n经济实惠、下次还会选这家\n', '短评打分': 5}
{'短评内容': '位于市中心，交通便利，购物环境优越。客房清洁，卫生。', '短评打分': 5}
{'短评内容': '地点很好，就在书城旁。房间不小，一个人住很舒服。缺点是国际信用卡不能当押金用，只可以刷卡付账。差点不够现金给押金。房间也不提供任何茶包，只有一瓶纯净水。', '短评打分': 5}
{'短评内容': '昨晚住了如家快捷酒店（珠海吉大九洲城店），感觉比吉大店的房间要好，洗手间里的水龙头也比吉大店的好，总体来说，性价比还是挺高的', '短评打分': 5}
{'短评内容': '酒店的位置去景点很近,但是房间也就那样,对房间不太满意', '短评打分': 5}
{'短评内容': '安静，整洁，交通方便。值得推荐！以后来珠海还是会考虑如住该酒店。', '短评打分': 5}
{'短评内容': '，房间干净，够宽阔。很满意 ', '短评打分': 3}
{'短评内容': '＋设备比较旧，大床房设计有问题。', '短评打分': 3}
{'短评内容': '隔音差了一点！！位置很方便，去哪里都很近！！！', '短评打分': 5}
{'短评内容': '很干净，交通方便', '短评打分': 3}
{'短评内容': ' 优惠较少，希望能更优惠点就棒了o∩_∩o', '短评打分': 3}
{'短评内容': '还不错....................', '短评打分': 5}
{'短评内容': '洗澡间水管流水声音太大,其它环境还行', '短评打分': 3}
{'短评内容': '还是不错滴，就是隔音不算太好，离免税非常近，购物非常方便，另外楼下就是珠海新华书店，增添了文化气息~', '短评打分': 5}
{'短评内容': '挺干净地理位置好去哪里都很方便', '短评打分': 3}
{'短评内容': '酒店的位置还算中心，靠近珠海九洲城，比较繁华。\n我订的大床房连衣柜都没有，电视很老。光线很差，隔音效果非常不好。', '短评打分': 1}
{'短评内容': '   在吉大中心地段，还能有这个价钱的酒店真的很少了，里面工作人员态度都很好，房间环境很好，7楼和8楼的布局是很大不同，我们上次住的是8楼，真的很舒适，简单现代美，有家的感觉，7楼的布局就稍微差点。这次去安排不了8楼的住房，只好住7楼，呵呵。总的来说，真的不错。', '短评打分': 5}
{'短评内容': '环境很吵，服务糟糕，房间的水管一直有声音，走道的隔音效果也很糟糕，服务员的安排有问题，为什么大床房那么多，一定要安排对着电梯间的房间？下次不会再住这里了', '短评打分': 1}
{'短评内容': '在珠海中心地段的经济连锁酒店，位置很好，房间的卫生也还行。如果能象7天那样把毛巾封进袋子就更让人放心啦', '短评打分': 5}
{'短评内容': '这里位置很方便，服务态度也好！', '短评打分': 3}
{'短评内容': '房间还挺温馨的，价格也还合适', '短评打分': 3}
{'短评内容': '有点不好找,出门交通很方便', '短评打分': 3}
{'短评内容': '卫生不错，周围环境有点吵', '短评打分': 3}
{'短评内容': '交通不太方便，不过很安静，除了寻找稍稍花功夫。', '短评打分': 5}
{'短评内容': '交通方便快捷，安静，离商场也进。。。。房间挺干净......', '短评打分': 5}
{'短评内容': '价格很好，但离海较远。没有早餐食堂，很不方便。', '短评打分': 5}
{'短评内容': '挺干净，服务也好，交通便利，下次有机会来的话还会考虑入住。', '短评打分': 5}
{'短评内容': '干净，安静，卫生，不错。。下次会再来。。', '短评打分': 5}
{'短评内容': '环境还不错，有到家的感觉，周边设置也很方便。', '短评打分': 5}
{'短评内容': '地方不大，环境较差，隔音不好，满意的是洗发水沐浴露较好用，服务比较满意', '短评打分': 1}
{'短评内容': '不错。所有的如家都一样，有家一样的感觉。服务也非常好。 ', '短评打分': 5}
{'短评内容': '交通方便，房间大，离珠海渔女很近，下次还会住', '短评打分': 5}
{'短评内容': '不错。所有的如家都一样，有家一样的感觉。服务也非常好。', '短评打分': 5}
{'短评内容': '酒店地理位置还好，交通方便，整体硬件设备一般，服务一般。', '短评打分': 5}
{'短评内容': '酒店周边环境不错，购物餐馆很方便，服务尚可，总体感觉还好！', '短评打分': 3}
{'短评内容': '位置很好，态度也不错。就是毛巾总象没洗干净。', '短评打分': 5}
{'短评内容': '靠近商业区，交通方便。房间干净，舒适。性价比高。谢谢。', '短评打分': 5}
{'短评内容': '有几年没有住如家的酒店了，这家店从服务到设施，位置都很一般，但是价格却不便宜。个人觉得，性价比不值。', '短评打分': 1}
{'短评内容': '+服务还好，只是价格不是太公道', '短评打分': 5}
{'短评内容': '+发现被单床单有点没洗净的小污渍，服务员也立即给换了，酒店总体性价比还是不错的', '短评打分': 5}
{'短评内容': '性价比还算不错，就是毛巾的颜色让人觉得太过陈旧了，心里有点不舒服，不过自助游还是会推荐这家店的，服务员的态度都很不错的。', '短评打分': 5}
{'短评内容': '环境挺好，床很舒适，但是空调是坏的。总体不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置挺好的，但是房间有点小，挺干净的．但是价格较便宜，还是值得推荐的．', '短评打分': 5}
{'短评内容': '地点偏僻，卫生间有点小.酒店位于商业中心吉大，周遍有珠海百货、免税、海天城等大型商场，基本上还行.', '短评打分': 5}
{'短评内容': '位置不错，离海滨公园和情侣路很近。免税商场也在旁边，停车场也有，附近也很多特色小吃，特喜欢吃一家店的包子，下次来还住这里。', '短评打分': 3}
{'短评内容': ' 这次住晚到了一点，房间就被取消了，并且没有任何通知。重新定了房才入住，前台姓古的一位服务员态度非常不好。让人很反感，对如家的印象顿时差了很多。', '短评打分': 5}
{'短评内容': '位置很好，方便逛街，周围酒店也很多，特喜欢旁边的包子店，吃到了超好吃的包子。那天运气不好，住了八楼，房间较吵。', '短评打分': 5}
{'短评内容': '很干净，离珠江渔女很近，直走就到海滨泳场了，走路15分钟，情侣路很漂亮', '短评打分': 3}
{'短评内容': '+如家珠海吉大二店地理位置很好，房间很干净，下次还会住', '短评打分': 5}
{'短评内容': '如家前台把我的信用卡担保订单取消了，搞得我差点没房间住！还好最后给了个商务大床房给我', '短评打分': 3}
{'短评内容': '房间非常小.服务还可以.电视机有些台没有声音.浴巾也不是很干净.', '短评打分': 5}
{'短评内容': '位置不错，但是房间偏小，而且不太好找，给我安排的大床房都是正对电梯的，旅馆里经常有小孩，所以会比较吵', '短评打分': 5}
{'短评内容': '比较喜欢！就是偏僻了点~~走了比较久的路。。。', '短评打分': 5}
{'短评内容': '相对来说都比较方便，只是周围商业网点比较少，性价比不错', '短评打分': 5}
{'短评内容': '+服务可以', '短评打分': 5}
{'短评内容': '位置离购物中心较近，周边有许多饭店，服务周到热情，早餐需要改进。', '短评打分': 5}
{'短评内容': '环境还可以,价格便宜,就是位置不好找,另外空调有点异味,卫生间隔音不佳,能听见隔壁放水的声音.', '短评打分': 5}
{'短评内容': '酒店靠近购物中心，卫生舒适。', '短评打分': 3}
{'短评内容': '不错，去澳门在珠海住，这是个不错的选择。交通也很方便。', '短评打分': 5}
{'短评内容': '还不错，比意料的要好。门口车辆太挤，车近来有点麻烦。', '短评打分': 5}
{'短评内容': '靠近商业区，购物方便。', '短评打分': 5}
{'短评内容': '还是很好的，值得推荐给朋友', '短评打分': 5}
{'短评内容': '比較舊,冷氣12點後會自動停,早上7:00才有冷氣', '短评打分': 1}
{'短评内容': '房間小了點。。', '短评打分': 5}
{'短评内容': '性价比挺高的，关键住得舒服，服务也到位，唯一不好的就是我的房间的空调老跳开，冷气不足', '短评打分': 5}
{'短评内容': '酒店位于商业中心吉大，周遍有珠海百货、免税、海天城等大型商场，吃饭也很方便，九州城的夜色更美，值得推荐！', '短评打分': 5}
{'短评内容': '经济型', '短评打分': 5}
{'短评内容': '基本上还行，卫生间有点小', '短评打分': 3}
{'短评内容': '地点偏僻，卫生间有点小', '短评打分': 5}
{'短评内容': '地点偏僻，卫生一般，卫生间地面上有头发。早餐品种太少', '短评打分': 1}
{'短评内容': '主要有两个问题：\r\n\r\n1. 毛巾没有洗干净，发现有别人的头发。(肯定是别人的，因为夹在毛巾中间)\r\n\r\n2. 洗澡的水时冷时热，很难受。\r\n\r\n其他还好。', '短评打分': 1}
{'短评内容': '一开始住的房间超小的！感觉喘不过气，后来换了房间还好~交通不是很方便', '短评打分': 5}
{'短评内容': '还可以了，就是有点吵', '短评打分': 5}
{'短评内容': '房间布置不好，特别是写字台太小很不方便。\r\n\r\n另外，网速也慢。', '短评打分': 1}
{'短评内容': '位置还不错，出行还是非常方便的，房间的卫生和设施还好，服务也还行，整体感觉这家酒店的性价比还是非常高的 值得推荐', '短评打分': 3}
{'短评内容': '還不錯，性價比高', '短评打分': 5}
{'短评内容': '新开的酒店，床铺什么都很干净，就在市区，值得推荐', '短评打分': 5}
{'短评内容': '新开的如家，设施比较新。大床房在转角处，面积比较小。不过价钱不算高，性价比不错。', '短评打分': 5}
{'短评内容': '酒店的住宿环境不错的，酒店的位置不错的，出行很方便，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '位置很方便,房间里面也很干净,就是面积有点小,不过整体住着还算舒适,性价比也很高.', '短评打分': 5}
{'短评内容': '制得推荐...性价比高...位置好....退房速度很快...', '短评打分': 5}
{'短评内容': '酒店各方面的服务和条件跟她的价钱还是比较成比例的,不过配套设施太过简单了,地理也不是很明显,比较难找.', '短评打分': 5}
