{'短评内容': '价格太贵', '短评打分': 3}
{'短评内容': '太老了设施。', '短评打分': 3}
{'短评内容': '下次还入住', '短评打分': 5}
{'短评内容': '下次还入住', '短评打分': 5}
{'短评内容': '很好，非常好，超值', '短评打分': 5}
{'短评内容': '环境很差，有异味。', '短评打分': 1}
{'短评内容': '房间装修很奇葩，内部装修太旧了！', '短评打分': 1}
{'短评内容': '比较旧了，没热水，这是最受不了的', '短评打分': 5}
{'短评内容': '条件真的很破旧，前台主管一直板着脸，设备破旧度看浴缸', '短评打分': 3}
{'短评内容': '临街噪音有点大', '短评打分': 4}
{'短评内容': '房间卫生还不错，也挺大的', '短评打分': 4}
{'短评内容': '贵，环境又差', '短评打分': 2}
{'短评内容': '性价比较高，安全！', '短评打分': 5}
{'短评内容': '床太小了。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很老的宾馆 设备比较陈旧 卫生状况也不好 地上居然还有瓜子皮 客人退房后都没人清扫吗', '短评打分': 3}
{'短评内容': '真是老的有传统的酒店了，所以设施也够老的了，不过还是看得出细心的呵护。服务员素质意外的好，员工都很友好，特别是早餐厅的女服务员会介绍菜品，就算很简单。第一次来石家庄，通过酒店让我对这陌生的城市印象不错。', '短评打分': 4}
{'短评内容': '酒店还不错', '短评打分': 4}
{'短评内容': '比较干净~~房间很宽敞。。。隔音也不错~~', '短评打分': 5}
{'短评内容': '干净卫生，非常划算', '短评打分': 3}
{'短评内容': '政府开会的定点酒店，环境好，有游泳馆，服务态度好，房间宽敞。', '短评打分': 5}
{'短评内容': '宾馆位置不错，房间干净安全，设施略显陈旧。', '短评打分': 3}
{'短评内容': '没有空调冷死了，设施陈旧，洗澡水一点都不热，以后肯定不入住这里了', '短评打分': 1}
{'短评内容': '环境还可以,比较卫生.可惜入住的时候游泳池没有开放,据说是5月以后才开放', '短评打分': 5}
{'短评内容': '房间干净、宽敞，服务也好、餐厅卫生，早餐虽简单些，但与其他宾馆比较，也相当不错了，', '短评打分': 5}
{'短评内容': '酒店外面看着不好，但是里面真的很好，就是家居酒店，性价比真的很好，而且星级酒店就是星级酒店，比快捷酒店强多了啊~！有浴盆的啊！~沐浴露和洗发水都是小瓶装的，就是星级酒店才有的这样的，早餐真的很丰盛啊！~下次到石家庄一定还住哪里啊！~', '短评打分': 5}
{'短评内容': '家具是有点旧 不过其他设备都不错 有中央空调 睡的也还可以 ', '短评打分': 5}
{'短评内容': '房间干净、整洁，中央空调，24小时热水；服务员服务周到、热情、态度好', '短评打分': 5}
{'短评内容': '不错，感觉还不错，虽然价格还可以。很好，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '早点不够好，价格赶上如家的价格了，但室内想象的不那么好 淋浴不错的 水很热', '短评打分': 1}
{'短评内容': '屋子里的设备比较少，就是一个电视和一个热水壶，屋子里倒是比较干净，但总体感觉不值这个价钱。', '短评打分': 1}
{'短评内容': '这里的游泳池不错，住在这的话，10块钱就可以游2个小时', '短评打分': 5}
{'短评内容': '酒店一般，设施陈旧', '短评打分': 3}
{'短评内容': '宾馆位置较好，到桥东、桥西办事均较方便；房价比较便宜，就是房间设施较旧，是个老宾馆了，应该重新装修了，不过一装修价格也会涨的。', '短评打分': 5}
{'短评内容': '房间有些老旧，但价格比较低毕竟也是三星啊，与快捷酒店相比上点档次。还有不错的餐厅。', '短评打分': 5}
{'短评内容': '酒店比较安静，交通方便，但是吃饭不方便，饭店里的餐厅比较一般，点了一个小炒肉，里面全是青椒，太抠门了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置不错，服务很好，早餐较丰富。帮助我们找到了原北京军区七一学校，很受感动。', '短评打分': 5}
{'短评内容': '酒店是政府的，比较陈旧，服务人员都比较热情，唯一不足就是附近吃饭的地方少点，只能吃2楼了。', '短评打分': 5}
{'短评内容': '普通三星级，条件还可以，临街平安南大街，是省人防的附属酒店，有游泳馆。', '短评打分': 5}
{'短评内容': '三星级，条件还可以，9层楼，最好选择东边的房间，可以避免晚上西面马路上的喧嚣声。服务还可以，就是早餐卷需要自己向前台要。早餐在二楼，自助形式。', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '服务不错，但是房间给人的感觉不是太干净，壁纸上有水迹、脏迹。', '短评打分': 5}
{'短评内容': '还是那样，洗手间搞的比以前好了，不过房音还要加强些！', '短评打分': 5}
{'短评内容': '卫生 服务 热情 餐厅饭菜可口。下次去石家庄还会入住。', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 3}
{'短评内容': '过年期间入住，没有早餐，不太方便。客房太脏，床靠背上一层灰尘，地毯真脏啊，但愿是过节的缘故吧。建议该酒店把地毯换掉，注重客房卫生。服务员都很和气，这一点是我赞赏的。', '短评打分': 5}
{'短评内容': '宾馆不错，环境挺好的，安静，干净，服务态度也不错。。。。', '短评打分': 5}
{'短评内容': '这家酒店的地理位置不错，楼下有24小时超市，标间有澡盆，电视带机顶盒，和家里收的台差不多，硬件设施一般，住着总体还可以。', '短评打分': 3}
{'短评内容': '在这里住过一次了，因为离办事的地方比较近，这次好像环境有所改善，就是停车有点困难。', '短评打分': 5}
