{'短评内容': '酒店停车场好小，设施有点旧！', '短评打分': 2}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行！外面很不好看，里面还是不错的', '短评打分': 5}
{'短评内容': '这家酒店极差，还没有快捷酒店好，价格298，无早餐，房间不隔音，外面轰轰响，到后半夜3店都没睡着觉，找前台，极不情愿换个房，早晨和前台反映太吵，前台人员不理不睬，门口酒店人员说，反正都是游客，住一宿，无所谓，态度恶劣，请大家千万不要住这家店，宁可住快捷酒店，我从来都是好评，这家酒店太差劲了，给恶恶评', '短评打分': 1}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '帮客人订的，住后客人也没说什么，应该还可以吧。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '性价比很高，设施齐全，卫生也好，小碎花的被套，感觉很不错。', '短评打分': 4}
{'短评内容': '位于枫溪转盘，交通便利，房间也还算干净，停车位比较少。自驾出行需提前确认，否则没有地方停车。没有早餐，周边有一些小炒店。', '短评打分': 4}
{'短评内容': '还行，经济实惠!!!', '短评打分': 5}
{'短评内容': '续住的，不错。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，房间还有充电器的，8楼还有自助免费洗衣服务的，唯一不好就是隔音效果不是很好，不过还是值得推荐。', '短评打分': 5}
{'短评内容': '还………………………………好！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还………………………………好！！！！！！', '短评打分': 4}
