{'短评内容': '住着还可以，以后还会再来的，一直信赖如家，下次得办个卡，便宜', '短评打分': 5}
{'短评内容': '这是什么情况，给我一个完美的解释', '短评打分': 5}
{'短评内容': '可以！！！！！！！！', '短评打分': 5}
{'短评内容': '可以！！！！？？？？？', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有吧', '短评打分': 4}
{'短评内容': '服务挺好的', '短评打分': 5}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '非常不错，环境，早餐都不错', '短评打分': 5}
{'短评内容': '房间很大很干净，服务态度也很好，环境也很安静，位置便利', '短评打分': 5}
{'短评内容': '京东的服务很好，我很信赖，下次还会订的，就是比其他网上的贵了', '短评打分': 5}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '好好好！！！！！', '短评打分': 5}
{'短评内容': '来南阳玩，晚上不知道住哪。幸亏在附近遇到酒店的叫闫豪的帅哥，他给我们推荐和介绍了如家酒店，还给我们让了烟。瞬间感觉到朋友一般的热情。前台美女服务也挺好，房间也挺大，还有阳台，枕头躺着特别舒服。特别不错，挺喜欢。\n附上房间照片。', '短评打分': 5}
{'短评内容': '很好。。。。。不错', '短评打分': 5}
{'短评内容': '挺好的，环境，服务都很好，停车也方便。', '短评打分': 5}
{'短评内容': '很不错\n很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '无线一如既往的渣得没谁了。', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '环境不错，服务不错', '短评打分': 5}
{'短评内容': '相对于卧龙岗和美食街等旅游和休闲地点来说，位置相对偏远。选择这里是因为有停车场，自驾千里，找酒店这是必须的配置。值得推荐', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境还行，挺方便的', '短评打分': 5}
{'短评内容': '如家，很如家，没毛病', '短评打分': 3}
{'短评内容': '住在二楼，4G网信号太差用不了，别看有好几个无线网，但没有一个不卡的，而且是超级卡，结合130多的价格，略贵', '短评打分': 3}
{'短评内容': '马马虎虎', '短评打分': 5}
{'短评内容': '酒店不错，比较干净，周边也方便', '短评打分': 4}
{'短评内容': '房间还可以！周边有点小乱。', '短评打分': 5}
{'短评内容': '还可以，周边配套齐全', '短评打分': 3}
