{'短评内容': '行行', '短评打分': 5}
{'短评内容': '环境不错，地方挺大', '短评打分': 5}
{'短评内容': '  还可以吧', '短评打分': 5}
{'短评内容': '挺干净的，而且还好找', '短评打分': 5}
{'短评内容': '繁华地段里闹中取静，周围特色小餐馆和咖啡店挺多，吃饭方便。床很舒服，只是没有书桌，卫生间的洗浴没有隔开，水湿了一地。这个价格也算超值了', '短评打分': 4}
{'短评内容': '都说挺好的，但我感觉一般', '短评打分': 5}
{'短评内容': '来青岛旅游，估计是旅游旺季，房价都不便宜，这里的房间不大，不过也算温馨，房源紧张的情况下这个价位能住到这样的房，也算不错了', '短评打分': 5}
{'短评内容': '房间虽然不大，不过很温馨，也挺干净的，估计是旅游旺季，青岛这里的房价都不低，这个价位能住到这样的房间，也算不错了。', '短评打分': 5}
{'短评内容': '床上布草舒服，尤其是床垫。酒店环境优雅，淋浴细腻，楼下就可以吃到广式茶点，停车不太方便，服务态度挺好的。', '短评打分': 5}
{'短评内容': '前台服务态度真的很棒，房间也很大。床真的超大，相当于两张双人床那么大。很舒服，周边购物也都很方便，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店交通相当便利，工作人员也很热情', '短评打分': 5}
{'短评内容': '免費升級，服務很好，但交通需要打D', '短评打分': 4}
{'短评内容': '非常棒 尤其是洗澡 水比澡堂子都急 很舒服 环境也很舒适 偏欧式 很喜欢 推荐法式大床房', '短评打分': 5}
{'短评内容': '还是可以的，在旅游季节里订到这样的酒店还可以', '短评打分': 3}
{'短评内容': '不错吃住方便。停车对面也有停车场，总体感觉还可以', '短评打分': 3}
{'短评内容': '总体感觉还可以，周边交通还算方便，就是上楼没电梯，大包小包拎上去有的累', '短评打分': 3}
{'短评内容': '酒店是否给力？快分享你的购买心得吧~', '短评打分': 5}
