{'短评内容': '两间房，很舒服，就是路边高架比较吵', '短评打分': 5}
{'短评内容': '很好的酒店！太值了！', '短评打分': 5}
{'短评内容': '早餐还不错，干净好吃。', '短评打分': 4}
{'短评内容': '房间开关第一天就坏了，当时说天黑给插线板，用台灯，第二天修，直到退房也没有人来修', '短评打分': 4}
{'短评内容': '虽然新装修了，硬件还是跟不上，太旧了', '短评打分': 4}
{'短评内容': '整洁干净，环境很不错，价格也不贵，性价比高。', '短评打分': 5}
{'短评内容': '为什么预定的时候携程说发票向前台索取。但是前台说发票要跟携程要。赶时间我也懒得给携程打电话。最后花了15块钱从宾馆买的发票，我不是在乎这15块钱，而是有一中被欺骗的感觉。前台服务态度还是可以。希望携程能给答复。', '短评打分': 1}
{'短评内容': '非常推荐的一家酒店，以后就住这了', '短评打分': 5}
{'短评内容': '房间设施重新装修了，感觉比以前好多了！', '短评打分': 5}
{'短评内容': '房间环境挺好的，挺温馨的，房型非常多，选择性多，下次也选择这里！还有个小便利店，挺方便的……', '短评打分': 5}
{'短评内容': '环境很美，接待服务热情，很方便自在，下次还想住这里。', '短评打分': 5}
{'短评内容': '周边配套不错，吃买东西还可以，设施较旧。', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '卫生真心差！', '短评打分': 2}
{'短评内容': '酒店环境一般，早餐不好', '短评打分': 3}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '酒店很好、价格可以、干净、房间大、公司人员全部推荐！', '短评打分': 5}
{'短评内容': '房间的中央空调控制器好多是失灵的.', '短评打分': 3}
{'短评内容': '这酒店各方条件都不错，性价比较高', '短评打分': 3}
{'短评内容': '很舒适 服务很周到 一房一厅也比较大 下次去那边还会订你们家喔 就是价格不太美丽 听说有团购 不知道哪个网站喔 总之很棒拉', '短评打分': 3}
