{'短评内容': '房间挺大，就是有异味，然后给我换房间了！！', '短评打分': 5}
{'短评内容': '老婆满意就好。', '短评打分': 5}
{'短评内容': '很好，，，还有积分，，方便', '短评打分': 5}
{'短评内容': '很好，，，还有积分，，方便', '短评打分': 5}
{'短评内容': '商务酒店而言，格林豪泰还是比较好的，离火车站近，房间大，卫生也不错。   经常住。', '短评打分': 5}
{'短评内容': '商务酒店而言，格林豪泰还是比较好的，离火车站近，房间大，卫生也不错。', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '除了房间有点小，其他都不错。交通也还算方便。卫生也可以。', '短评打分': 5}
{'短评内容': '性价比比较高，离火车站20多分钟的步行时间可以了，周围也挺繁华。房间稍微小了点，半夜看完球发现没有热水了。', '短评打分': 5}
{'短评内容': '一般，但是去哪里都很方便，车站，购物，吃饭，都是很方便的~', '短评打分': 5}
{'短评内容': '离省立医院近，探病期间入住，较方便，卫生情况尚可', '短评打分': 5}
{'短评内容': '很干净很不错！', '短评打分': 3}
{'短评内容': '蛮不错的，服务态度很好，房间很干净，交通很是便利', '短评打分': 5}
{'短评内容': '比起其他连锁酒店 可能将比较来说古板了一点 但是好多连锁浴室都是透明的 林格豪泰的不是 是木门 这样就算一家人住一间 也不会尴尬 缺点就是 床单不是很舒服 房间总体挺好 ', '短评打分': 5}
{'短评内容': '地点和位置不错，周边也有很多购物的地方。就是自己开车要注意点，他前面的路是单行道。', '短评打分': 5}
{'短评内容': '其实环境很一般，但是服务很好，前台的服务员态度超赞，最大的优点是距离火车站近啊', '短评打分': 5}
{'短评内容': '帮朋友定的，位置不太好找，单行线。条件还不错，保持了快捷酒店的应有水准。', '短评打分': 5}
{'短评内容': '酒店很干净，不足就是服务一般，想加条毛毯都无法满足。', '短评打分': 3}
{'短评内容': '房间各项设施都很好，很新，洗手间和浴室很干净，服务态度很好，房间内的插座数量很充足！', '短评打分': 5}
{'短评内容': '还不错，交通挺方便的', '短评打分': 3}
{'短评内容': '还好，有窗户，不能全打开，只能打开一点，服务态度也不怎么的！！！', '短评打分': 3}
{'短评内容': '服务速度太慢，不顾客人的感受，另外墙壁比较脏', '短评打分': 1}
{'短评内容': '酒店我已是第二次入住，这个酒店地里外置好，交通方便。酒店设施一般，部分设施已旧未更新。服务好。如果能把部分已坏的设施更新。酒店会更完美。总的来讲可以。', '短评打分': 5}
{'短评内容': '服务很周到，房间很整洁，价格很优惠，交通很方便', '短评打分': 5}
{'短评内容': '窗帘是一层的薄纱，连遮光都没有，床垫很硬，睡觉都不舒服！', '短评打分': 1}
{'短评内容': '一般化，就是有蚊子.一般化，就是有蚊子.一般化，就是有蚊子.', '短评打分': 5}
{'短评内容': '位置稍有点太偏，9楼客房马桶堵塞，很是郁闷~~~', '短评打分': 1}
{'短评内容': '位置交通便利，价位合理，服务周到，不错，推荐各位选择。', '短评打分': 5}
{'短评内容': ',已经入住', '短评打分': 3}
{'短评内容': '挺好的，不是第一次入驻了，北窗比较安静，推荐', '短评打分': 5}
{'短评内容': '房间空间有点小，略有点闷，设施都老化了，不过卫生和服务一如既往的好，离火车站近，小吃的地方也较多，挺方便的。', '短评打分': 5}
{'短评内容': '墙面都很脏了......服务一般。。。。。。条件一般', '短评打分': 1}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '环境不错，挺干净的。', '短评打分': 3}
{'短评内容': '服务好,位置也方便', '短评打分': 3}
{'短评内容': ' 环境整洁卫生 服务周到', '短评打分': 3}
{'短评内容': '地理位置比较方便，距离火车站较近，整体推荐', '短评打分': 5}
{'短评内容': '不错，值得推荐，地理位置比较方便，距离火车站，起步价5分钟', '短评打分': 5}
{'短评内容': '条件不咋地，位置还可以\n工作人员服务还不错，很热情，也很细心，就是房间有点不太干净', '短评打分': 1}
{'短评内容': '位置不错，但硬件设施有点落伍，连台电脑也没有', '短评打分': 5}
{'短评内容': '虽房屋设施有些陈旧，但是住起来还是蛮舒服的。位置距离火车站不远、', '短评打分': 5}
{'短评内容': '其他还好，就是门的隔音效果太差，走廊里开关门的声音太明显，太大，北边的房间临近大街，车辆声音很吵', '短评打分': 5}
{'短评内容': '服务一般，设施还可以，离火车站有点远，晚上到的话不是很方便', '短评打分': 1}
{'短评内容': '还可以。不过感觉标准间要比特价房好多了。推荐标准间。', '短评打分': 5}
{'短评内容': '好好好~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店设施服务都很好··就是位置有点隐蔽 不太好找', '短评打分': 5}
{'短评内容': '优点：1.位置佳，西临华联商厦西市场，北望可见铁路，离济南站近；2.箭牌卫浴、日立空调、玻璃浴室。缺点：1.空间小；2.床较高；3.本人所住房间墙壁脏；4.衣柜小；5.参见缺点1。', '短评打分': 1}
{'短评内容': '离济南火车站挺近的，不行大概在10来分钟左右，周围餐饮配套非常好', '短评打分': 5}
{'短评内容': '床的确大，房间却有点小，桌前的椅子体型稍微大点的估计就坐不进去。床也有点硌人，用手摸上去很明显感觉到弹簧。整体感觉就是拥挤。', '短评打分': 3}
{'短评内容': '房间很温馨  设施挺全  就是房间太小', '短评打分': 3}
{'短评内容': '位置不错··往西步行几分钟就可以到西市场··购物挺方便的·就是床太高·希望完善一下···', '短评打分': 5}
{'短评内容': '房间很干净，前台服务态度不好。', '短评打分': 3}
{'短评内容': '服务还行 房间太小 电视都没信号 一般般吧', '短评打分': 1}
{'短评内容': '酒店很干净舒适，下次还住', '短评打分': 3}
{'短评内容': '就是房间太小了，其他都好了，另服务员对周边环境不是很熟悉。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店挺好的，离火车站也很近，出行很方便，很喜欢', '短评打分': 5}
{'短评内容': '这个酒店不错。值得入住，下次去我好会住。交通方便。', '短评打分': 5}
{'短评内容': '还不错，订的时候说是无窗，结果是有的，就是离火车站还有一段距离，走过去比较远', '短评打分': 5}
{'短评内容': '基本上还可以，基本设施齐全，下次仍会考虑。', '短评打分': 5}
{'短评内容': '酒店环境舒适，交通便利，房间隔音效果较好，干净卫生，值得推荐！', '短评打分': 5}
{'短评内容': '，，，，，，，，，，，，，，，，，，，，，，，，，不错', '短评打分': 5}
{'短评内容': '房间舒适、干净,离火车站近。我住的是大床房，房间空间稍小。', '短评打分': 3}
{'短评内容': '房间大而干净，超值！', '短评打分': 3}
{'短评内容': '非常安静，房子也特别舒适，下次过来还会住这里', '短评打分': 5}
{'短评内容': '房间很干净，就是有点小，', '短评打分': 3}
{'短评内容': '大床很舒服，餐厅的工作人员很友善，服务很好。就是坐车出行不是很方便。', '短评打分': 5}
{'短评内容': ' 房间比较干净，价格还算公道，只是附近没有吃饭的地方。', '短评打分': 3}
{'短评内容': '环境还是不错的，离火车站不远，还有一条小吃街，华联，都离得挺近的，总评：蛮不错的。', '短评打分': 5}
{'短评内容': '总体来说不错，洗手间地面太滑，马路有点吵，', '短评打分': 3}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '离火车站很近，步行15分钟吧。大床房挺小的，设施还行。前台服务员及保安都很热情，帮我们推荐饭店、景点及线路', '短评打分': 5}
{'短评内容': '很好，很温馨', '短评打分': 5}
{'短评内容': '2点 比较满意 1是价格便宜 2是地理位置还算可以 其他的一般般', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '晚上客人很吵~隔音不好！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '房间卫生设施都挺好，交通方便，离火车站很近。', '短评打分': 5}
{'短评内容': '干净还可以，但是房间的空间太小，总体来说还可以吧，性价比还行', '短评打分': 5}
{'短评内容': '入住', '短评打分': 5}
{'短评内容': '勉强吧', '短评打分': 5}
{'短评内容': '＋不错，服务态度很好', '短评打分': 5}
