{'短评内容': '干净卫生美中不足就是冷', '短评打分': 5}
{'短评内容': '房间卫生可以，设施一般，毛巾等旧，早餐一般', '短评打分': 4}
{'短评内容': '不够人性化，网上预订了三天，由于有急事，只能提前一天走了，还不肯退一天的钱，以后来住也不同意。人性化的服务更加能吸引回头客户，不是只盈利，还要有口碑才是赚了', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '廷好的早餐', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '千万别定，它和京东已经没有合作了', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '爬凤凰山住的地方，老牌酒店，周边吃行都很方便，设施有些陈旧，不过还满意，第二天就洗温泉去了，哈哈哈哈', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店还可以，就是价格有点贵。。。。', '短评打分': 5}
{'短评内容': '不错 方便快捷 安静干净 赞一个', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店不错常住，就是艺龙垃圾一个以后再也不会用艺龙了', '短评打分': 3}
{'短评内容': '挺好 环境好 设备好 位置也不错 有空再来', '短评打分': 5}
{'短评内容': '酒店不错，服务和态度都很好，很干净,有机会还会来，凤凰山也很好玩。', '短评打分': 5}
