{'descr': '很好很强大', 'star': 5}
{'descr': '很好很强大', 'star': 5}
{'descr': '非常好，值得推荐，还会再来，推荐', 'star': 5}
{'descr': 'ctrip有个人和公司的业务的，包括机票，酒店，签证，度假产品等等。在中国还是比较大的搜索引擎。', 'star': 5}
{'descr': '酒店设施一般，隔音效果不怎么好，马路边很吵', 'star': 3}
{'descr': '由于房子漏水，墙皮严重脱离', 'star': 2}
{'descr': '挺好的，入住非常舒服。', 'star': 5}
{'descr': '离公交车站进  餐饮也近', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '性价比高，交通方便，价钱便宜，服务好', 'star': 5}
{'descr': '价格便宜，环境还不错，房间较小，信价比较高', 'star': 5}
{'descr': '酒店挺不错，比想象中好很多，而且价格比一般的连锁酒店便宜，挺好的', 'star': 5}
{'descr': '周边环境将就，内部卫生还行。虽说不上物超所值，但总的性价比高。房间也许是使用消毒水太多，味太浓。', 'star': 5}
{'descr': '环境卫生都挺好的，挺干净的。会再去光顾的。', 'star': 5}
{'descr': '房间整洁干净，整体条件较好，但房间隔音效果不好。', 'star': 5}
{'descr': '便宜居嘛，除了便宜就没啥了，朋友住了一天坚决要求换地方，无语。', 'star': 1}
{'descr': '环境还可以，房间也很干净', 'star': 3}
{'descr': '环境不错，服务也可以。', 'star': 3}
{'descr': '房间硬件还不错，但房间有异味。', 'star': 3}
{'descr': '酒店比较新，服务还好，床不是很舒服，略贵。', 'star': 3}
{'descr': '很干净，还不错，位置也还行，如果不是有特殊要求的话，推荐入住', 'star': 5}
{'descr': '很人性化~厕所和浴室分开，太好啦，不用一边如厕一边淋浴了~^_^', 'star': 3}
{'descr': '入住感觉很好', 'star': 3}
{'descr': '抱着试试的心态入住，设施新，服务亲切，感觉很愉快！强烈推荐！', 'star': 5}
{'descr': '不错 喜欢洗手池的设计和每个房间都有吹风机 \n\n但是怎么能一些房间没有暖气呢？ 还刷不了卡...还不能开发票...', 'star': 5}
{'descr': '新的酒店 干净整洁 设计也很合理 放东西的位置比较合适\n\n就是暖气不太足 开了空调能凑合\n\n交通方便很好找', 'star': 5}
{'descr': '服务很差，没有发票，很不专业内饰装修一般，厕所很小，因为12月入住温度还不错', 'star': 1}
{'descr': '很顺利办入住，谢谢', 'star': 3}
{'descr': '房间不错，挺干净的，值得推荐。只是入住的时候服务员找了半天才找到我的预定资料。', 'star': 5}
{'descr': '房间不大，但很干净。隔音很好，布置温馨。吹风机很贴心咯，长发救星。很赞，还会再来。', 'star': 3}
{'descr': '比较偏僻，不过酒店是新的，还好，但是，非常生气的是，坐了好久的车到了那里之后，说没有为我们保留房间，这有点不满意，不过后来解决了。', 'star': 5}
{'descr': '比较经济实惠 就是卫生间厕所 太紧凑了。', 'star': 5}
