{'短评内容': '住的相当舒服！', '短评打分': 5}
{'短评内容': '暂时也没有其他好的选择了', '短评打分': 4}
{'短评内容': '每年来都住这里，很好', '短评打分': 5}
{'短评内容': '豪华阁张玮', '短评打分': 5}
{'短评内容': '豪华阁王雅丽、服务好', '短评打分': 5}
{'短评内容': '才住两天就有了依依不舍的感觉，房间大，被褥清香干爽，床垫正好托住我的老腰，很想买个回去。水果赠送的吃不完，早餐食材也是高配，整体服务是国内难得的温馨专业，Amy 张特别表扬，那么美那么认真工作的姑娘实在是罕见了', '短评打分': 5}
{'短评内容': '酒店在市中心，购物饮食很方便，商旅出差住这里很不错', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '太好了', '短评打分': 5}
{'短评内容': '稍显陈旧了', '短评打分': 4}
{'短评内容': '房间比较老了，设施要差一些，其他服务还好。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店位置特别棒，从20楼远眺就可以看到人民公园，因为是冬季入住，可以看到湖面上滑冰的人群；前台升级到了豪华阁客房，下午提供畅饮时间，食物不是很多，但很好吃。酒店特别贴心，吃饭的时间，阿姨就打扫了一次房间，还送了果盘。只是房间有些干，加湿器看了也没什么用处。  以为香格里拉都用的是欧舒丹的沐浴产品，没想到，不是。。  ', '短评打分': 5}
{'短评内容': '很好，下次还来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，还可以吧，价格略微高点！', '短评打分': 5}
{'短评内容': '位置很好，服务人员态度也很好，下次还会入住。', '短评打分': 5}
{'短评内容': '豪华，大气，位置方便，早点丰盛，很喜欢。硬件很好。', '短评打分': 5}
{'短评内容': '早餐很丰盛，硬件很好，服务有待提高，还可以吧。', '短评打分': 5}
{'短评内容': '来呼和浩特常住酒店，条件很好，也干净。不错哦。', '短评打分': 5}
{'短评内容': '名不符实，太差。晚上蚊子咬，白天不到12点就催着退房，连商务酒店都不如，还五星', '短评打分': 1}
{'短评内容': '非常人性的入住服务很温馨。', '短评打分': 3}
{'短评内容': '名副其实的五星级酒店。服务，硬件，卫生都很棒。', '短评打分': 5}
{'短评内容': '很好。停车方便。宽敞明亮，卫生不错，早餐也丰盛。', '短评打分': 5}
{'短评内容': '不错，呼和顶呱呱的酒店，酒店内的嘉年华消费偏高，饭菜不错。总体讲价位偏高', '短评打分': 5}
{'短评内容': '除了价格其他都是不错的，在内蒙古这种服务很一般的地方算不错了！', '短评打分': 5}
{'短评内容': '就是冲着香格里拉这个品牌去的，在呼市现在应该是最豪华的了酒店，当然价格也不低。\n这次正好遇上酒店装修，还被迫换了房间，略微有点失望，其它的服务还是不错。', '短评打分': 5}
{'短评内容': '五星酒店没话说\n服务非常好\n房间大小适中\n值得推荐', '短评打分': 5}
{'短评内容': '呼和浩特为数不多的星级酒店，价钱稍贵了点。', '短评打分': 5}
{'短评内容': '房间外景不错，只是房间有点小。空调效果不是很明显，需要改善。', '短评打分': 5}
{'短评内容': '去呼和浩特的话最好就去这里 环境和服务都不错 ', '短评打分': 5}
{'短评内容': '当我要8个信封装东西都不给，要收费，笑话，给了5个，你1000多的房价啊，搞什么', '短评打分': 1}
{'短评内容': '除了价格，其他都是不错的。呼和浩特基本上也是最好的酒店了啊，上网免费的香格里拉酒店还是不多的吧！缺点，打车比较难啊。居然没有排队的车，怪了，在市中心啊', '短评打分': 5}
{'短评内容': '在内蒙古算很好了啊，秉承香格里拉一款的优良品质，除了价格！哈哈\n没办法啊,好酒店就是贵啊！\n房间双床的，俩床离得太近了，基本挨在一起了，和自家人住就好，要是同事什么的、会议的，那就别扭了', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务世界同步就是旺季价格高了一些，还是推荐', '短评打分': 5}
{'短评内容': '五星级的酒店不错，环境也比较好，下次还会再来\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '五星级的酒店不错，环境也比较好，下次还会再来', '短评打分': 5}
{'短评内容': '酒店装修不错，用餐环境也挺好。现大堂正在装修中，空气不太好。', '短评打分': 3}
{'短评内容': '，酒店很好，只是个别门童与楼面服务不会打招呼与微笑，其它都还好', '短评打分': 3}
{'短评内容': '服务态度很好！房间感觉很温暖，还有送果盘，性价比很高！值得推荐', '短评打分': 5}
{'短评内容': '香格里拉大酒店不論在世界的任何角落，都有5星級的服務。實在太棒了！ 繼續努力', '短评打分': 5}
{'短评内容': '只能说还行，平时价格太高，房间很小，给领导定的房间，我进去后都觉得不是很满意。', '短评打分': 5}
{'短评内容': '服务各方面都比这边的喜来登要好，但是价格稍微贵了一点，我预定的那个豪华阁的房间，进去看了以后觉得房间面积稍微小了一些。\n\n这个大小的房间，大概800到900左右带早餐比较合适。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': ' + very comfortable hotel room and handy facilities, we enjoyed it very much.', '短评打分': 5}
{'短评内容': '香格里拉没的说，房间很舒适，真正的5星级酒店。', '短评打分': 5}
{'短评内容': '还不错~酒店的服务真五星！设施真五星！楼下还有LV等大品牌，值得信赖！', '短评打分': 5}
{'短评内容': '小冰箱很隐蔽，牙具盒很难撕。其它都很不错。是最有性价比的香格里拉。', '短评打分': 5}
{'短评内容': '周末房只要598元，很不错。位置离机场50元，在呼和浩特最热闹的地段。', '短评打分': 5}
{'短评内容': '酒店不错，位置也不错，周末的价格也不错，只是觉得喷淋的水比较细（但还是很大）', '短评打分': 5}
{'短评内容': '地理位置好比较方便我出行办事.其它各方面条件比较一般化,不过总体感觉住起来还行.', '短评打分': 5}
{'短评内容': '性价比很高，适宜白领以上人士。', '短评打分': 5}
{'短评内容': '性价比非常好，而且硬件和卫生条件也不错，综合水平比较高，并且服务人员也很周到热情.', '短评打分': 5}
{'短评内容': '酒店的配置很新，卫生服务都很达标，性价比很好的酒店。位置也很好出行交通方便，值得推荐入住。', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比蛮高的，房间很干净，设施也特完善，服务很好，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店不错，卫生干净，服务蛮热情的，就是价格偏高了些，优惠写更好。', '短评打分': 5}
{'短评内容': '酒店的设施和服务堪称一流，这是我们住过的最好酒店之一。一进酒店大堂，就感受到礼宾小姐的热情，有宾至如归的感觉。酒店行政房设备齐全，环境优雅，还可到荣华阁酒廊饮茶水、喝咖啡，食糕点，感觉舒适与悠闲，给我们五一假日增添了许多愉悦和惊喜。有机会到呼市，还会去住！\r\n\r\n', '短评打分': 3}
