{'短评内容': '服务很好，空间整洁，可停车。', '短评打分': 5}
{'短评内容': '还可以干净，就是有点小小', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格在这里，可以了', '短评打分': 4}
{'短评内容': '可以挺好的', '短评打分': 5}
{'短评内容': '还可以，性价比在这呢。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间虽小很干净卫生，服务态度也很好！', '短评打分': 5}
{'短评内容': '一般吧，没啥好说的。', '短评打分': 3}
{'短评内容': '舒适，环境好', '短评打分': 5}
{'短评内容': '酒店不错，经济实惠，值得推荐！', '短评打分': 4}
{'短评内容': '交通方便卫生干净服务态度好目的地杭州市', '短评打分': 5}
{'短评内容': '前台服务好，房间卫生干净，服务好，卫生干净，服务好，卫生干净，服务好，卫生干净，服务好，卫生干净，嘿嘿，下次还来。。', '短评打分': 5}
{'短评内容': '前台的服务很好，卫生很干净，住的很舒服', '短评打分': 5}
{'短评内容': '卫生特别干净，前台服务也特别好，', '短评打分': 5}
{'短评内容': '房间卫生好，卫生干净，卫生干净，前台服务特别好之后肯定常来', '短评打分': 5}
{'短评内容': '很好的地方，很好的地方', '短评打分': 5}
{'短评内容': '房间干净，简单方便，只是面积较小，空调正对头吹！', '短评打分': 3}
{'短评内容': '酒店离长途汽车站不远，离西溪湿地不远，但离西湖就有点远了。不过对面的公交站牌很方便，宾馆的环境还行，也很干净。服务人员都很热情，酒店的价位也不贵。就是周围的饭店很少，吃饭有点麻烦。', '短评打分': 5}
{'短评内容': '房间不错,袖珍的,服务挺好的,旅游指南不是很给力,有自助游的,提供坐哪路公交就好了。', '短评打分': 3}
{'短评内容': '还不错，小点，不过很温馨~还挺干净的，稍微偏僻了点，不过门口就有公交车，交通挺方便的，走两趟街就到一个商务中心，就有很多小吃店啊什么的，挺方便的', '短评打分': 5}
{'短评内容': '电视机没机顶盒的  灯光是黄色的  我喜欢白色的   ', '短评打分': 1}
{'短评内容': '比较简洁，但是整个酒店的布置和装饰很温馨', '短评打分': 5}
{'短评内容': '比较简洁，但是整个酒店的布置和装饰很温馨', '短评打分': 5}
{'短评内容': '  酒店环境还可以，就是那窗户的隔音效果不怎么好', '短评打分': 3}
{'短评内容': '  酒店环境还可以，就是那窗户的隔音效果不怎么好', '短评打分': 3}
{'短评内容': '房间内空气污浊，夜晚有蚊子，无驱蚊工具，床垫太软，被套太硬而且感觉不是纯棉的，盖过后皮肤不舒服，感觉像过敏，服务态度尚可', '短评打分': 3}
{'短评内容': '房间内空气污浊，夜晚有蚊子，无驱蚊工具，床垫太软，被套太硬而且感觉不是纯棉的，盖过后皮肤不舒服，感觉像过敏，服务态度尚可', '短评打分': 3}
{'短评内容': '不错，价格适中，离西湖很近，下次去杭州还会选择的', '短评打分': 5}
{'短评内容': '不错，价格适中，离西湖很近，下次去杭州还会选择的', '短评打分': 5}
{'短评内容': '酒店没有一次性用品，不方便', '短评打分': 3}
{'短评内容': '酒店没有一次性用品，不方便', '短评打分': 3}
{'短评内容': ' 设施比较陈旧了，床单也不太干净，不提供洗漱用品，夜间有奇怪的敲门服务', '短评打分': 3}
{'短评内容': ' 设施比较陈旧了，床单也不太干净，不提供洗漱用品，夜间有奇怪的敲门服务', '短评打分': 3}
{'短评内容': '酒店环境还不错，布置很可爱温馨，性价比较高，给个好评吧！', '短评打分': 5}
{'短评内容': '酒店环境还不错，布置很可爱温馨，性价比较高，给个好评吧！', '短评打分': 5}
{'短评内容': '酒店位置不错，房间比较简单，适合年轻的背包族入住', '短评打分': 5}
{'短评内容': '酒店位置不错，房间比较简单，适合年轻的背包族入住', '短评打分': 5}
{'短评内容': '酒店位置很方便，交通很多，有停车场,下次还会住', '短评打分': 5}
{'短评内容': '酒店位置很方便，交通很多，有停车场,下次还会住', '短评打分': 5}
{'短评内容': '从酒店位置\\价格等方面来讲还是不错的.就是房间有点小', '短评打分': 5}
{'短评内容': '从酒店位置\\价格等方面来讲还是不错的.就是房间有点小', '短评打分': 5}
{'短评内容': '酒店没想象的好。房间不大。。以后应该不会订布丁酒店。', '短评打分': 3}
{'短评内容': '酒店没想象的好。房间不大。。以后应该不会订布丁酒店。', '短评打分': 3}
{'短评内容': '地理不错，很干净，价格合理，主要是没电梯.....', '短评打分': 5}
{'短评内容': '地理不错，很干净，价格合理，主要是没电梯.....', '短评打分': 5}
{'短评内容': '不如文一西路那家布丁好，电视收不到几个台，床单也不是很干净', '短评打分': 1}
{'短评内容': '不如文一西路那家布丁好，电视收不到几个台，床单也不是很干净', '短评打分': 1}
{'短评内容': '也许是住在一楼的原因可能移动信号不是很好 还有隔音效果也不好 总体觉得还不错', '短评打分': 5}
{'短评内容': '也许是住在一楼的原因可能移动信号不是很好 还有隔音效果也不好 总体觉得还不错', '短评打分': 5}
{'短评内容': '神马都没有的宾馆.房间里居然连浴巾都没有.', '短评打分': 5}
{'短评内容': '神马都没有的宾馆.房间里居然连浴巾都没有.', '短评打分': 5}
{'短评内容': '房间布置的很合理，布局不错，硬件设施齐全，装饰很漂亮，卫生条件不错，干净整洁，住宿条件蛮好 \n', '短评打分': 5}
{'短评内容': '房间布置的很合理，布局不错，硬件设施齐全，装饰很漂亮，卫生条件不错，干净整洁，住宿条件蛮好 \n', '短评打分': 5}
{'短评内容': '房间布置的很合理，布局不错，硬件设施齐全，装饰很漂亮，卫生条件不错，干净整洁，住宿条件蛮好', '短评打分': 5}
{'短评内容': '房间布置的很合理，布局不错，硬件设施齐全，装饰很漂亮，卫生条件不错，干净整洁，住宿条件蛮好', '短评打分': 5}
{'短评内容': '总体感觉房间还可以，舒适度不错，基础硬件设施齐全，服务很好，卫生也很干净整洁，住着满意', '短评打分': 5}
{'短评内容': '总体感觉房间还可以，舒适度不错，基础硬件设施齐全，服务很好，卫生也很干净整洁，住着满意', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员对我们都很亲切，性价比较高，房间布置的温馨舒适，住着很放松', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员对我们都很亲切，性价比较高，房间布置的温馨舒适，住着很放松', '短评打分': 5}
{'短评内容': '酒店性价比较高，整体环境不错，卫生情况很好，蛮干净的，服务也很到位', '短评打分': 5}
