{'短评内容': '服务态度好，出游方便，房间卫生可以，网络很流畅，热水供应很好，值得一住.................', '短评打分': 5}
{'短评内容': '香港脚味实在是太臭了。', '短评打分': 2}
{'短评内容': '一楼早上非常吵', '短评打分': 5}
{'短评内容': '非常不错的体验，京东还是很方便', '短评打分': 5}
{'短评内容': '啊。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐怎么样', '短评打分': 1}
{'短评内容': '早餐还没吃，所以不知道怎样，其他的一切都很可以，环境价格也便宜，舒适的一米八的大床无敌，唯一就是不好停车。', '短评打分': 5}
{'短评内容': '七天酒店經濟實惠～衛生幹淨～不錯選擇', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，卫生干净。服务也不错。', '短评打分': 5}
{'短评内容': '非常不错，环境很好，房间整洁无异味', '短评打分': 5}
{'短评内容': '不错，卫生干净，就是设备有点旧', '短评打分': 5}
{'短评内容': '交通方便，适合临时入住。', '短评打分': 5}
{'短评内容': '可以啊', '短评打分': 5}
{'短评内容': '每次过来都是住这里', '短评打分': 5}
{'短评内容': '服务态度好，交通也还方便', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '电风筒坏了，我老婆洗完头才发现，差点就感冒了。花洒插座坏了，无法固定！还有房间太小了，感觉很压抑。借的数据线来充电竟然是坏的！！这次的体验真的很差。唯一就是觉的服务员的态度非常好。给个赞。', '短评打分': 4}
{'短评内容': '酒店还可以，前台服务也可以，离地铁站进', '短评打分': 4}
{'短评内容': '不错，交通便利！', '短评打分': 5}
{'短评内容': '差…！', '短评打分': 1}
{'短评内容': '房间旧，设施差，空调还整晚漏水！比一般的青年旅馆还要差10陪！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
