{'短评内容': '真的还不错，设备齐全！也很干净', '短评打分': 5}
{'短评内容': '还不错，空间挺大', '短评打分': 4}
{'短评内容': '交通方便，价格不贵，水不好喝，建议提供矿泉水', '短评打分': 5}
{'短评内容': '不知道', '短评打分': 5}
{'短评内容': '环境还可以！', '短评打分': 4}
{'短评内容': '必须差评 再也不去 就前台那服务态度 不知道哪冒出来一个妖精连工作服都不穿 服务态度极差！ ', '短评打分': 1}
{'短评内容': '前台收银员长的很漂亮，房间很大，住着很舒服。', '短评打分': 5}
{'短评内容': '挺好的，暖和，安静！', '短评打分': 4}
{'短评内容': '位置还可以，房间内设施不错，在唐山来说还算比较好的快捷酒店', '短评打分': 4}
{'短评内容': '这是我迄今住过最差的连锁酒店啦，到唐山一直打电话给酒店却一直打不通，为了环境能好点我订的商务间到了之后竟然发现房间没窗户，里面又潮又暗一股发霉的味道，再说隔音那叫一个差，隔壁的大哥的呼噜声那叫一个响，不说啦我真是无语啦！', '短评打分': 1}
{'短评内容': '定的双人床有窗户的，结果窗户被封得密密实实的跟无窗房无区别', '短评打分': 4}
{'短评内容': '酒店卫生还可以 水温合适 唯独设施不全 没有吹飞机 洗漱用品需要自带', '短评打分': 4}
{'短评内容': '好好❤！！！！！！！', '短评打分': 3}
{'短评内容': '房间很不错，价格合理', '短评打分': 3}
{'短评内容': '还可以。。。。。。。。。', '短评打分': 3}
{'短评内容': '环境还可以，不过都没窗户！', '短评打分': 3}
{'短评内容': '非常整洁，实际和图片一样。', '短评打分': 3}
