{'短评内容': '100元。价格还算便宜，经济实惠，周边不少餐厅吃饭比较方便，对住宿讲究的亲可以绕过，酒店比较旧，卫生一般。', '短评打分': 3}
{'短评内容': '价格便宜，环境舒适，总得来说很不错，住了两天也很满意。', '短评打分': 5}
{'短评内容': '位置好，可以随便停车，价格便宜，早餐丰富。', '短评打分': 5}
{'短评内容': '酒店还是比较经济划算的，环境比较卫生舒适，就是沿街的标间不够安静，但整体这个价格的酒店来比较，这家设施配套算中上的。', '短评打分': 4}
{'短评内容': '早餐挺好的，床睡着挺舒服的！服务态度很好的', '短评打分': 5}
{'短评内容': '一般，可以入住', '短评打分': 4}
{'短评内容': '听说字打多了给的豆多，那我就要豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆豆', '短评打分': 5}
{'短评内容': '太差了，简直无语。', '短评打分': 1}
{'短评内容': '挺好，都还好，', '短评打分': 4}
{'短评内容': '环境不会其他都还不错', '短评打分': 4}
{'短评内容': '房间看起来很脏', '短评打分': 2}
{'短评内容': '酒店一般', '短评打分': 4}
{'短评内容': '501房间不错，价格实惠，空间挺大，值得推荐。', '短评打分': 3}
{'短评内容': '地段位置好，吃住很方便哦', '短评打分': 3}
{'短评内容': '价格实惠，紧挨着芜湖新兴铸管，方便，推荐', '短评打分': 3}
{'短评内容': '特价房太脏了，没电视就算了还没水壶，关键是气味让人受不了，根本睡不着', '短评打分': 3}
{'短评内容': '还不错，以后来还会选择住在这里', '短评打分': 5}
{'短评内容': '环境还行，就是水不是太热，温的。', '短评打分': 3}
