{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '给了一个外面空调机超级响的房间，害我一夜没睡。是我住过最差的体验。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错，干净整洁', '短评打分': 4}
{'短评内容': '前台两头猪，连登记身份证都弄了20分钟，真的是笨到不行，找这种人当前台，以后再也不来这家酒店了，门也像生锈了一样，差评！', '短评打分': 4}
{'短评内容': '第二次来了。比上次来的时候房间还要小，太小太小，略有味道，没有写字台。但是价格在这儿，也不能要求啥。', '短评打分': 4}
{'短评内容': '第二次来了。比上次来的时候房间还要小，太小太小，略有味道，没有写字台。但是价格在这儿，也不能要求啥。', '短评打分': 4}
{'短评内容': '第二次来了。比上次来的时候房间还要小，太小太小，略有味道，没有写字台。但是价格在这儿，也不能要求啥。', '短评打分': 5}
{'短评内容': '酒店服务不好，因为是赶飞机早上五点去退房，被服务员数落了。下次不会在定了。', '短评打分': 3}
{'短评内容': '不错住了很多次了', '短评打分': 5}
{'短评内容': '还行，比较干净。来上海住过第二次了', '短评打分': 5}
{'短评内容': '新装修的，还不错。', '短评打分': 5}
{'短评内容': '酒店价格实惠，服务态度较好，选择商务出差偶住几日不错', '短评打分': 5}
{'短评内容': '这个价位的酒店中算是很不错了，服务员也很热心', '短评打分': 4}
{'短评内容': '很好的一家店', '短评打分': 5}
