{'短评内容': '感觉还不错ke\u2006yi', '短评打分': 4}
{'短评内容': '女朋友不喜欢。。。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '第二次入住，好评', '短评打分': 5}
{'短评内容': '设施陈旧，电视还是老电视，空调太旧，应该很久没有清洗，正好在床上方，一开空调全是黑色的渣屑掉床上，酒店保安来帮忙把床移了位置，帮我们更换了被套。旁边黄山学院正在施工，有点闹。', '短评打分': 3}
{'短评内容': '除了停车方便，其他太一般了，隔音相当不好。', '短评打分': 3}
{'短评内容': '还可以，房间很干净很舒服的。不错', '短评打分': 5}
{'短评内容': '十个字十个字十个字！', '短评打分': 5}
{'短评内容': '十个字十个字十个字！', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '停车方便。服务很好。环境很好。', '短评打分': 5}
{'短评内容': '大酒店肯定方便，好一点，就是床单太脏了', '短评打分': 5}
{'短评内容': '黄山市最垃圾的如家，没有之一，前台服务态度差的不是一点半点，和朋友开了个标间，进房间一看我勒个擦呀，大屁股电视，就几个台，遥控器还特么不好使，马桶盖又特么是坏的，空调特么也是坏的，怎么这么垃圾呀！多和黄山中路店学学，比你们强太多了，什么鸡吧玩意。', '短评打分': 1}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '交通方便，无论去老街和汽车站都挺方便的，性价比不错。', '短评打分': 5}
{'短评内容': '不怎么样 黄山的经济酒店难道都这样烂吗', '短评打分': 3}
{'短评内容': '酒店离机场很近，我们是晚上的飞机，出租车不打表的，30块钱到酒店。房间很小，干净温馨', '短评打分': 5}
{'短评内容': '和正常的如家一样，还不错', '短评打分': 4}
{'短评内容': '离机场近，其他一般，态度好。。。', '短评打分': 4}
{'短评内容': '位置较偏，但打车到老街并不远，基础设施较好，到黄山旅游不错的选择。', '短评打分': 5}
{'短评内容': '地理位置较好，交通便利，到老街很方便。服务较好，基础设施略有不足，到黄山市旅游住宿的较好选择。', '短评打分': 3}
{'短评内容': '房间是不错，就是位置偏了，旁边都没有吃的，而且打车很不方便！下次不会住了', '短评打分': 1}
{'短评内容': '环境蛮好 装修也可以 还有收费的按摩服务 很适合登山回来 就是没有窗户房间有点潮 总体还是很满意', '短评打分': 3}
{'短评内容': '服务态度挺好，环境挺好，布置的很温馨！', '短评打分': 3}
{'短评内容': '每次出门我都会选择如家，真的有回家的感觉，不错。', '短评打分': 5}
{'短评内容': '如家酒店服务及客房环境都还不错，周围交通也比较方便！', '短评打分': 5}
{'短评内容': '还不错，挺温馨', '短评打分': 3}
{'短评内容': '卫生于净，交通方便，设施尚可。', '短评打分': 3}
{'短评内容': '优点：1.便宜：119还能用30块的卷；2.方便：离汽车站就2公里，边上就有好又多；3.干净；4.房间大：两张都是1.5M的床，相比于其它连锁快捷，如家是唯一一个能保证最廉价的房间也有一定空间的，这是我选择如家最重要的原因。\n缺点：1.隔音差：隔壁在麻将的声音吵点就能听到哦，幸好那晚他们没怎么吵，走廊上得声音也能听到，幸好有地毯；2.床不是很舒适：床也不是越软我越喜欢，但这家的床真的很奇怪，就觉得', '短评打分': 5}
{'短评内容': '酒店干净舒适不错的', '短评打分': 3}
{'短评内容': '条件不错，价位很好，交通还算可以。离火车站远了点，但是离汽车站近。', '短评打分': 5}
{'短评内容': '不错很超值，就是离汽车站有点远，买东西还是很方便！不错！下次还来！', '短评打分': 3}
{'短评内容': '房间还算干净，交通也方便，不过隔音真的是差，走廊上的声音就像是房间没关门一样一样的。', '短评打分': 5}
{'短评内容': '  不错', '短评打分': 3}
{'短评内容': '酒店的位置比较偏僻，走廊的地毯的气味太难闻了，前台的服务不够热情，本人离店时居然没有将300元压金退给我，几天后我还得打的过去拿，有点郁闷。', '短评打分': 1}
{'短评内容': '个人感觉不错，比较温馨，卫浴设施感觉很好，距离老街不算远，我是一路散步过去的。如家的院子很大，自驾游停车很方便。只是可能是一楼的缘故，薄被不是太干爽！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '价格经济实惠，地理位置便利，交通方便，酒店设施温馨，给人以家的感觉', '短评打分': 5}
{'短评内容': '挺不错，晚上外面有鸟儿叫。', '短评打分': 3}
{'短评内容': '这是我看到有最大院子的如家快捷，服务很好，楼下餐厅几个菜都对胃口。停车免费。', '短评打分': 5}
{'短评内容': '很好，旅游之选', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间很干净 环境也不错  交通方便  性价比啊很高', '短评打分': 5}
{'短评内容': '优点:停车方便，环境安静，内部装修比较温馨,缺点：周围配套不够', '短评打分': 5}
{'短评内容': '酒店环境挺好，停车方便，自驾车很方便。\n如家的特色：干净卫生、温馨。\n缺点：1、商务大床房间较小。2、没有早餐。', '短评打分': 5}
{'短评内容': '还不错，环境优雅，卫生条件还不错，只是没有备用毛毯或被子，晚上有点冷。', '短评打分': 5}
{'短评内容': '，服务态度有认真有热情，房间干净，前台服务员会点日语，挺好的', '短评打分': 3}
{'短评内容': '房间面积不是很大，但布置的很温馨，硬件设施很新也很齐全，房间隔音不错，价格也很实惠', '短评打分': 5}
{'短评内容': '房间蛮大的，干净舒适，\n如果房间配备吹风机就完美啦！！！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，距离机场比较近，边上是黄山学院，周边有很多餐馆，吃饭方便，酒店服务很好，周到热情', '短评打分': 5}
{'短评内容': '总的来说对酒店印象还不错，环境很好很舒适，服务周到热情，房间卫生条件干净整洁，总之性价比较高', '短评打分': 5}
{'短评内容': '卫生还可以，房间每天都会有专门人来打扫的，很干净，房间隔音效果很好，周边环境不错，交通很方便', '短评打分': 5}
