{'descr': '不干净，，入住时前台接待态度不好！！！！！！！！房间墙上面很脏，，。，。，。，。，，。，卫生间的帘布太脏了', 'star': 2}
{'descr': '挺安静的，干净卫生，价格亲民', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '一个人到石家庄逛逛，主要是看河北博物院，酒店位置不错，很方便，房间内空间比较高，像是是老办公楼改的，用的是整体式卫生间，价格实惠。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '服务台的小哥服务态度非常好！', 'star': 4}
{'descr': '位置很好广安大街上，附近有超市，满足日常所需，吃的地方也很多，酒店环境还行，房间不小，总体感觉还不错。', 'star': 4}
{'descr': '位置很好广安大街上，附近有超市，满足日常所需，吃的地方也很多，酒店环境还行，房间不小，总体感觉还不错。', 'star': 4}
{'descr': '位置很好广安大街上，附近有超市，满足日常所需，吃的地方也很多，酒店环境还行，房间不小，总体感觉还不错。', 'star': 4}
{'descr': '不错，位置很好，环境也不错，推荐一下哦，环境闹中取静，出门四通八达。不错，位置很好，环境也不错，推荐一下哦，环境闹中取静，出门四通八达。', 'star': 5}
{'descr': '宾馆在安静的院子里，太适合居住了，房间也很干净，绝对物超所值', 'star': 5}
{'descr': '环境很好，离公司很近，每次来都在这里住，值得推荐', 'star': 5}
{'descr': '环境一般，条件也一般。', 'star': 3}
{'descr': '凑合住，房间小，服务员水平真心不高，脑子……', 'star': 3}
{'descr': '环境还行 主要离朋友家近 服务态度也非常好', 'star': 5}
{'descr': '环境还行，就服务比较差，价格不实。我预定的是110包双早，到那是118,没有双早。', 'star': 3}
{'descr': '不错，比较值', 'star': 3}
{'descr': ' 位置很好，靠近商业区和博物馆；住过好几次了，整体环境不错，住着舒服。不过这次的牙刷质量不合格，嫌麻烦也没有换。', 'star': 3}
{'descr': '服务环境都挺好', 'star': 3}
{'descr': '酒店还算干净，价格比较有优势，位置在中山路附近，交通也方便', 'star': 5}
{'descr': '这挺干净的', 'star': 3}
{'descr': '很干净，也很温馨，感觉物有所值，就是隔音效果有点差，楼道里的声音听得很清楚', 'star': 5}
{'descr': '＋条件比较好 干净整洁 服务人员态度很好很热情', 'star': 3}
{'descr': '向别人推荐时因为此旅店较为便宜，除此之外没什么可以值得说的地方，晚上噪音太大，还有窗户直接对着走廊，并且窗户很低，所以从入住必须拉上窗帘，再有就是房间内没有卫生间，晚上外面来来回回的人，很吵人，隔壁打呼噜声都能听到，总之就是住着不舒服。', 'star': 1}
{'descr': '挺好的，比较安静，缺点就是吃饭不是太方便，买零食也不太方便。', 'star': 5}
{'descr': '酒店整体感觉还行，很干净，工作人员挺热情。比想像的好。', 'star': 3}
{'descr': '官鲤酒店还不错，每次到石假装都在那住。主要24小时的热水好，而且卫生间不返味。电视稍差，有待改进。其他蛮好，继续入住。', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '还不错～就是没电梯…', 'star': 3}
{'descr': '房间很干净,服务态度也很好,就是阴面有点潮', 'star': 3}
{'descr': '地点比较偏 不过房还是挺不错的   虽然不大 不过很干净  性价比不错', 'star': 5}
{'descr': '地方真的是很难找到，房间还算可以吧，比较小', 'star': 5}
{'descr': '（满意）', 'star': 3}
{'descr': '很干净,可惜无独立卫生间!', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '房间很干净，价格很合适', 'star': 3}
{'descr': '很好的！很是不错，价格也不是很高的 ，可以接收！', 'star': 5}
{'descr': '不错 干净卫生 性价比还可以 交通便利 周围饭店也多 算是石家庄的市中心了', 'star': 5}
{'descr': '还不错噢', 'star': 3}
{'descr': '很温馨，很惬意，服务态度也不错，本人非常喜欢', 'star': 5}
{'descr': '还可以，就是早餐不是很好，室内设施有改进的地方，希望更加完善服务，把3人间搞好点', 'star': 5}
{'descr': '很干净很卫生!正不错!', 'star': 3}
{'descr': '服务态度不错', 'star': 3}
{'descr': '网上没有真实反应酒店全貌，没有独立的卫生间，环境太乱周围', 'star': 1}
{'descr': '挺好的，正在装修大门，装修结束后会更好！房间挺干净！', 'star': 5}
{'descr': '洗澡的水比较凉，，，早餐并不像所以的10几元一人的标准', 'star': 1}
{'descr': '性价比较差，房间通风性差，不带独立卫生间的价格偏高！', 'star': 1}
{'descr': ' 已入住。', 'star': 3}
{'descr': '卫生间的蹲位是开放的（女士也是一样的），快捷酒店是这样的卫生间还是第一次看见。', 'star': 1}
{'descr': '挺好的 干净  暖气也不错。去之前，一定要查好地图，不然不好找的。', 'star': 5}
{'descr': '酒店一般化，房间不大，普通间没有网络接口，有免费早餐', 'star': 1}
{'descr': '挺好 条件不错', 'star': 3}
{'descr': '位置不错，但是不在马路边，标识不明显，不好找。', 'star': 5}
{'descr': '房间比较干净 服务也不错 只是房间的隔音效果不是很好', 'star': 5}
{'descr': '温馨、干净卫生！！！！！！！！！！！~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '温馨、干净卫生！！！！~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '不太好找，指示牌颜色掉色。建议重新在广安大街上做一个显眼的路牌', 'star': 5}
{'descr': '觉得很不错，房间小了一点，不过很舒适，就在西湖那里，这个价钱可以了，很满足了！', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '刚刚入住，没有卫生间，其他的应该还可以。', 'star': 5}
