{'短评内容': '还不错，周边吃饭也挺方便', '短评打分': 5}
{'短评内容': '整体差，位置好，停车场方便！', '短评打分': 3}
{'短评内容': '周边环境一般', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '条件还算可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'tmd 太烂的酒店了，居然还要298.00 跟快捷酒店差远了。不会在入住了。。设施太旧了。电视也太古老了吧', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '离广场很近为了方便而定的还算可以吧', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '给朋友订的房间，酒店还可以，物美价廉。', '短评打分': 4}
{'短评内容': '有点乱，设备旧了。休息一晚还行', '短评打分': 3}
{'短评内容': '北京的酒店性价比普遍不高，服务水平很差很不专业。深更半夜的，还是另一栋楼，给我的房门卡居然打不开门，找不到客房服务员，又折返前台，折腾！', '短评打分': 2}
{'短评内容': '总体环境还可以', '短评打分': 3}
{'短评内容': '房间太旧', '短评打分': 3}
{'短评内容': '   入住后感着一般暖风空调声音太大.房门也要叫服务员开很不方便!', '短评打分': 3}
{'短评内容': '位置不错，就是没暖气，空调不是很好，冬天住有点儿冷。', '短评打分': 1}
{'短评内容': '估计也就三星以下级别了\n房间旧 早餐差 \n周边设施还行', '短评打分': 1}
{'短评内容': '酒店的环境非常差，小县城都不会有这样差的九点了吧，北京竟然有这样的酒店！酒店的老板是什么人？根本谈不上管理！！配置硬件差到令人无法想象！睡衣破烂脏，床单被罩也是脏的，根本不是新换的好恶心！地毯脏得吓人，土得吓人，服务也很差，一点也不专业素养没有，态度很愣。性价比非常差的酒店强烈不推荐入住！ \n', '短评打分': 1}
{'短评内容': '房间设施比较简陋，有一股味道。价格还是较高的，由于天通苑附近有一家有星级的酒店就只能凑合的住了', '短评打分': 1}
{'短评内容': '房间大小还可以，就是有点老旧。电视节目频道很少，到点就没信号', '短评打分': 5}
{'短评内容': '离我要找的朋友家位置近，感觉还不错，比较满意', '短评打分': 5}
{'短评内容': '  我已到店,房间还可以,价格高了些。', '短评打分': 5}
{'短评内容': '酒店一点都不好，卫生也不行服务也不行，设施也很一般，位置也不好找，', '短评打分': 1}
{'短评内容': '如果在这附近办事会预定，其他都一般', '短评打分': 5}
{'短评内容': '这家酒店的环境非常差，配置硬件都非常不达标，服务也很差一点也不专业，态度很不好。性价比非常差的酒店非常不值得推荐入住！', '短评打分': 1}
{'短评内容': '宾馆周围有家乐福，购物很方便，房间位置也不错，光线充足，视野辽阔。', '短评打分': 5}
{'短评内容': '酒店门口打车不太方便，性价比还可以。', '短评打分': 3}
{'短评内容': '房间太小，性价比低，服务意识一般', '短评打分': 1}
{'短评内容': '物非所值，根本就不是所谓的三星半。\r\n酒店的房间里有一张单子，原以为是点菜单或者洗衣服的价单，仔细一看才知道是损坏房间设施的赔偿价单，虽然说如果损坏了酒店的东西，住客应该赔偿的，但是住了这么多酒店还第一次看到赔偿单，感觉非常不舒服；\r\n房间门不隔音的，走廊有点声响就会听的很清楚，仿佛没有门一样；\r\n服务生整理房间时，用过的床单不是用推车推走，而是直接堆在走道拐角，这让人对铺在床上的床单卫生产生怀疑', '短评打分': 1}
{'短评内容': '交通比较方便，价格也不算贵，温泉票也很便宜。住宿要是有电梯就最好了', '短评打分': 5}
{'短评内容': '酒店各方面基本上都还不差,蛮干净的,而且设施也齐全,但是价格有些偏高', '短评打分': 5}
