{'短评内容': '早餐不错 挺丰盛的 清洁阿姨很亲切 一直主动询问有何需求', '短评打分': 5}
{'短评内容': '不足之处：酒店房间暖气不足，很冷。房间装修颜色是土豪红，土！卫生状况一般，杯子有一股霉味。优点：服务很细心。床上用品质量很好，质量好且很干净。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还不错  停车方便。 ', '短评打分': 5}
{'短评内容': '我自己来的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '隔音一般，空调不行', '短评打分': 5}
{'短评内容': '首先，说一下酒店，环境特别好，酒店设施也很好，服务很周到，真的很满意，价格也不是很贵。再说一下携程，预订方便，价格合理。点个赞。', '短评打分': 5}
{'短评内容': '非常好 很舒服', '短评打分': 5}
{'短评内容': '不错，霄云路上，交通便捷，环境优雅，自助餐厅很不错，酒店大堂也气派，超市就在楼下，距离美国大使馆特别近，对面小吃也很多。推荐', '短评打分': 5}
{'短评内容': '不错，霄云路上，交通便捷，环境优雅，自助餐厅很不错，酒店大堂也气派，超市就在楼下，距离美国大使馆特别近，对面小吃也很多。推荐', '短评打分': 5}
{'短评内容': '不错，交通便捷，环境优雅，自助餐厅很不错，酒店大堂也气派，超市就在楼下，距离美国大使馆特别近，对面小吃也很多。推荐', '短评打分': 5}
{'短评内容': '一贯的万豪风格，不错。门口常常没taxi 而且风好大。', '短评打分': 4}
{'短评内容': '酒店设施很棒，服务也很好，预订部的员工很热情，给客户加房间内的欢迎果盘，预定部员工很负责任，值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '一如既往的好！', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '服务质量好、硬件过硬、出行方便.', '短评打分': 5}
{'短评内容': ' 酒店位置和服务较好。房间不算大。对于私人去美国使馆签证比较方便。', '短评打分': 3}
{'短评内容': '环境很舒适，服务非常好，已经第二次入住，下次还会来！', '短评打分': 3}
{'短评内容': '位置不错，交通方便。步行可以到燕莎，酒吧街。服务还可以。', '短评打分': 5}
{'短评内容': '比较老一点的万豪，地段没有建国门的万豪好。但是不容易堵车，其它方面都挺好的。', '短评打分': 5}
{'短评内容': '酒店的房间很小，卫生间也很小，我定了三间房，一间23层的行政房，最可气的行政房与标间一样，只是楼层不一样。比新光天地北边的万豪差远了！价钱一样！', '短评打分': 1}
{'短评内容': '酒店环境很好，房间非常干净。极为喜欢', '短评打分': 3}
{'短评内容': '酒店非常不错~很喜欢，办事很方便！交通打车，租车，都很方便。。在那附近，这个酒店的性价比算是最高的。', '短评打分': 5}
{'短评内容': '酒店的位置不错，但整体服务还是很欠缺的。强烈不推荐。\n1，酒店的前台服务差劲。我check in和check out都碰到这种情况，大家都在一个柜台前排队，旁边的柜台没人，也不见有服务人员引导。一般五星级酒店都会很热情的引导大家的\n2，早晨、晚上总能看到一堆一堆日本、韩国的旅行团入住。这些人在酒店和国人差不多一个样，大喊大叫。所以，这个酒店就是一个主要接待旅行团的。这种酒店的服务想必大家都清楚。\n', '短评打分': 1}
{'短评内容': 'The room is very clean and cozy', '短评打分': 1}
{'短评内容': '除了位置不太好找，其他都很好，5星酒店，价钱也不便宜。\n我在霄云路上找了很久，没有想到它在鹏欣大厦后面，被挡住了，看不到。\n服务是一流的，配得上这个价格。', '短评打分': 5}
{'短评内容': '床枕挺好，房间软硬装中规中举，价格或可再便宜点。', '短评打分': 5}
{'短评内容': '唯一不满意的是没有单独的浴室，而是要站在浴缸里洗澡。 其他设施还算满意。办理入住手续时遇到点小麻烦，总是显示没有预定上。', '短评打分': 5}
{'短评内容': '性价比一般，交通很不方便，唯一的好处是离机场近', '短评打分': 1}
{'短评内容': '位置相对偏了一点，交通不是特别方便，酒店的设施和服务都不错', '短评打分': 5}
{'短评内容': '该酒店的硬件设施不错，员工的服务态度很好，不过基本专业知识还有些不足，这应该与酒店业员工缺乏有关，下次还希望入住并推荐给其他人。', '短评打分': 5}
{'短评内容': '北京的价格还是贵了些,给客户订的,没什么特别之处.', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '外国有人对mariott的酒店一直推崇备至，看来是有道理的。整体的感觉的确超出国内酒店的水准之上很多，他们的成功绝不是偶然的', '短评打分': 5}
{'短评内容': '给老板订的，他觉得蛮不错的，就是房价不便宜，尤其是周末这个价真的性价比不怎样。\r\n', '短评打分': 5}
{'短评内容': '预定的房间和酒店给安排的房间不一致，反馈后酒店按照预定安排了房间。酒店这方面应该专业些。', '短评打分': 5}
{'短评内容': '安排的房间不是我想要的.后来又给我们调换的房间,不过价格要略高一些,室内的环境还不错.性价比还是挺高的.', '短评打分': 5}
{'短评内容': '房间敞亮，设备也齐全，特别喜欢酒店的餐饮，很和我口味。', '短评打分': 5}
{'短评内容': '装修现代化，服务也人性化，有主动为客人服务的意识，提升了对整个酒店的感受度。', '短评打分': 5}
{'短评内容': '很不错的酒店。', '短评打分': 3}
{'短评内容': '很好的5星酒店。', '短评打分': 3}
{'短评内容': '很好的5星酒店，缺点就是价格较高。', '短评打分': 5}
{'短评内容': '好 就是有点贵！', '短评打分': 5}
{'短评内容': '酒店很新，设施不错，只是我住的房间空调不好，热得不行。', '短评打分': 5}
