{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '管理不错，服务很好，设施很全！值得推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般就是隔音效果不好', '短评打分': 5}
{'短评内容': '卫生间尿骚味太重，电视收到的台比较少，其他都还好吧，周边有大排档，吃饭倒是方便的', '短评打分': 4}
{'短评内容': '酒店比较一般，但在小县城也没得选了，毕竟便宜。', '短评打分': 4}
{'短评内容': '舒适干净卫生', '短评打分': 5}
{'短评内容': '酒店用品陈旧，与酒店宣称的“海派”不符。', '短评打分': 4}
{'短评内容': '环境卫生不错，安静。没有暖气。', '短评打分': 5}
{'短评内容': '前台服务态度怠惰⋯⋯哎⋯⋯下次还是找找有没有其他更方便的地方住⋯⋯', '短评打分': 3}
{'短评内容': '非常糟糕的居住体验。房间里的电视台只要十几个，常见的江苏卫视什么的都没有。房间设施老旧，提供的牙刷刷一次就起毛。这个酒店旅行团众多，晚上吵闹。最令人生气的是服务态度，每次打扫房间都有自己去总台讲，否则就不给打扫。而且每次告诉她房号打扫之后，先要问下是不是已经续房费，拜托，我入住时已经交足了。就是这样，所有的服务要求都会一递一句的和你吵架，真是够了。临走时问她有没有存放行李的服务，当时满口答应，退完', '短评打分': 1}
{'短评内容': '离办事地方近，干净就是酒店有点老', '短评打分': 3}
{'短评内容': '已经第二次入住了，价格适中，环境还是比较干净，推荐入住。', '短评打分': 3}
{'短评内容': '还行吧，周围酒店更差，将就吧', '短评打分': 3}
{'短评内容': '整体装潢像KTV，早餐太简单了。。。。。。。', '短评打分': 5}
{'短评内容': '位置不错，在县政府的正对面，停车方便，装饰风格店方想走时尚风格，但家具等用料在档次上需要提升，房间隔音差一些。我们入住当晚有一房间的客人在大声喧闹，影响了休息。但如果不十分最求品质的客人还是不错的选择，特别是到德天或者明仕田园的客人如果到的时间太晚，可以在这儿周转一晚。', '短评打分': 5}
{'短评内容': '吴国平18979370680两大新亿东海派标间己入住,谢谢!', '短评打分': 3}
{'短评内容': '环境蛮不错的、也不会很吵、是我喜欢的类型、', '短评打分': 5}
{'短评内容': '酒店设施和环境都不错哦，和网上介绍的一样，就是房间小点，另外就是吧台的客服小姐不是很热情，总体来说不错哦。', '短评打分': 5}
{'短评内容': '在大新还说还算不错的了，虽然订的时候赶上人多，没有临时涨价，很有大酒店的风范。不像有的地方，定的时候总是比入住的时候便宜。服务态度很好，隔壁大半夜很吵，客服也给很好的调解了，下次还去的话，还是住这里啦。', '短评打分': 5}
{'短评内容': '好，干净，装修新，床够大，超值', '短评打分': 3}
{'短评内容': '房间小了点', '短评打分': 3}
{'短评内容': '酒店地理位置不错。旁边就是粥店和一些拍档，晚上吃饭特别方便。步行到大新汽车站5分钟的路程。路上还有一些小吃店，螺师粉特别正宗.', '短评打分': 5}
{'短评内容': '11点后没有热水，大床房不值，一要住双人房。贵20，超值很多，早餐是总比没有好', '短评打分': 5}
{'短评内容': '千年不要住单间，一定要加20元加住双间，单间只有双间一半大小，单间的床也只比双间的单床大一点！', '短评打分': 5}
{'短评内容': '环境很好，卫生干净，条件不错，朋友们很满意。', '短评打分': 5}
{'短评内容': '相当可以   住的很舒服  就是有点点吵', '短评打分': 5}
{'短评内容': '酒店装修还行，不过还存在很多不足：第一，晚上十一点就没有热水了，问前台说第二天早上会有热水，结果等到第二天早上11点还是没有热水。第二：自助早餐服务质量实在太差，服务人员懒散，都没有人收拾餐桌，只看到一个服务人员坐在那里悠然自得的吃早餐，根本不管客人，还没有到就餐结束时间，就没有早餐供应了，为此甚至跟入住的客人发生语言冲突。不推荐入住。', '短评打分': 1}
{'短评内容': '这个酒店服务不好，晚上11点后没热水', '短评打分': 3}
{'短评内容': '还不错，服务态度很好，周围吃饭比较方便。。。。', '短评打分': 5}
{'短评内容': '环境不错，酒店卫生不错，房间装修新颖，服务还可以。', '短评打分': 5}
{'短评内容': '挺好的，就是床小了 大床才一米五，我们是一家三口住的，好挤有点遗憾', '短评打分': 5}
{'短评内容': '新开的酒店，服务不错，停车方便，不如意的就是目前没有发票。', '短评打分': 5}
