{'短评内容': '凌晨来的，前台小陈姑娘很热情，服务态度特别好、房间卫生也很干净', '短评打分': 5}
{'短评内容': '前台小陈很热情！', '短评打分': 5}
{'短评内容': '酒店客房服务很好，卫生很干净、前台陈和万很热情，下次还入住', '短评打分': 5}
{'短评内容': '房间很大，很干净卫生，配备和很齐全，服务热情，能为顾客着想，入住和退房都是前台美女小陈办理的，速度很快，很有效率，值得推荐！！！！！', '短评打分': 5}
{'短评内容': '辛阿姨很友好，前台也不错', '短评打分': 5}
{'短评内容': '前台小魏服务好  ', '短评打分': 5}
{'短评内容': '小杨，小魏服务很好', '短评打分': 5}
{'短评内容': '地理位置好，环境不错！', '短评打分': 5}
{'短评内容': '方便，位置好，整天感觉良好', '短评打分': 5}
{'短评内容': '经常住，很不错的酒店！', '短评打分': 5}
{'短评内容': '经常住，很不错的酒店', '短评打分': 5}
{'短评内容': '经常住，很不错的酒店', '短评打分': 5}
{'短评内容': '酒店地段还可以，环境一般，设施陈旧，早餐一般，一般商务出差可以选择，如果讲档次，还是要选择价格更高点的地方', '短评打分': 3}
{'短评内容': '酒店性价比一般', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '差到不行，厕所味道很大，给的大床房是个小窗户在墙顶，晚上睡觉空调声音很大', '短评打分': 1}
{'短评内容': '艺海酒店是这个比较好的一个酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
