{'短评内容': '不是很干净 洗澡水也很小 就住了一晚', '短评打分': 4}
{'短评内容': '简单干净的旅馆', '短评打分': 4}
{'短评内容': '老板娘很热情，帮我们买门票还亲自带我们去景点门口激活，房门干净，好评', '短评打分': 5}
{'短评内容': '挺干净的 设备齐全 比较吵 因为路边就是大街 总的来说值得这个价钱', '短评打分': 5}
{'短评内容': '老板人很好，还亲自开车去接我俩，老板娘也很热情，把自家的水煮话鱼和青菜等拿给我们品尝，真有点宾至如归的感觉!', '短评打分': 3}
{'短评内容': '酒店就是一般家庭客栈，水比较小，厕所是蹲坑，位置在李坑景点外边。在她家吃饭比较贵。服务还可以。在马路边，比较吵。', '短评打分': 3}
{'短评内容': '环境不错，距离景区较近，方便出行；酒店比较舒适，房间虽然比较小，但非常干净；老板热情，服务周到，对游客游玩考虑的比较周到，能够帮助游客以优惠价格买到景区门票；酒店的价格也比较优惠，总体比较好，以后还来。', '短评打分': 3}
{'短评内容': '景色不错，饮食味道略不足，但是民风淳朴，有机会还是去看看', '短评打分': 3}
{'短评内容': '设施齐全，早餐也相当满意，老板蛮热情，照顾周到，以后还来。', '短评打分': 5}
{'短评内容': '因为是周末，价格涨了不少，但是老板娘挺热情，服务还不错，有热水，有电视，知足了。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还行。。。', '短评打分': 5}
{'短评内容': '一般吧  但是没有热水、水一断一断的让人很头疼！隔音也不好、大晚上的外面一直吵吵。。', '短评打分': 1}
{'短评内容': '老板很热情', '短评打分': 3}
