{'descr': '算是比较好的了性价比高。', 'star': 4}
{'descr': '环境特别好  特别方便 我们很开心来天津住天泰宾馆', 'star': 5}
{'descr': '无法用语言形容！没有独立卫生间', 'star': 2}
{'descr': '太垃圾，说的有早餐！到时告知没有，方便面？不知是携程还是酒店，谁说谎了', 'star': 2}
{'descr': '总体来说，还不错', 'star': 5}
{'descr': '位置很好找坐地2号线直接就可以到，前台人员服务特别热情，但是宾馆后面是一个二人转剧场，真的很吵啊', 'star': 4}
{'descr': '还好', 'star': 5}
{'descr': '非常不错值得再来。。。', 'star': 3}
{'descr': '服务不错，环境也挺干净的，离地铁2号线也近~周围也有一些小吃~', 'star': 5}
{'descr': '房间很大，住着很舒服，房间很干净卫生', 'star': 3}
{'descr': '地方好找，就是条件有点简陋，价格在天津也能接受。', 'star': 3}
{'descr': '非常好   环境卫生  挺安静的', 'star': 3}
{'descr': '天泰宾馆还不错，我们三个人开了三人间，蛮宽松的。。。。', 'star': 5}
{'descr': '洗澡不方便，屋里没有洗漱间，没有厕所，没有网！！！地儿也是个偏！！！', 'star': 1}
{'descr': '刚到时候电梯还是坏的，进了房间窗户外有装饰物遮挡，屋里很脏，没打扫，后来给换了一个房间，这房间一冲厕所整个屋内票这厕所下水道的味道，让人永远无法忘怀。', 'star': 1}
{'descr': '客房干净卫生，而且入住率在当地也是挺高的，整洁舒适，大方简单.', 'star': 5}
{'descr': '酒店的地段有点偏，不过容易找，不过好在出行还算方便.', 'star': 5}
{'descr': '房间挺不错的，而且服务人员也很热情周到，对我们都挺照顾，整体条件还可以.', 'star': 5}
{'descr': '酒店客房整体还是比较通透的，而且舒适度也比较高，就是卫生间的配置有待提高.', 'star': 5}
{'descr': '天泰的卫生还可以地点较偏僻', 'star': 3}
{'descr': '普通间没有洗浴的啊，要到外面的隔间去洗，非常不方便，而且时常没有热水，建议不要次房间。', 'star': 1}
{'descr': '满意', 'star': 5}
{'descr': '要求不高的话还是可以的！', 'star': 5}
{'descr': '还好条件不错  改了一个标间', 'star': 5}
