{'短评内容': '可以不错  实惠&hellip;&hellip;', '短评打分': 5}
{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '携程才98元一晚&hellip;&hellip;', '短评打分': 1}
{'短评内容': ',,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '房间超大，卫生干净，离大梅沙海滩步行十分钟，房间还有麻将机！停车场免费！', '短评打分': 5}
{'短评内容': '房间超大，卫生干净，离大梅沙海滩步行十分钟，房间还有麻将机！', '短评打分': 5}
{'短评内容': '房间很大，也很舒服，离海边很近，就是2月的深圳有点冷，WiFi不太强，其他很满意', '短评打分': 5}
{'短评内容': '房间很大 位置很好 离沙滩和华侨城很近 干净', '短评打分': 5}
{'短评内容': '房间还可以，住人没问题，就是环境跟服务再好点就好了。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '位于大梅沙，周边吃饭购物方便，停车方便，套房设施一般，电梯不能到达套房，要走楼梯，行李多和重的客人，就很麻烦，', '短评打分': 3}
{'短评内容': '因为选择在深圳过年所以选了一个酒店式公寓套房，因为家里人多！酒店环境太一般了，距离海边不太远这点还算好吧！', '短评打分': 4}
{'短评内容': '5分钟步行距离至大梅沙，自驾交通方便。洗澡水回水很慢，需要放很长时间的冷水才出热水…', '短评打分': 4}
{'短评内容': '还可以，就是在电梯旁', '短评打分': 4}
{'短评内容': '该酒店地理位置好，离东部华侨城很近，可以步行到达，离海边也很近。还有一个优点是离国内最大规模的奥特莱斯也是不行距离。', '短评打分': 3}
{'短评内容': '房间空间够大,床单被套都很整洁,电源插头够用,有宽带.总体舒适', '短评打分': 5}
{'短评内容': '位置不错，很方便，价格偏高，总体还行吧，比较舒服', '短评打分': 5}
{'短评内容': '房间有很大的窗可以看到外面的景色，可惜酒店在巷子内，部分风景被其他建筑物挡住', '短评打分': 5}
{'短评内容': '大厅挺气派的，上次没有提前打电话，最后一间房间给我了，服务挺好的。', '短评打分': 5}
{'短评内容': '感觉不怎么样，又贵，条件又一般，还啥也不提供，而且床特别小，总体来说，以后不会去了，不推荐。', '短评打分': 1}
{'短评内容': '酒店位置不错，离海边十分钟的路程，也还宽敞。只是没有早餐不说，牙具等一次性用品也没有，需要花五元钱单买一套，前台服务还是不错的。', '短评打分': 3}
{'短评内容': '\n这次入住不论从价格还是品质上都是相当满意的，酒店位置很好，对于没车的朋友也很方便，离公交站台很近；我们当天十一点左右到的酒店，因为下雨想提前入住，前台小姐态度很好，马上为我安排；虽然我无法区分雅致双人房和尊爵双人房，但是看了房间还是很满意的，干净整洁，阳光充足，电脑，电视也都显得比较高档，房间很宽敞，后门对面有西班牙风情还未开售的楼盘，再穿过去就是奥特莱斯购物村，去海边步行就可以了……\n从酒店回', '短评打分': 5}
{'短评内容': '房间小了点   其他还可以 空调怎么不能制热。。-', '短评打分': 5}
{'短评内容': '房间还是蛮大的。床特挺大，就是设施旧了些。', '短评打分': 5}
{'短评内容': '不错，挺满意的，离华侨城挺近的！服务态度不错', '短评打分': 5}
{'短评内容': '环境很安静，离大峡谷很近，几步路就到了，交通也很方便', '短评打分': 5}
{'短评内容': '房间很一般，最主要的是没有早餐。给钱也没有。。。。。', '短评打分': 1}
{'短评内容': ' 房间很大，挺干净，离大梅沙和东部华侨城都很近。', '短评打分': 3}
{'短评内容': '價格與環境成正比 在大梅沙這個價格的酒店算是可以了', '短评打分': 5}
{'短评内容': '价格很贵的一家经济型酒店，很不值。旁边有很多酒店，这家酒店在街的后面，很不好找。酒店没有早餐吃，最后跑隔壁的酒店去吃了很难吃的自助餐。', '短评打分': 1}
{'短评内容': '酒店性价比不错，离大梅沙和东部华侨城都很近，尊爵房很大，很舒服，下次还会选择这里，但只有一部电梯，速度较慢，希望这个可以改进。', '短评打分': 5}
{'短评内容': '还好，就是位置太偏僻，难找。前台给的发卡开不了门，结果要我又要再跑一次，只有一架电梯，水温也不是很热。刚到酒店的时候还看到有住客说不见行李', '短评打分': 1}
{'短评内容': '酒店房间很不错很满意', '短评打分': 3}
{'短评内容': '新裝修,房間環境不錯,只是位置難找一些,而且價格性也比較高,服務人員不足似的,', '短评打分': 5}
{'短评内容': '没冰箱，没有免费瓶装水\n房子有味道\n上网快\n电视频道很少，60多个台调来调去不过十几个频道', '短评打分': 1}
{'短评内容': '位置稍微有点偏\n给的房间位置不好，靠近电梯，晚上被吵醒了，郁闷\n房间算比较大，采光也不错，卫生条件ok\n这个价位在大梅沙还算不错了', '短评打分': 5}
{'短评内容': '选择入住鸿波梅沙酒店是因为它前不久重新装修过，离东部华侨城大门就10来分钟路程，价格比较经济。我选择了尊爵房，该房配有电脑，母亲喜欢上网，免去带电脑的麻烦，这点不错。 房间大小合适，床和被子我很满意。\n但是热水温度太低，且没有暖气。对于冬天的季节去入住那感觉真说不上来。第一晚时就向前台提议增加热水的温度，但第二晚水温并没有什么变化。建议该酒店充分考虑到客人不同季节的需求。因为这次体验我不是很满意，', '短评打分': 1}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '不错，下车走不远就到了，走到海滩也不远。开始我们坐车下车时还绕了一圈，其实从旁边的一条路进去很近。', '短评打分': 5}
{'短评内容': '1. 正門在後街，非常難找 \r\n2. 酒店只有一枱升降機，上下樓都要等超久，升降機滿了人就更煩 \r\n3. 給了一間已經有客人入住的房間給我，開了人家的門，非常無奈 \r\n4. 在退房查房時說有一個放在桌上的告示牌不見了，問我放到那裡，我倒想問我拿了你的告示牌幹嘛？！叫他們找清楚一點的時候過了幾分鐘又說找到了..........超無奈。  \r\n這樣的酒店，服務連招待所都比不上，反正沒下次了！', '短评打分': 1}
{'短评内容': '酒店设施尚好，只是有关指引设施不足（电梯间去套房就没有指示牌）。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务还可以就是把房间订错了一间希望以后注意', '短评打分': 5}
{'短评内容': '价格可以更优惠点！\r\n服务还行！\r\n相关的设施有待提高！\r\n因为我住的是电梯旁边的房间，能听到外面的声音！\r\n影响了休息！', '短评打分': 5}
{'短评内容': '房間很新,很舒適. 還有液晶電視!  ', '短评打分': 5}
