{'短评内容': '住了2晚，还不错。酒店里吃饭方便。', '短评打分': 4}
{'短评内容': '居然在另外一个酒店办入住，这栋楼就没有服务员', '短评打分': 4}
{'短评内容': '酒店不错，当地特色。', '短评打分': 5}
{'短评内容': '第二次入住，觉得收购了隔壁的酒店后把隔壁做成高端，放弃了原来的酒店服务追求。', '短评打分': 3}
{'短评内容': '到了酒店，前台免费升级客房，客房不算太大，比较整洁，缺了免费的矿泉水，地热温度不高，客房有加湿器，被子没有预备多一张，晚上有点冷。酒店大堂设计挺好，周边有万亩青杨林，去县城就几分钟车程。早餐供应紧张，特别是7点半的时候，种类也不多，不过在西部，也可以接受了。', '短评打分': 5}
{'短评内容': '住房与预定不一致，入住信息也没用，等半天才弄好。房间设施老旧，安排一楼晚上车来车往入睡很难！', '短评打分': 2}
{'短评内容': '卫生间未干湿分离，其他尚好。', '短评打分': 4}
{'短评内容': '服务非常好，环境也不错，总之很满意。', '短评打分': 5}
{'短评内容': '位置比较好，设施有点老久了，服务还算可以，卫生吗麻麻地，性价比一般，不过在旅游旺地，酒店菜品还算可以，有这些算是还是不错的！', '短评打分': 2}
{'短评内容': '酒店在县城边上，非常安静；房间条件也不错，有电热毯晚上也不觉得冷；网络也不错，晚上出门虽然没路灯但是看星星还是挺不错的，前台服务很热情，赞一个！唯一的缺点就是早餐实在是太差了（酒店是用晚送早），只有稀饭和一个鸡蛋，我们想自己花钱加东西也没有，希望今后能改进。总的来说还是不错的！', '短评打分': 3}
{'短评内容': '老婆日本队不喜欢当家的记得你东北部', '短评打分': 4}
{'短评内容': '下飞机直接入住该酒店，高原反应超厉害，2人花了800元吸氧，结果晚上还断电，断氧气，没法烧水喝，早上问客服讨水，还没有，整晚头痛欲裂，没有空调，晚上房间里好冷，盼着天亮早点离开，酒店周围环境脏乱差，客房里还没低枕，睡得极不舒服，弄得想直接回去了。总之是使用携程以来最差的一次体验。但要表扬一下客房服务卓玛，我呕吐过后马上来给换床单了，还送了红景天。给大家建议，如果去亚丁，下了机直接乘车到香格里拉镇，', '短评打分': 2}
