{'短评内容': '酒店条件一般般，与我预期的有很大差距。', '短评打分': 5}
{'短评内容': '不错，不错', '短评打分': 5}
{'短评内容': '酒店位置很好，环境不错，设施什么的都很到位，服务态度很好，吕佳能很热情，还帮我送了项链，很不错，真的太谢谢了。', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '帮朋友预定的，还不错，位置好。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店服务真心不错 接待外宾游客很专业，特别是前厅的殷路和刘琦 服务专业 认真 好评 谢谢两位帅哥', '短评打分': 5}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '忙了,都忘记了,不好意思还能说什么呢~~有 生之年能碰到老板这个店,够幸福的..', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务房间都很好', '短评打分': 5}
{'短评内容': '性价比很高的酒店', '短评打分': 5}
{'短评内容': '洛阳最好的酒店。', '短评打分': 5}
{'短评内容': '非常不错，高大上', '短评打分': 5}
{'短评内容': '服务很好！很热情，下次继续入住', '短评打分': 5}
{'短评内容': '网络较差，淋浴没有手握的花洒，早餐较差，泳池很小，设施相对陈旧够不上五星的标准', '短评打分': 4}
{'短评内容': '网络较差，淋浴没有手握的花洒，早餐较差，泳池很小，设施相对陈旧够不上五星的标准', '短评打分': 4}
{'短评内容': '服务一流！上火、喉咙疼，美女服务员提供消炎药！', '短评打分': 5}
{'短评内容': '帮客户订的卫生条件环境都还可以吧', '短评打分': 5}
{'短评内容': '虽说是五星级酒店，硬件设施设备是达标，但是服务有待提高！', '短评打分': 4}
{'短评内容': 'bu cuo ', '短评打分': 5}
{'短评内容': '服务很好，就是周边环境不够好', '短评打分': 4}
{'短评内容': '很好，很舒适，值！', '短评打分': 5}
