{'短评内容': '还可以，位置不错，很方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置还可以', '短评打分': 4}
{'短评内容': '太好了，值', '短评打分': 5}
{'短评内容': '里面提供的电脑不行无线网也不行，住宿干净', '短评打分': 4}
{'短评内容': '就这样吧，毕竟价格也就这样，早上蛮吵。没得电梯，老板态度也还可以吧。周围也都是住宿的，条件就一般吧，将就将就。', '短评打分': 2}
{'短评内容': '周围早上都蛮吵，其余的就这样八。', '短评打分': 2}
{'短评内容': '离天门山挺近的，性价比很高！', '短评打分': 5}
{'短评内容': '还可以，离汽车站比较近～', '短评打分': 5}
{'短评内容': '环境很好，老板也不错', '短评打分': 5}
{'短评内容': '环境很好，附近吃的也很好找', '短评打分': 5}
{'短评内容': '老板人很好 干净卫生', '短评打分': 5}
{'短评内容': '整体都不错，老板很热情，就是楼层挺高，没有电梯，价格偏贵', '短评打分': 5}
{'短评内容': '事情没办完，继续延住！酒店也不错！', '短评打分': 5}
