{'短评内容': '交通便利，地理位置不错', '短评打分': 5}
{'短评内容': '地理位置优越', '短评打分': 5}
{'短评内容': '酒店还可以，每天一份水果更让人感到温馨。不过设施有点过时了！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '还可以，比较方便。客房服务还需要提升。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '还是很不错的，不过早餐额品种比较少！服务各方面还是可以的，', '短评打分': 5}
{'短评内容': '酒店还可以，每天一份水果更让人感到温馨。不过设施有点过时了！', '短评打分': 5}
{'短评内容': '上星期四晚入住贵酒店星期五早晨离店、晚上同事还看见我带的手表，早上离店直接上车后中途下车发现手表没有了，马上与店联系贵店很重视，本人打了几次电话问其回答多次寻找没有发现。当时就是房间、和车上二个地方，哪手表什么地方去了???', '短评打分': 1}
{'短评内容': '酒店位置不错', '短评打分': 3}
{'短评内容': '老政府的定点酒店，一股味道，早餐的奶是加了水的，没有一丝味道。下次不住了！', '短评打分': 1}
{'短评内容': '很不错，不过早餐额品种比较少！服务各方面还是可以的，对了，房间的淋浴房坏了。还有我走的时候自己毛巾丢在里面，竟然都没人联系我！', '短评打分': 5}
{'短评内容': '还不错，干净，安静，恬静。方便，安全，放心。', '短评打分': 3}
{'短评内容': '还可以，比较方便。大堂服务还需要提升。', '短评打分': 3}
{'短评内容': '环境还可以，挺方便。', '短评打分': 3}
{'短评内容': '价格在宿迁算比较贵了，但设施等配套都比较旧，性价比不高，有老国企的感觉!', '短评打分': 1}
{'短评内容': '性价比总体来说不错, 设施新,服务好,有机会还会去.', '短评打分': 5}
{'短评内容': '住的普通标间，服务一般，房间设施有年头了，挺陈旧的，电视机还是老式的，卫生间浴帘都泛黄了，没有一次性剃须刀，地毯也不干净，床单上有污渍，发黄，浴袍有异味，晚上还有骚扰电话。早餐种类太少，没有咖啡和盒装奶。结账速度太慢，总之，离四星级标准有点远，性价比不高。', '短评打分': 1}
{'短评内容': '很老的酒店，感觉像八十年代的，服务像国营企业，不会再住了。', '短评打分': 1}
{'短评内容': '酒店位置不错，出行方便，设施比较老了，房间还算干净，每天有水果赠送，很好，价格不包括早餐，有点不爽，宿迁酒店也没有太多选择', '短评打分': 5}
{'短评内容': '这个价位的酒店,服务于设施这的是不敢恭维,破旧到一定程度了.很不值得,还不如住连锁的经济型酒店来的干净.', '短评打分': 1}
{'短评内容': '位置尚可，紧邻美食一条街。房间布置很华丽，空间感很好。酒店娱乐设施相对而言少了些。', '短评打分': 5}
{'短评内容': '空调有点吵 被子有点潮的 毛巾可以换批新的了', '短评打分': 5}
{'短评内容': '比较差，交通不方便，床也很硬，宿迁也就这水平了', '短评打分': 5}
{'短评内容': '在宿迁这样的水平，就不错了。！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '住的标准行政套房，房间真是大啊，装修有点老。。。。 不过在苏北，感觉硬件是能上来了，但是软服务还是需要时间提高的', '短评打分': 5}
{'短评内容': '酒店基本还可以，卫生间也比较大，下次还是入住。', '短评打分': 5}
{'短评内容': '这个酒店还可以 就是毛巾破的令人发指', '短评打分': 3}
{'短评内容': '酒店不错，早餐一般，应该在当地较为高档的宾馆，因此价格还是有点小贵。', '短评打分': 5}
{'短评内容': '价格比国际饭店便宜，房间比国际饭店大，都还可以，只是毛巾似乎太旧，内部电话，是不是可以取消掉。上档次的酒店，是不会有内部电话的。', '短评打分': 5}
{'短评内容': '宿迁这种小地方，不敢有什么奢望，不过这性价比也太差了！', '短评打分': 1}
{'短评内容': '客房服务还不错，早餐太差，前台更差，居然敢挂4星！', '短评打分': 1}
{'短评内容': '晚上零点餐厅无人点餐，前台服务员那态度就跟谁欠她钱似的，连续两天每天下午停热水6个小时居然没有人提前通知！什么破酒店！', '短评打分': 1}
{'短评内容': '房间不错，就是预订时说周末送早餐的，但我们周五入住却不送周六的早餐太意外。', '短评打分': 5}
{'短评内容': '一个很不错的酒店。前台小姐很漂亮。服务也很好。不过就是比较慢点。', '短评打分': 5}
{'短评内容': '在宿迁就算不错的酒店了，干净整洁，服务态度也不错，比我想象的好。', '短评打分': 5}
{'短评内容': '离汽车站很近，是宿迁比较好的酒店了，房费不含早餐有点不爽。', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐太差，大堂没有服务生。', '短评打分': 1}
{'短评内容': '性价比还是很高的。但是呢。。让人郁闷的就是内部电话', '短评打分': 5}
{'短评内容': '宿迁的酒店也就这样，不要有太高的要求。！！！！！！！！！', '短评打分': 5}
{'短评内容': '在当地来说算蛮好的酒店了，服务很到位，房间干净整洁，周边出行很方便，下次还会考虑入住的', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，房间干净，早餐口味不错。', '短评打分': 5}
{'短评内容': '地理位置不错，硬件还需改善，入住时中央空调坏了，晚上冷得很。', '短评打分': 1}
{'短评内容': '总体而言，此酒店设施还好，各个方面令人满意，就是在预定酒店时，提供客人身份证比较麻烦，登记一人只能提供一个人的早餐卷！', '短评打分': 5}
{'短评内容': '感觉不错，就是有时预定的房间会和有些会议相冲突，也就是说有时订房时间不会和预计的相符合！', '短评打分': 5}
{'短评内容': '酒店环境地处市区，靠近各金融机构，办事方便！早餐不错！', '短评打分': 5}
{'短评内容': '经济实惠,性价比高的酒店', '短评打分': 3}
{'短评内容': '价格偏高。服务还可以，卫生不错，地理位置很好，大润发，KFC。。。。', '短评打分': 5}
{'短评内容': '238的标准间，价格在宿迁当地偏上，但房间的环境、隔音等都不错，房间也比较大，值得推荐，最好能加上早餐，性价比还要高些', '短评打分': 5}
{'短评内容': '很不好的酒店， 酒后不会再住了， 完全不值得 ！ ', '短评打分': 3}
{'短评内容': '很差的酒店， 今后不会住在这样的酒店了， 完全不值得 ！ ', '短评打分': 1}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '地点很好，每次都住在这个地方，宿迁小地方这个价格还是算不便宜的了', '短评打分': 5}
{'短评内容': '环境比较吵靠马路，其它还好。', '短评打分': 5}
{'短评内容': '就是没空调,有点热', '短评打分': 5}
{'短评内容': '酒店的床还是较舒适的，整体都不错，建议毛巾浴巾等可以更换了', '短评打分': 5}
{'短评内容': '在当地算不错的酒店了，就是早餐太简单了，望能改善。', '短评打分': 5}
{'短评内容': '该酒店系宿迁老酒店，总体较好，但总台服务质量还待提高！', '短评打分': 5}
{'短评内容': '比较老的酒店。', '短评打分': 5}
{'短评内容': '不错，就是早饭差了点', '短评打分': 5}
{'短评内容': '在当地算不错的酒店了。', '短评打分': 5}
{'短评内容': '服务不错，设施不行，特别是空调', '短评打分': 3}
{'短评内容': '室外温度10度左右的时候，还没有空调。居然说因为不冷，所以不开。我无语......', '短评打分': 1}
{'短评内容': '在当地属于性价比很不错的酒店，每晚都有报纸和免费水果送，就是门厅服务生的服务意识太差，从不会主动给客人拿行李，望今后加强。', '短评打分': 5}
{'短评内容': '不错的酒店！交通便利，服务也很好，送洗的衣服很快就能送回。但是早餐太单调，希望今后能加强。', '短评打分': 5}
{'短评内容': '酒店确实不错，在宿迁算得上很高档的酒店了，相较其他，价格也相对较高，但是还算可以吧。', '短评打分': 5}
{'短评内容': '酒店还好,就是没有电脑,信息时代了,还这么落后,还有没有早餐.', '短评打分': 1}
{'短评内容': '卫生不好，床单都不太干净，其他方面都很一般，性价比不高', '短评打分': 1}
{'短评内容': '该店在宿迁价格属于较高一类，商务旅行可以。', '短评打分': 5}
{'短评内容': '酒店的位置不错出行还算方便的,价格也可以接受,但是酒店的服务卫生以及房间的内部设施都很一般的,', '短评打分': 5}
{'短评内容': '酒店里的房间设施还是不错的,也比较干净,价位也比较适中,还是比较满意的', '短评打分': 5}
{'短评内容': '无早餐（与网上预定不符），服务响应慢，菜肴没特色，态度一般。', '短评打分': 1}
{'短评内容': '酒店的服务特别好，当时我订个标间但是我到酒店以后房间没了，他们没有加钱就给我换个豪华房间，而且内部的环境也很不错', '短评打分': 5}
{'短评内容': '不好啊', '短评打分': 1}
