{'短评内容': '房间很小，就像蜗居，住一晚上还是可以可以。', '短评打分': 4}
{'短评内容': '地理位子还是可以，到关城和火车站很近，交通方便。', '短评打分': 4}
{'短评内容': '房间挺好的', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置挺好的，卫生也会', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，前台很热情', '短评打分': 5}
{'短评内容': '还行吧 出门儿方便', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '相对来说很不错，卫生不错，床很干净，wifi只能说凑合', '短评打分': 4}
{'短评内容': '가욕관에 숙소가 많이 없는데 그 중 괜찮은 숙소이며 2층에 식당이있어서 편하게 밥을 먹을 수 있어서 좋았어요.', '短评打分': 5}
{'短评内容': '位置不错，价格可以。节假日有溢价。    房屋小，适合一个人。', '短评打分': 4}
{'短评内容': '很不错。性价比高，适合居住', '短评打分': 3}
{'短评内容': '还好呀，就是第一晚图便宜住了个没窗户的，热得不行不行的！！西北根本没想象那么冷！', '短评打分': 4}
{'短评内容': '环境干净整洁，只是空间小，当然价位也不高啊，刚入住还不知道晚上什么感觉。', '短评打分': 5}
{'短评内容': '挺干净…舒适………麻雀虽小，五脏俱全。', '短评打分': 3}
{'短评内容': '房间很干净很舒适   只是我住的那间空调不太凉快', '短评打分': 3}
{'短评内容': '可以选择，就是你在选择的时候要注意周围的交通环境', '短评打分': 5}
{'短评内容': '感觉挺好的，干净卫生，服务也不错，价廉务美的感觉', '短评打分': 3}
