{'descr': '酒店位置距火车站步行15分钟左右 实施都是标准的7天没什么可说 墙面等显得比较老旧 抽水马桶口很小容易堵 需要借助器械排流 夜间2点可办理入住  早上7点街上车辆各种按喇叭的非常吵 听得特别清楚 所以不用担心早上起不来 我入住时没有牛奶 送了一瓶矿泉水 总体还可以吧', 'star': 4}
{'descr': '不错，就是没有毛巾，只有浴巾', 'star': 5}
{'descr': '好，特别好，非常好', 'star': 5}
{'descr': '嗯，，房间刚入住就double了  吓我一跳  跑下去换房  这家很老  矿泉水也没有  空调滴水  一切都很low.', 'star': 3}
{'descr': '这个是我住过最差的连锁酒店，还不如我之前住的家庭式旅馆，wifi没有，说周围没网络就算了，我就想问问那电视为什么就不超过十个台，说是大锅盖的就收这几个，你们是预计着就专门让人住一次吧！', 'star': 2}
{'descr': '还好还好还好还好哈还好还好哈还好还好哈', 'star': 5}
{'descr': '位置很好找，离沃尔玛超市很近！不错！', 'star': 5}
{'descr': '房间干净 服务很好 周边购物很方便                                     ', 'star': 5}
{'descr': '很好，方便', 'star': 5}
{'descr': '不错，！！', 'star': 4}
{'descr': '在天津站乘地铁1站下，离远洋中心站很近。', 'star': 5}
{'descr': '环境不错，干净', 'star': 5}
{'descr': '方便快捷', 'star': 4}
{'descr': '挺好的，非常值。干净。房间大。', 'star': 3}
{'descr': '环境很好呦，就是唯一不好的，没有洗漱用品。', 'star': 3}
{'descr': '很好，房间大，空间很好，服务员也很热情。', 'star': 3}
